particulars,amt_actual,amt_adj,amt_prop,level,bold,year,sort_ord,ord_tag,sect_cd,ssect_cd,agy_type,owner_cd,dept,agy,owner_dsc,amt_actual_orig,amt_adj_orig,amt_prop_orig
      National Economic and Development Authority,3048258,4092629,2187700,4,0,2011,,0,4,21,DEPT,,National Economic and Development Authority,National Economic and Development Authority,,3048258,4092629,2187700
             Office of the Director-General,722111,676125,763407,0,0,2011,250,0,4,21,DEPT,ODG,National Economic and Development Authority,Office of the Director-General,,722111,676125,763407
             National Statistical Coordination Board,92553,87068,90263,0,0,2011,251,0,4,21,DEPT,NSCB,National Economic and Development Authority,National Statistical Coordination Board,,92553,87068,90263
             National Statistics Office,2140089,3258695,1238091,0,0,2011,252,0,4,21,DEPT,NSO,National Economic and Development Authority,National Statistics Office,,2140089,3258695,1238091
             Philippine National Volunteer Service Coordinating Agency,12396,11546,13586,0,0,2011,253,0,4,21,DEPT,PNVSCA,National Economic and Development Authority,Philippine National Volunteer Service Coordinating Agency,,12396,11546,13586
             Statistical Research and Training Center,35158,16147,35866,0,0,2011,254,0,4,21,DEPT,SRTC,National Economic and Development Authority,Statistical Research and Training Center,,35158,16147,35866
             Tariff Commission,45951,43048,46487,0,0,2011,255,0,4,21,DEPT,TARIFF,National Economic and Development Authority,Tariff Commission,,45951,43048,46487
      Presidential Communications Operations Office,1307082,1160178,976157,4,0,2011,,0,4,21,DEPT,,Presidential Communications Operations Office,Presidential Communications Operations Office,,1307082,1160178,976157
             Presidential Communications Operations Office (Proper),189847,107817,99137,0,0,2011,256,0,4,21,DEPT,PROP,Presidential Communications Operations Office,Presidential Communications Operations Office (Proper),,189847,107817,99137
             Bureau of Broadcast Services,302134,392823,292653,0,0,2011,257,0,4,21,DEPT,BBS,Presidential Communications Operations Office,Bureau of Broadcast Services,,302134,392823,292653
             Bureau of Communications Services,32830,30111,28952,0,0,2011,258,0,4,21,DEPT,BCS,Presidential Communications Operations Office,Bureau of Communications Services,,32830,30111,28952
             National Printing Office,168292,131678,136964,0,0,2011,259,0,4,21,DEPT,NPO,Presidential Communications Operations Office,National Printing Office,,168292,131678,136964
             News and Information Bureau,97403,93129,91073,0,0,2011,260,0,4,21,DEPT,NIB,Presidential Communications Operations Office,News and Information Bureau,,97403,93129,91073
             Philippine Information Agency,338287,327943,249569,0,0,2011,261,0,4,21,DEPT,PIA,Presidential Communications Operations Office,Philippine Information Agency,,338287,327943,249569
             Presidential Broadcast Staff (RTVM),178289,76677,77809,0,0,2011,262,0,4,21,DEPT,PBS-RTVM,Presidential Communications Operations Office,Presidential Broadcast Staff (RTVM),,178289,76677,77809
      Other Executive Offices,2094731,1634060,1625010,4,0,2011,,0,4,21,DEPT,,Other Executive Offices,Other Executive Offices,,2094731,1634060,1625010
             Games and Amusements Board,57720,56841,62077,0,0,2011,265,0,4,21,DEPT,GAAB,Other Executive Offices,Games and Amusements Board,,57720,56841,62077
             Movie and Television Review and Classification Board,55003,72109,43774,0,0,2011,266,0,4,21,DEPT,MTRCB,Other Executive Offices,Movie and Television Review and Classification Board,,55003,72109,43774
             Mindanao Development Authority,0,0,56164,0,0,2011,267,0,4,21,DEPT,MDA,Other Executive Offices,Mindanao Development Authority,,0,0,56164
             Climate Change Commission,0,100000,38880,0,0,2011,268,0,4,21,DEPT,NCCC,Other Executive Offices,Climate Change Commission,,0,100000,38880
             National Intelligence Coordinating Agency,855873,412831,442346,0,0,2011,269,0,4,21,DEPT,NICA,Other Executive Offices,National Intelligence Coordinating Agency,,855873,412831,442346
             National Security Council,95587,60887,63295,0,0,2011,270,0,4,21,DEPT,NSC,Other Executive Offices,National Security Council,,95587,60887,63295
             Presidential Communications Development and Strategic Planning Office,0,0,0,0,0,2011,271,0,4,21,DEPT,PCDSPO,Other Executive Offices,Presidential Communications Development and Strategic Planning Office,,0,0,0
             Philippine Racing Commission,110052,97896,104042,0,0,2011,272,0,4,21,DEPT,PRACOM,Other Executive Offices,Philippine Racing Commission,,110052,97896,104042
             Presidential Legislative Liaison Office,20743,21379,20811,0,0,2011,273,0,4,21,DEPT,PLLO,Other Executive Offices,Presidential Legislative Liaison Office,,20743,21379,20811
             Presidential Management Staff,303248,236231,227153,0,0,2011,274,0,4,21,DEPT,PMS,Other Executive Offices,Presidential Management Staff,,303248,236231,227153
             Philippine Drug Enforcement Agency,553014,520712,519885,0,0,2011,275,0,4,21,DEPT,PDEA,Other Executive Offices,Philippine Drug Enforcement Agency,,553014,520712,519885
             Optical Media Board,32377,29520,36893,0,0,2011,276,0,4,21,DEPT,VRB,Other Executive Offices,Optical Media Board,,32377,29520,36893
             Anti-Money Laundering Council,11114,25654,9690,0,0,2011,277,0,4,21,DEPT,AMLC,Other Executive Offices,Anti-Money Laundering Council,,11114,25654,9690
      Department of Labor and Employment,465682,411776,474122,4,0,2011,,0,4,21,DEPT,,Department of Labor and Employment,Department of Labor and Employment,,465682,411776,474122
             Professional Regulation Commission,465682,411776,474122,0,0,2011,278,0,4,21,DEPT,PRC-DOLE,Department of Labor and Employment,Professional Regulation Commission,,465682,411776,474122
      Joint Legislative-Executive Councils,458,1300,2185,0,0,2011,279,0,4,21,DEPT,LEDAC,Joint Legislative-Executive Councils,,,458,1300,2185
      Civil Service Commission,678063,649555,713858,4,0,2011,,0,4,21,DEPT,,Civil Service Commission,Civil Service Commission,,678063,649555,713858
         Civil Service Commission,639465,614177,670823,4,0,2011,280,0,4,21,DEPT,CSCOM,Civil Service Commission,Civil Service Commission,,639465,614177,670823
             Career Executive Service Board,38598,35378,43035,0,0,2011,281,0,4,21,DEPT,CESB,Civil Service Commission,Career Executive Service Board,,38598,35378,43035
      Commission on Audit,4353303,4125584,4493173,0,0,2011,282,0,4,21,DEPT,COA,Commission on Audit,,,4353303,4125584,4493173
      Commission on Elections,11337762,10544200,2380683,0,0,2011,283,0,4,21,DEPT,COMELEC,Commission on Elections,,,11337762,10544200,2380683
      Autonomous Region in Muslim Mindanao,10339140,9848637,11852801,4,0,2011,,0,4,21,DEPT,,Autonomous Region in Muslim Mindanao,Autonomous Region in Muslim Mindanao,,10339140,9848637,11852801
             Autonomous Regional Government in Muslim Mindanao,10339140,9848637,11852801,0,0,2011,284,0,4,21,DEPT,ARMM,Autonomous Region in Muslim Mindanao,Autonomous Regional Government in Muslim Mindanao,,10339140,9848637,11852801
   Budgetary Support to Government Corporations,4324001,4217000,25300,3,1,2011,,0,4,21,BSGC,,,,,4324001,4217000,25300
      Philippine Institute for Development Studies,67500,17000,25300,0,0,2011,285,0,4,21,BSGC,PIDS,Philippine Institute for Development Studies,,,67500,17000,25300
"      People`s Television Network, Incorporated",100000,200000,0,0,0,2011,286,0,4,21,BSGC,PTV4,"People`s Television Network, Incorporated",,,100000,200000,0
      Development Bank of the Philippines,5724,0,0,0,0,2011,287,0,4,21,BSGC,DBP,Development Bank of the Philippines,,,5724,0,0
      Philippine National Police Service Stores System,0,0,0,0,0,2011,288,0,4,21,BSGC,PNPSSS,Philippine National Police Service Stores System,,,0,0,0
      Philippine Deposit Insurance Corporation,4150777,0,0,0,0,2011,289,0,4,21,BSGC,PDIC,Philippine Deposit Insurance Corporation,,,4150777,0,0
      Bangko Sentral ng Pilipinas,0,4000000,0,0,0,2011,290,0,4,21,BSGC,BSP,Bangko Sentral ng Pilipinas,,,0,4000000,0
   Other Special Purpose Funds,0,14359693,14169680,3,1,2011,,0,4,21,OSPF,,,,,0,14359693,14169680
      Calamity Fund,0,122000,305000,0,0,2011,291,0,4,21,OSPF,CF,Calamity Fund,,,0,122000,305000
      Contingent Fund,0,666400,833000,0,0,2011,292,0,4,21,OSPF,COF,Contingent Fund,,,0,666400,833000
      Miscellaneous Personnel Benefits Fund,0,11940958,11543840,0,0,2011,293,0,4,21,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,11940958,11543840
      Priority Development Assistance Fund,0,130335,297840,0,0,2011,294,0,4,21,OSPF,PDAF,Priority Development Assistance Fund,,,0,130335,297840
      E-Government Fund,0,1000000,1190000,0,0,2011,295,0,4,21,OSPF,E-GOV,E-Government Fund,,,0,1000000,1190000
      General Fund Adjustments,0,500000,0,0,0,2011,296,0,4,21,OSPF,GFA,General Fund Adjustments,,,0,500000,0
Public Order and Safety,93405130,95100383,117839383,2,1,2011,,0,4,22,,,,,,93405130,95100383,117839383
,,,,0,0,2011,,0,,,,,,,,,,
   Department/Agencies,93405130,82505261,105204620,3,1,2011,,0,4,22,DEPT,,,,,93405130,82505261,105204620
      Department of Justice,5803856,5082454,5438549,4,0,2011,,0,4,22,DEPT,,Department of Justice,Department of Justice,,5803856,5082454,5438549
             Office of the Secretary,2972210,2381560,2609014,0,0,2011,297,0,4,22,DEPT,OSEC-DOJ,Department of Justice,Office of the Secretary,,2972210,2381560,2609014
             Bureau of Corrections,1450215,1399853,1546628,0,0,2011,298,0,4,22,DEPT,BCOR,Department of Justice,Bureau of Corrections,,1450215,1399853,1546628
             National Bureau of Investigation,939164,888810,826439,0,0,2011,299,0,4,22,DEPT,NBI,Department of Justice,National Bureau of Investigation,,939164,888810,826439
             Parole and Probation Administration,442267,412231,456468,0,0,2011,300,0,4,22,DEPT,PPA,Department of Justice,Parole and Probation Administration,,442267,412231,456468
      Department of the Interior and Local Government,72892944,62867277,84252999,4,0,2011,,0,4,22,DEPT,,Department of the Interior and Local Government,Department of the Interior and Local Government,,72892944,62867277,84252999
             Bureau of Fire Protection,6628015,7074463,8221809,0,0,2011,301,0,4,22,DEPT,BFP,Department of the Interior and Local Government,Bureau of Fire Protection,,6628015,7074463,8221809
             Bureau of Jail Management and Penology,4192096,4496305,5153053,0,0,2011,302,0,4,22,DEPT,BJMP,Department of the Interior and Local Government,Bureau of Jail Management and Penology,,4192096,4496305,5153053
             Philippine National Police,60991749,49979502,69535778,0,0,2011,303,0,4,22,DEPT,PNP,Department of the Interior and Local Government,Philippine National Police,,60991749,49979502,69535778
             National Police Commission,1081084,1317007,1342359,0,0,2011,304,0,4,22,DEPT,NAPOLCOM,Department of the Interior and Local Government,National Police Commission,,1081084,1317007,1342359
      Department of National Defense,354333,90507,96393,4,0,2011,,0,4,22,DEPT,,Department of National Defense,Department of National Defense,,354333,90507,96393
             Office of Civil Defense,354333,90507,96393,0,0,2011,305,0,4,22,DEPT,OCD,Department of National Defense,Office of Civil Defense,,354333,90507,96393
      The Judiciary,13218321,13337570,14307390,4,0,2011,,0,4,22,DEPT,,The Judiciary,The Judiciary,,13218321,13337570,14307390
             Supreme Court of the Philippines and the Lower Courts,11725267,11773937,12783344,0,0,2011,306,0,4,22,DEPT,SCPLC,The Judiciary,Supreme Court of the Philippines and the Lower Courts,,11725267,11773937,12783344
                 Presidential Electoral Tribunal,55302,59867,67377,0,0,2011,307,0,4,22,DEPT,PET,The Judiciary,Supreme Court of the Philippines and the Lower Courts,Presidential Electoral Tribunal,55302,59867,67377
             Sandiganbayan,375231,343121,329549,0,0,2011,308,0,4,22,DEPT,SB,The Judiciary,Sandiganbayan,,375231,343121,329549
             Court of Appeals,866426,995076,946596,0,0,2011,309,0,4,22,DEPT,CAP,The Judiciary,Court of Appeals,,866426,995076,946596
             Court of Tax Appeals,196095,165569,180524,0,0,2011,310,0,4,22,DEPT,CTA,The Judiciary,Court of Tax Appeals,,196095,165569,180524
      Office of the Ombudsman,1135676,1127453,1109289,0,0,2011,311,0,4,22,DEPT,OMB,Office of the Ombudsman,,,1135676,1127453,1109289
   Other Special Purpose Funds,0,12595122,12634763,3,1,2011,,0,4,22,OSPF,,,,,0,12595122,12634763
      Calamity Fund,0,310000,775000,0,0,2011,312,0,4,22,OSPF,CF,Calamity Fund,,,0,310000,775000
      Contingent Fund,0,60800,76000,0,0,2011,313,0,4,22,OSPF,COF,Contingent Fund,,,0,60800,76000
      Miscellaneous Personnel Benefits Fund,0,12163460,11758943,0,0,2011,314,0,4,22,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,12163460,11758943
      National Unification Fund,0,50000,0,0,0,2011,315,0,4,22,OSPF,NUF,National Unification Fund,,,0,50000,0
      Priority Development Assistance Fund,0,10861,24820,0,0,2011,316,0,4,22,OSPF,PDAF,Priority Development Assistance Fund,,,0,10861,24820
Other General Public Services,13235419,22303339,9392316,2,1,2011,,0,4,23,,,,,,13235419,22303339,9392316
,,,,0,0,2011,,0,,,,,,,,,,
   Department/Agencies,1885484,2166230,1074094,3,1,2011,,0,4,23,DEPT,,,,,1885484,2166230,1074094
      Department of Justice,358062,89329,93101,4,0,2011,,0,4,23,DEPT,,Department of Justice,Department of Justice,,358062,89329,93101
             Presidential Commission on Good Government,358062,89329,93101,0,0,2011,317,0,4,23,DEPT,PCGG-DOJ,Department of Justice,Presidential Commission on Good Government,,358062,89329,93101
      Allocations to Local Government Units,1527422,2076901,980993,4,0,2011,,0,4,23,DEPT,,Allocations to Local Government Units,Allocations to Local Government Units,,1527422,2076901,980993
             Metropolitan Manila Development Authority,1527422,2076901,980993,0,0,2011,318,0,4,23,DEPT,S_MMDA,Allocations to Local Government Units,Metropolitan Manila Development Authority,,1527422,2076901,980993
   Other Special Purpose Funds,11349935,20137109,8318222,3,1,2011,,0,4,23,OSPF,,,,,11349935,20137109,8318222
      Allocations to Local Government Units,11349935,5724699,50000,4,0,2011,,0,4,23,OSPF,,Allocations to Local Government Units,Allocations to Local Government Units,,11349935,5724699,50000
             Barangay Officials Death Benefits Fund,0,50000,50000,0,0,2011,319,0,4,23,OSPF,BODBF,Allocations to Local Government Units,Barangay Officials Death Benefits Fund,,0,50000,50000
             Special Financial Assistance to Local Government Units,4722349,0,0,0,0,2011,320,0,4,23,OSPF,SFALGU,Allocations to Local Government Units,Special Financial Assistance to Local Government Units,,4722349,0,0
             Financial Subsidy to Local Government Units,6627586,5674699,0,0,0,2011,321,0,4,23,OSPF,FSLGU,Allocations to Local Government Units,Financial Subsidy to Local Government Units,,6627586,5674699,0
      International Commitments Fund,0,1677215,3174820,0,0,2011,322,0,4,23,OSPF,ICF,International Commitments Fund,,,0,1677215,3174820
      Miscellaneous Personnel Benefits Fund,0,148335,143402,0,0,2011,323,0,4,23,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,148335,143402
      Tax Expenditures Fund,0,12586860,4950000,0,0,2011,324,0,4,23,OSPF,TEF,Tax Expenditures Fund,,,0,12586860,4950000
,,,,0,0,,,0,,,,,,,,,,
Subsidy to Local Government Units,69996883,74424666,80344387,0,1,2011,325,0,4,24,,IRA,,,,69996883,74424666,80344387
,,,,0,0,,,0,,,,,,,,,,
NET LENDING,5064000,15000000,15000000,0,1,2011,326,0,5,25,,NET,,,,5064000,15000000,15000000
,,,,0,0,,,0,,,,,,,,,,
DEBT-SERVICE-INTEREST PAYMENTS,278866000,276212000,357090000,0,1,2011,327,0,6,26,,DSF,,,,278866000,276212000,357090000
,,,,0,0,,,0,,,,,,,,,,
GRAND TOTAL,1434145554,1540600000,1645000000,10,1,,,0,,,,,,,,1434145554,1540600000,1645000000
