particulars,date,pbo_obr_number,acctg_obr_number,payee,purpose,obligated_amount,balance
LGU Development Assistance Program - 8919(30),-,1303-3140 ,106,Brentmin Roofing Enterprises ,"PO#13020509-materials(Constof MP Bldg. Brgy. Guisican, Labo) ","7 59,307.00",-
LGU Development Assistance Program - 8919(30),-,1303-3194 ,107,B2k Lumber Construction Supplies and Services ,"F/P-Construction of MP Bldg. Brgy. IV, Daet ","9 31,561.00",-
LGU Development Assistance Program - 8919(30),4/25/2013,1303-3220-E ,108,Brentmin Roofing Enterprises ,"PO#13020466-materials(Constof MP Bldg. Brgy. Dalnac, Paracale) ","6 60,505.00",-
LGU Development Assistance Program - 8919(30),-,1303-3115 ,109,Brentmin Roofing Enterprises ,"PO#13020509-materials(Constof MP Bldg. Brgy. Calero, JP) ","7 03,066.00",-
LGU Development Assistance Program - 8919(30),-,1303-3108 ,110,Brentmin Roofing Enterprises ,"PO#13030553-materials(Constof MP Bldg. Brgy. Tabas, Paracale) ","6 58,474.00",-
LGU Development Assistance Program - 8919(30),-,1303-3131 ,112,B2k Lumber Construction Supplies and Services," PO#13030510-materials(Constof MP Bldg. Brgy Exciban, Labo) ","7 91,944.50",-
LGU Development Assistance Program - 8919(30),4/26/2013,1303-3221 ,114,Lite-Lux Electrical and Construction Enterprises ,"PO#13030558-materials(Rehab of Slope Protection P6 Brgy. Cobangbang,Daet) ","1 38,090.00",-
LGU Development Assistance Program - 8919(30),4/29/2013,1303-3211 ,116, B2k Lumber Construction Supplies and Sercvices ,PO#3020507-materials (Const of MP Bldg. Brgy. Pinagbirayang Munti-Paracale) ,"6 49,960.25",-
LGU Development Assistance Program - 8919(30),-,1303-3117 117 ,-,B2k Lumber Construction Supplies and Services ,"PO#1320507-materials (Const of MP Bldg. Brgy. Bayabas, Labo) ","9 66,100.25",-
LGU Development Assistance Program - 8919(30),4/30/2013,1304-4290,121,Rico Velasco and Co. ,"W/P Apr. 1-8 (Const of pathway Brgy. Banocboc, Vinzons) 100% ","4 2,000.00",-
LGU Development Assistance Program - 8919(30),-,1304-4289 ,123,Rico Velasco and Co. ,"W/P Mar. 25-31 (Const of pathway Brgy. Banocboc, Vinzons) 30% ","1 2,500.00",-
LGU Development Assistance Program - 8919(30),-,1304-4327 ,125,Cesar Reambillo and Co. ,"W/P Mar. 25-31 (Concreting of brgy. Road P2 Brgy. VI, Mercedes)30% ","1 5,000.00",-
LGU Development Assistance Program - 8919(30),-,1304-4330 ,126,Cesar Reambillo and Co. ,"W/P Apr. 1-26 (Concreting of brgy. Road P2 Brgy. VI, Mercedes)100%"," 7 6,500.00",-
LGU Development Assistance Program - 8919(30),-,1304-3220-A ,127,RUR Construction and Supply ,"PO#13030761-materials (Rehab of School Bldg. Villa Aurora, Capalonga) ","5 2,430.00",-
LGU Development Assistance Program - 8919(30),-,1303-3113 ,128,RUR Construction and Supply ,"PO#13030614-materials (Rehab of MP Bldg Torres Talento E/S, Capalonga) ","2 05,660.00",-
LGU Development Assistance Program - 8919(30),-,1304-3274 ,129,Brentmin Roofing Enterprises ,"PO#13040792-materials (Const of drainage system Sitio Benguet Brgy. Magsaysay, Capalonga) ","9 5,825.00",-
LGU Development Assistance Program - 8919(30),-,1303-3213 ,130,Emerald Hardware ,"PO#13020392-materials (Const of MP Bldg. Brgy. San Roque, Mercedes) ","4 00,831.00",-
LGU Development Assistance Program - 8919(30),-,1303-3122 ,131,RUR Construction and Supply ,"PO#13030556-materials (Rehab of School Bldg. San Antonio E/S Brgy. San Antonio, Capalonga) ","1 48,200.00",-
LGU Development Assistance Program - 8919(30),5/3/2013,1303-3262,1,AJC Builders ,P/P-Const of MP Bldg. Capalonga E/S ,"1 ,597,005.90",-
LGU Development Assistance Program - 8919(30),5/7/2013,1305-4526,6,Jonathan Aguilar and Co. ,"W/P Mar. 25-31 (Const of MP Bldg/covered court Brgy. San Pedro, Sta Elena) 30% ","3 7,500.00",-
LGU Development Assistance Program - 8919(30),-,1305-4525 ,7,Jonathan Aguilar and Co. ,"W/P Apr. 1-30 (Const of MP Bldg/covered court Brgy. San Pedro, Sta Elena) 80% ","2 25,000.00",-
LGU Development Assistance Program - 8919(30),5/14/2013,1302-1108 ,69,DLS Construction Supply and Gen. Mdse. ,"PO#13010154-materials (Repair of MP Bldg. Brgy. Mangcawayan, Vinzons)"," 1 28,060.00",-
LGU Development Assistance Program - 8919(30),-,1305-4817 ,71,Roberto Rufo and Co. ,W/P Mar. 25-31 (Const of Hanging Br. (phase I) Brgy. Basiad-Brgy Kagtalaba) 30% ,"2 0,000.00",-
LGU Development Assistance Program - 8919(30),5/16/2013,1305-4870 ,78,Ariel Esturas ,"W/P Mar. 25-31 (Const of MP Bldg Rzal E/S Brgy. Rizal, Sta Elena) 30% ","8 ,750.00",-
LGU Development Assistance Program - 8919(30),-,1305-4820 ,79,Roberto Rufo and Co. ,W/P Apr. 1-15 (Const of Hanging Br. (phase I) Brgy. Basiad-Brgy Kagtalaba) 100% ,"6 0,000.00",-
LGU Development Assistance Program - 8919(30),-,1305-4907 ,80,Jeffrey Diaz and Co.," W/P Mar. 25-31 (Rehab of Slope Protection P6 Brgy. Cobangbang, Daet) 30% ","2 8,750.00",-
LGU Development Assistance Program - 8919(30),-,1305-4894 ,81,Jeffrey Diaz and Co. ,"W/P Apr. 1-24 (Rehab of Slope Protection P6 Brgy. Cobangbang, Daet) 100%"," 1 33,000.00",-
LGU Development Assistance Program - 8919(30),-,1305-4861 ,82,Noel Lagones and Co. ,"W/P Mar. 25-31 (Const of MP Bldg Brgy. Aguit-it, Vinzons) 30% ","8 ,750.00",-
LGU Development Assistance Program - 8919(30),-,1305-4868 ,83,Noel Lagones and Co. ,"W/P Apr. 1-23 (Const of MP Bldg Brgy. Aguit-it, Vinzons) 100% ","3 9,750.00",-
LGU Development Assistance Program - 8919(30),5/17/2013,1305-4816 ,86,Ariel Esturas and Co. ,"W/P Apr. 1-14 (Const of MP Bldg Rzal E/S Brgy. Rizal, Sta Elena) 100% ","2 2,500.00",-
LGU Development Assistance Program - 8919(30),-,1303-3202 ,89,VC Varin Const and Hardware Supply ,"F/P-Const of MP Bldg. Brgy. Macogon, Labo ","1,075,244.00",-
LGU Development Assistance Program - 8919(30),-,1305-4971 ,90,Jing Juego and Co. ,"W/P Mar. 25-31 (Const of MP Bldg. Brgy. Mataque, Capalonga) 30%"," 3 7,500.00",-
LGU Development Assistance Program - 8919(30),-,1305-4972 ,91,Jing Juego and Co. ,"W/P Apr. 1-30 (Const of MP Bldg. Brgy. Mataque, Capalonga) 60% ","2 25,000.00",-
LGU Development Assistance Program - 8919(30),-,1305-4984 ,92, Randy Talento and Co. ,"W/P Mar. 25-31 (Const of MP Bldg. Brgy. Magsaysay, Capalonga) 30% ","3 7,500.00",-
LGU Development Assistance Program - 8919(30),-,1305-4977 ,93,Randy Talento and Co. ,"W/P Apr. 1-30 (Const of MP Bldg. Brgy. Magsaysay, Capalonga) 60% ","2 25,000.00",-
LGU Development Assistance Program - 8919(30),5/20/2013,1305-5049 ,95,Jonathan Aguilar and Co. ,"W/P May 1-8 (Const of MP Bldg/covered court Brgy. San Pedro, Sta Elena) 100% ","5 3,500.00",-
LGU Development Assistance Program - 8919(30),5/21/2013,1305-5087 ,100,Genaro Guiralda and Co. ,"W/P Mar. 25-31 (Const of MP Bldg. Brgy. Don Tomas, Sta Elena) 30% ","4 3,750.00",-
LGU Development Assistance Program - 8919(30),-,1305-5093 ,101,Genaro Guiralda and Co. ,"W/P Apr. 1-30 (Const of MP Bldg. Brgy. Don Tomas, Sta Elena) 70% ","2 62,500.00",-
LGU Development Assistance Program - 8919(30),-,1305-5092 ,102, Genaro Guiralda and Co. ,"W/P May 1-4 (Const of MP Bldg. Brgy. Don Tomas, Sta Elena) 100%"," 3 3,000.00",-
LGU Development Assistance Program - 8919(30),-,1305-5081 ,103,Estilito Borreo and Co. ,"W/P Mar. 25-31 (Const of Manpower Dev't Center Sitio Dawahan Brgy. Don Tomas, Sta Elena) 30% ","1 0,000.00",-
LGU Development Assistance Program - 8919(30),-,1305-5080 ,104,Alvin Ortega and Co. ,"W/P Mar. 25-31 (Const of MP Bldg. Basiad E/S, Sta Elena) 30% ","8 ,750.00",-
LGU Development Assistance Program - 8919(30),-,1305-5090 ,105,"Carlos Jumarito, Jr. and Co."," W/P Mar. 25-31 (Const of Hanging Br. Brgy. Kabuluan, Sta Elena) 30%"," 1 1,250.00",-
LGU Development Assistance Program - 8919(30),-,1305-5088 ,106,Abel Borbe and Co. ,"W/P Mar. 25-31 (Const of Elevated Water Tank/Installation of Pipeline P2 Brgy. San Lorenzo, Sta Elena) 30% ","7 ,500.00",-
LGU Development Assistance Program - 8919(30),-,1305-5095 ,107,Ariel Monteroso and Co. ,W/P Mar. 25-31 (Const of MP Bldg. Sta Elena E/S Sta Elena) 30% ,"2 2,500.00",-
LGU Development Assistance Program - 8919(30),-,1305-5096 ,108,Ariel Monteroso and Co. ,W/P Apr. 1-30 (Const of MP Bldg. Sta Elena E/S Sta Elena) 90% ,"1 35,000.00",-
LGU Development Assistance Program - 8919(30),-,1305-5085 ,109,Rene Tanada and Co. ,"W/P Mar. 25-31 (Const of MP Bldg. Brgy. Tabugon, Sta Elena) 30% ","4 0,000.00",-
LGU Development Assistance Program - 8919(30),-,1305-5084 ,110,Rene Tanada and Co. ,"W/P Apr. 1-30 (Const of MP Bldg. Brgy. Tabugon, Sta Elena) 70% ","2 40,000.00",-
LGU Development Assistance Program - 8919(30),5/22/2013, 1305-5177 ,114,Dave Guevarra and Co. ,"W/P Mar. 25-31 (Const of MP Bldg Brgy. Guisican, Labo) 30% ","4 1,250.00",-
LGU Development Assistance Program - 8919(30),-,1305-5178 ,115,Dave Guevarra and Co. ,"W/P Apr. 1-30 (Const of MP Bldg Brgy. Guisican, Labo) 90% ","2 47,500.00",-
LGU Development Assistance Program - 8919(30),-,1305-5179 ,116,Dave Guevarra and Co. ,"W/P May 1-3 (Const of MP Bldg Brgy. Guisican, Labo) 100% ","2 4,750.00",-
LGU Development Assistance Program - 8919(30),5/23/2013, 1305-5160 ,117,Angelo Erandio and Co. ,"W/P Mar. 25-31 (Const of MP Bldg Brgy. Calero, JP) 30% ","3 7,500.00",-
LGU Development Assistance Program - 8919(30),-,1305-5158 ,118,Angelo Erandio and Co. ,"W/P Apr. 1-30 (Const of MP Bldg Brgy. Calero, JP) 90% ","2 25,000.00",-
LGU Development Assistance Program - 8919(30),-,1305-5159 ,119,Angelo Erandio and Co. ,"W/P May 1-9 (Const of MP Bldg Brgy. Calero, JP) 100%"," 6 7,500.00",-
LGU Development Assistance Program - 8919(30),5/28/2013,1305-5238 ,122, Carlo Diolato and Co. ,"W/P Mar. 4-18 (Asphalting of Brgy. Road GK Brgy. Maybato, Paracale) ","3 3,000.00",-
LGU Development Assistance Program - 8919(30),-,1303-3203 ,123, Emerald Hardware ,"PO#13030717-materials (Const of MP Bldg. Brgy. Itok, Capalonga) ","3 29,457.00",-
LGU Development Assistance Program - 8919(30),-,1303-3191 ,127,Emerald Hardware ,"PO#13030557-materials (Rehab of MP Bldg. Brgy. Alayao, Capalonga) ","1 50,127.00",-
LGU Development Assistance Program - 8919(30),-,1305-5262 ,128,Jing Juego and Co. ,"W/P May 1-4 (Const of MP Bldg. Brgy. Mataque, Capalonga) 100% ","3 0,000.00",-
LGU Development Assistance Program - 8919(30),5/29/2013,1305-5331 ,131,Renato del Barrio and co. ,"W/P Mar. 24-31 (Const. of drainage System Benguet, Brgy. Magsaysay, Capalonga) ","1 9,250.00",-
LGU Development Assistance Program - 8919(30),-,1305-5239 ,132, Renato del Barrio and co. ,"W/P Apr. 1-23 (Const. of drainage System Benguet, Brgy. Magsaysay,Capalonga) ","7 9,750.00",-
LGU Development Assistance Program - 8919(30),-,1305-5261 ,133,Randy Talento and Co. ,"W/P May 1-7 (Const. of MP Bldg. Brgy. Magsaysay, CApalonga) ","4 1,500.00",-
LGU Development Assistance Program - 8919(30),-,1305-5274 ,134,Jay Salva and co. ,"W/P Mar. 25-31 (Rehab. Of MP Bldg. Brgy. 5,Mercedes) ","2 0,000.00",-
LGU Development Assistance Program - 8919(30),-,1305-5273 ,135,Jay Salva and co.," W/P Apr. 1-20 (Rehab. Of MP Bldg. Brgy. 5,Mercedes)"," 8 0,000.00",-
LGU Development Assistance Program - 8919(30),5/30/2013,1305-5333 ,136,Ramil Solo and co. ,"W/P Mar. 25-31 (Const. of MP Bldg. Brgy. Tabas, Paracale) ","4 3,750.00",-
LGU Development Assistance Program - 8919(30),-,1305-5330 ,137,Ramil Solo and co. ,"W/P May 1-6 (Const. of MP Bldg. Brgy. Tabas, Paracale) ","1 5,000.00",-
LGU Development Assistance Program - 8919(30),-,1305-5332 ,138,Ramil Solo and co. ,"W/P Apr. 1-30 (Const. of MP Bldg. Brgy. Tabas, Paracale) 90% ","2 62,500.00",-
LGU Development Assistance Program - 8919(30),6/3/2013,1304-3913 ,1,Brentmin Roofing Enterprise," PO#13040887-equipment rental (Const of MP Bldg. Brgy. Guisican, Labo(25,500)/Brgy. Dalnac, Paracale(23,100))"," 4 8,600.00",-
LGU Development Assistance Program - 8919(30),6/4/2013,1306-5398 ,7,"Carlos Jumarito, Jr. and Co. ",W/P Apr. 1-26 (Const of Hanging Br. (Phase 1) Brgy. Cabuluan. Sta Elena) 100% ,"5 7,000.00",-
LGU Development Assistance Program - 8919(30),-,1306-5410 ,8,Ariel Monteroso and Co. ,W/P May 1-3 (Rehab MP Bldg. Sta Elena E/S) 100%," 9 ,625.00",-
LGU Development Assistance Program - 8919(30),-,1306-5407 ,9,Abel Borbe and Co. ,"W/P Apr. 1-22 (Const of Elevated Water Tank P2 Brgy. San Lorenzo, Sta Elena) 100% ","1 0,500.00",-
LGU Development Assistance Program - 8919(30),-,1306-5411 ,10,Rene Tanada and Co. ,"W/P May 1-8 (Const MP Bldg. Brgy. Tabugon, Sta Elena E/S) 100% ","5 0,500.00",-
LGU Development Assistance Program - 8919(30),-,1306-5437 ,11,Paulo Roger and Co. ,"W/P Apr. 1-30 (Cons of MP Bldg. Brgy. South Poblacion, JP) 100% ","2 18,750.00",-
LGU Development Assistance Program - 8919(30),-,1306-5480 ,12,Alvin Ortega and Co. ,"W/P Apr. 1-24 (Rehab MP Bldg. Basiad E/S, Sta Elena E/S) 100%"," 2 7,000.00",-
LGU Development Assistance Program - 8919(30),-,1306-5479 ,13,Estilito Borreo and Co. ,"W/P Apr. 1-18 (Const of Manpower Dev't Center Sitio Dahawan Brgy Don Tomas, Sta Elena) 100% ","2 9,000.00",-
LGU Development Assistance Program - 8919(30),6/6/2013,1306-5551 ,17, Ruben Villadares and Co. ,"W/P Mar. 25-31 (Const of MP Bldg. Brgy. Dalnac, Paracale) 30% ","3 7,500.00",-
LGU Development Assistance Program - 8919(30),-,1306-5552 ,18,Ruben Villadares and Co. ,"W/P Apr. 1-30 (Const of MP Bldg. Brgy. Dalnac, Paracale) 90% ","2 25,000.00",-
LGU Development Assistance Program - 8919(30),-,1306-5550 ,19, Ruben Villadares and Co.," W/P May 1-8 (Const of MP Bldg. Brgy. Dalnac, Paracale) 100% ","4 9,500.00",-
LGU Development Assistance Program - 8919(30),6/11/2013,1306-5666 ,40,Aldin Villegas and Co. ,"W/P May 14-31 (Const of MP Bldg Brgy. San Roque, Mercedes) 60% ","9 0,000.00",-
LGU Development Assistance Program - 8919(30),6/13/2013,1303-3201 ,65, Shear Construction and Supply ,"PO#13030632-materials (Const of SLR Astrodome Brgy. Matacong, SLR)"," 8 73,469.00",-
LGU Development Assistance Program - 8919(30),6/17/2013,1303-3262 ,74,AJC Builders ,F/P-Const of MP Bldg. Capalonga E/S ,"3 99,223.10",-
LGU Development Assistance Program - 8919(30),6/21/2013,1306-6037 ,90,Roman Emmanuel Eco and Co. ,"W/P May 14-31 (Const of MP Bldg. Brgy. Exciban, Labo) 60%"," 1 35,000.00",-
LGU Development Assistance Program - 8919(30),-,1306-6065 ,93,Aldrin Villegas and Co. ,"W/P June 1-12 (Const of MP Bldg. Brgy. San Roque, Mercedes) 100% ","5 3,500.00",-
LGU Development Assistance Program - 8919(30),-,1306-6080 ,94, Joderick Ibasa and Co. ,"W/P May 14-30 (Const of MP Bldg. Brgy. Mangcawayan, Vinzons) 100% ","2 9,750.00",-
LGU Development Assistance Program - 8919(30),6/26/2013,1302-0950 ,95,Shear Construction and Supply ,"F/P-Asphalting of Brgy. Road Brgy. Mandazo, Basud ","4 91,377.00",-
LGU Development Assistance Program - 8919(30),-,-,-,-,Total Expenditures ,-,"23,255,290.00"
LGU Development Assistance Program - 8919(30),-,-,-,-,Unobligated Balance,-,"5,623,444.39"
Counterpart or Equity to National Government Projects - 1918(33),-,-,-,-,Appropriation (SP Res#257-2012/AO#27-2012)  ,-,"21,893,417.54"
Counterpart or Equity to National Government Projects - 1918(33),-,-,-,-,Less: Realigment(SP Res#097-2013/AO#03-2013),-,"-17,000,000.00"
Counterpart or Equity to National Government Projects - 1918(33),-,-,-,-,Total Expenditures,-,-
Counterpart or Equity to National Government Projects - 1918(33),-,-,-,-,Unobligated Balance  ,-,"4,893,417.54"
Loan Amortization - 9921,-,-,-,-,Appropriation (SP Res#257-2012/AO#27-2012) ,-,"54,847,601.68"
Loan Amortization - 9922,4/15/2013,1304-3791 ,77,LBP-Daet ,Documentary Stamps ,"4 2,131.00",-
Loan Amortization - 9923,-,1304-3785 ,78,LBP-Daet ,"Loan Amortization-Principal and Interest Jan. 1-Mar. 18, 2013"," 4 19,122.07",-
Loan Amortization - 9924,-,1304-3786 ,79,LBP-Daet ,"Loan Amortization- Interest and GRT Jan. 18-Feb. 8, 2013 ","1 26,628.93",-
Loan Amortization - 9925,-,1304-3787 ,80,LBP-Daet,"Loan Amortization- Interest and GRT Jan.-Apr. 1, 2013 ","2 59,501.49",-
Loan Amortization - 9926,-,1304-3788 ,81,LBP-Daet ,"Loan Amortization-Principal and Interest Jan. 2-Apr. 1, 2013 ","3,646,052.37",-
Loan Amortization - 9927,-,1304-3789 ,82,LBP-Daet ,"Loan Amortization-Principal and Interest Jan. 1-Mar. 15, 2013 ","4,471,123.38",-
Loan Amortization - 9928,-,1304-3790 ,83,LBP-Daet ,"Loan Amortization- Interest and GRT Jan. 1-Mar 13, 2013 ","9 43,041.29",-
Loan Amortization - 9929,5/28/2013,1305-5291 ,129,LBP-Daet ,"Loan Amortization-Interest and GRT Feb 8-Apr. 18, 2013"," 5 12,595.71",-
Loan Amortization - 9930,-,1305-5289 ,130,LBP-Daet ,"Loan Amortization-Principal Interest and GRT Jan. 18-Apr. 18, 2013","6,066,918.10",-
Loan Amortization - 9931,6/20/2013,1306-6007 ,89,LBP-Daet ,"Loan Amortization-Principal, Interest and GRT Apr. 1-May 31 ","3 ,877,481.83",-
Loan Amortization - 9932,-,-,-,-,Total Expenditures ,-,"20,364,596.17"
Loan Amortization - 9933,-,-,-,-,Unobligated Balance ,-,"34,483,005.51"
Rehab of Agro Sports Center and Facilities (SB#1),-,-,-,-,Appropriation (SP Res#097-2013/AO#03-2013) ,-,"1,600,000.00"
Rehab of Agro Sports Center and Facilities (SB#1),-,-,-,-,Total Expenditures,-,-
Rehab of Agro Sports Center and Facilities (SB#1),-,-,-,-,Unobligated Balance ,-,-
Rehab of Agro Sports Center and Facilities (SB#1),-,-,-,-,Balance last quarter,-,"112,889,904.85"
Rehab of Agro Sports Center and Facilities (SB#1),-,-,-,-,Add: Unprogrammed ,-,"1,818,779.00"
-,-,-,-,-,TOTAL Appropriation ,-,"114,708,683.85"
-,-,-,-,-,Less:Realignments (SP Res#077-2013/AO#03-2013) ,-,"27,474,700.00"
-,-,-,-,-,Add: SB#1 (SP Res#077-2013/AO#03-2013) ,-,"30,776,924.00"
-,-,-,-,-,Total Obligations or Expenditures ,-,"53,760,038.54"
-,-,-,-,-,Balance ,-,"64,250,869.31"
