Loan_ID,Loan_Title,Fund_Source,Loan_Type,IA,Fund_Source,Loan_Type,IA,Region,BD_NBD,Sector,Subsector,Subsubsector,Main_Region,Region,MultiRegion,Fin_Year_ID,AllFinInfo_LoanID,Reporting_Date,MaxReport_Date,1QA,2QA,3QA,4QA,Cumulative_Actual_Disbursement,1QT,2QT,3QT,4QT,Cumulative_Target_Disbursement,1C,2C,3C,4C,Cumulative_Cancellations_Year,Undisbursed_Amount_Prev,Loan_Balance,Disbursement_Rate,Cumulativ_Actual_Disbursement,Cumulative_Target_Disbursement,Loan_Amount,Net_Commitment,Availment_Rate,Backlog_Amount,Cumulative_Cancellation,Disbursement_Ratio,Loan_Signing_Date,Loan_Closing_Date,Revised_Closing_Date,Max_Closing_Date,Loan_Effectivity_Date,Length_In_Years,Age_In_Years,Delay_In_Years,Time_Elapsed,Utilization_Rate,Balance,TE-UR,Loan_Status
PH-P224,Laoag River Basin Flood Control and Sabo Project,FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,DPWH,NGA,TRUE,Infrastructure,Water Resources,Flood Control,LUZON,I,I,1024,PH-P224,12/31/09,12/31/09,1.31,0.49,0.13,0.00,1.93,0.35,0.10,0.10,0.00,0.55,0.00,0.00,0.00,0.14,0.14,1.32,1.18,350.91%,68.63,68.63,68.77,68.63,100.00%,0.00,0.14,164.12%,5/30/01,9/25/09,,9/25/09,9/25/01,8.01,8.27,0.27,103.32%,100.00%,0.00,3.32%,Closed
PH-P225,Sustainable Environmental Mgt. Project in Northern Palawan,FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,DOT,NGA,TRUE,Infrastructure,Transportation,Roads and Bridges,LUZON,IV,IV,1025,PH-P225,12/31/09,12/31/09,0.02,0.00,0.06,0.00,0.08,0.00,0.02,0.00,0.00,0.02,0.00,0.00,0.00,0.85,0.85,0.94,0.08,400.00%,21.32,21.32,22.17,21.32,100.00%,0.00,0.85,96.39%,3/30/01,9/25/09,,9/25/09,9/25/01,8.01,8.27,0.27,103.32%,100.00%,0.00,3.32%,Closed
PH-P226,Subic-Clark-Tarlac Expressway Project,FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,BCDA,GOCC,FALSE,Infrastructure,Transportation,Roads and Bridges,LUZON,III,III,1026,PH-P226,12/31/09,12/31/10,28.68,2.21,11.58,64.92,107.39,44.88,12.60,41.95,33.25,132.68,0.00,0.00,0.00,0.00,0.00,159.03,159.03,80.94%,606.24,598.70,643.50,643.50,101.26%,-7.54,0.00,67.53%,9/14/01,12/1/09,12/17/10,12/17/10,12/1/01,9.05,8.09,-0.96,89.37%,94.21%,37.27,-4.84%,Ongoing
PH-P227,"Arterial Road Links Project, Phase VI",FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,DPWH,NGA,TRUE,Infrastructure,Transportation,Roads and Bridges,VISAYAS,Visayas Wide,"VII, VIII",1027,PH-P227,12/31/09,12/31/09,5.80,4.69,12.04,0.00,22.53,5.75,5.84,6.83,0.00,18.42,0.00,0.00,0.00,1.08,1.08,23.97,22.89,122.31%,72.20,72.20,73.28,72.20,100.00%,0.00,1.08,98.43%,3/28/02,9/24/09,,9/24/09,9/24/02,7.01,7.27,0.27,103.83%,100.00%,0.00,3.83%,Closed
PH-P228,"New Communications, Navigation and Surveillance/Air Traffic Management Systems Dev't",FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,DOTC,NGA,TRUE,Infrastructure,Transportation,Airport and Airnavigation,NATIONWIDE,Nationwide,Nationwide,1028,PH-P228,12/31/09,6/30/13,1.28,0.29,0.95,0.35,2.87,0.92,0.72,0.94,0.25,2.83,0.00,0.00,0.00,0.00,0.00,234.71,234.71,101.41%,8.58,228.86,240.33,240.33,3.75%,220.27,0.00,1.22%,3/28/02,2/21/10,5/21/17,5/21/17,2/21/03,14.26,6.86,-7.39,48.15%,3.57%,231.75,44.58%,Ongoing
PH-P229,Bago River Irrigation System Rehab. And Improvement Project,FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,NIA,GOCC,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,Irrigation,VISAYAS,VI,VI,1029,PH-P229,12/31/09,12/31/10,1.40,1.57,1.66,2.96,7.59,2.04,5.28,5.58,2.35,15.25,0.00,0.00,0.00,0.00,0.00,15.70,15.70,49.77%,27.16,33.74,35.14,35.14,80.50%,6.58,0.00,48.34%,3/28/02,2/21/10,,2/21/10,2/21/03,7.01,6.86,-0.14,97.97%,77.29%,7.98,20.68%,Ongoing
PH-P230,Iloilo Flood Control Project Phase II,FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,DPWH,NGA,TRUE,Infrastructure,Water Resources,Flood Control,VISAYAS,VI,VI,1030,PH-P230,12/31/09,12/31/10,4.33,2.98,2.57,2.35,12.23,3.23,1.42,1.74,1.80,8.19,0.00,0.00,0.00,0.00,0.00,27.40,27.40,149.33%,59.21,61.48,74.01,74.01,96.32%,2.27,0.00,44.64%,3/28/02,9/24/10,,9/24/10,9/24/02,8.01,7.27,-0.73,90.86%,80.00%,14.80,10.86%,Ongoing
PH-P231,Urgent Bridges Construction Project for Rural Development,FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,DPWH,NGA,TRUE,Infrastructure,Transportation,Roads and Bridges,NATIONWIDE,Nationwide,Nationwide,1031,PH-P231,12/31/09,12/31/11,10.18,8.94,12.57,10.19,41.88,17.28,15.00,19.09,19.98,71.35,0.00,0.00,0.00,0.00,0.00,124.62,124.62,58.70%,119.60,128.56,201.52,201.52,93.03%,8.96,0.00,33.61%,3/28/02,9/24/09,9/24/11,9/24/11,9/24/02,9.01,7.27,-1.73,80.77%,59.35%,81.92,21.42%,Ongoing
PH-P235,ARMM Social Fund for Peace and Development,TRUE,FALSE,GOJ-JICA,GOJ-JICA,Project,ARG,LGU,TRUE,Social Reform and Community Development,Social Welfare and Community Development,Social Welfare and Community Development,MINDANAO,ARMM,ARMM,1032,PH-P235,12/31/09,12/31/12,1.49,0.16,0.66,1.47,3.78,1.51,2.10,1.35,1.68,6.64,0.00,0.00,0.00,0.00,0.00,14.89,14.89,56.93%,15.91,24.70,26.92,26.92,64.42%,8.79,0.00,25.38%,12/11/03,4/6/11,12/6/12,12/6/12,4/6/04,8.67,5.74,-2.93,66.17%,59.10%,11.01,7.07%,Ongoing
PH-P236,Arterial road Bypass Project I (Plaridel and Cabanatuan),FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,DPWH,NGA,TRUE,Infrastructure,Transportation,Roads,LUZON,III,III,1033,PH-P236,12/31/09,12/31/12,0.05,4.53,0.41,3.66,8.65,3.37,2.13,2.46,1.94,9.90,0.00,0.00,0.00,0.00,0.00,66.56,66.56,87.37%,10.08,67.83,67.83,67.83,14.86%,57.75,0.00,13.00%,3/30/03,7/29/12,,7/29/12,7/29/04,8.01,5.43,-2.58,67.80%,14.86%,57.75,52.94%,Ongoing
PH-P237,Central Mindanao Road Project,FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,DPWH,NGA,TRUE,Infrastructure,Transportation,Roads and Bridges,MINDANAO,Mindanao Wide,"IX, X, XI, XII, CARAGA, ARMM",1034,PH-P237,12/31/09,12/31/11,2.01,0.16,2.15,1.27,5.59,3.66,1.95,2.00,3.35,10.96,0.00,0.00,0.00,0.00,0.00,37.85,37.85,51.00%,8.37,38.51,40.52,40.52,21.72%,30.15,0.00,14.77%,12/16/03,4/30/11,12/31/11,12/31/11,4/30/04,7.67,5.67,-2.00,73.94%,20.65%,32.15,53.29%,Ongoing
PH-P238,Subic Bay Freeport Environmental Management Project II,FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,SBMA,GOCC,FALSE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,Environment,LUZON,III,III,1035,PH-P238,12/31/09,12/31/09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.80,10.80,10.80,0.00,0.00%,0.00,0.00,10.80,0.00,0.00%,0.00,10.80,0.00%,3/28/03,11/10/12,,11/10/12,11/10/03,9.01,6.15,-2.86,68.22%,0.00%,0.00,0.00%,Closed
PH-P239,Pasig Marikina River Channel Improvement Project (Phase II),FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,DPWH,NGA,TRUE,Infrastructure,Water Resources,Flood Control,LUZON,NCR,NCR,1036,PH-P239,12/31/09,6/30/13,0.39,0.00,12.08,0.35,12.82,0.31,0.44,0.52,1.85,3.12,0.00,0.00,0.00,0.00,0.00,88.49,88.49,410.90%,17.17,32.66,93.03,93.03,52.59%,15.48,0.00,14.49%,2/27/07,6/21/15,,6/21/15,6/21/07,8.01,2.53,-5.47,31.62%,18.46%,75.86,13.16%,Ongoing
PH-P241,Pinatubo Hazard Urgent Mitigation Project III,FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,DPWH,NGA,TRUE,Infrastructure,Water Resources,Flood Control and Mitigation,LUZON,III,,1037,PH-P241,12/31/09,6/30/13,1.15,0.68,1.31,1.07,4.21,1.00,1.43,1.44,1.68,5.55,0.00,0.00,0.00,0.00,0.00,81.31,81.31,75.86%,5.86,4.89,82.88,82.88,119.80%,-0.97,0.00,5.18%,12/18/07,4/15/15,,4/15/15,4/15/08,7.00,1.71,-5.29,24.45%,7.07%,77.02,17.38%,Ongoing
PH-P242,Agrarian Reform Infrastructure Support Project III,TRUE,TRUE,GOJ-JICA,GOJ-JICA,Project,DAR,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,,NATIONWIDE,Nationwide,,1038,PH-P242,12/31/09,6/30/13,0.22,0.44,0.22,0.48,1.36,0.47,1.24,1.42,0.34,3.47,0.00,0.00,0.00,0.00,0.00,113.12,113.12,39.19%,16.91,15.21,128.64,128.64,111.18%,-1.70,0.00,1.20%,12/18/07,4/15/17,,4/15/17,4/15/08,9.01,1.71,-7.29,19.01%,13.14%,111.74,5.87%,Ongoing
PH-P243,Environmental Development Project,TRUE,FALSE,GOJ-JICA,GOJ-JICA,Project,DBP,GFI,FALSE,Infrastructure,Urban Infrastructure,,NATIONWIDE,Nationwide,,1039,PH-P243,12/31/09,6/30/13,9.28,0.00,24.14,0.00,33.42,9.28,0.00,4.67,1.36,15.31,0.00,0.00,0.00,0.00,0.00,270.82,270.82,218.29%,33.63,8.43,270.82,270.82,399.10%,-25.20,0.00,12.34%,9/30/08,1/7/16,,1/7/16,1/7/09,7.00,0.98,-6.02,14.01%,12.42%,237.19,1.59%,Ongoing
PH-P244,Agriculture Credit Support Project,FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,LBP,GFI,FALSE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture,,NATIONWIDE,Nationwide,,1305,PH-P244,12/31/09,6/30/13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,177.66,177.66,0.00%,0.00,0.00,0.00%,11/25/09,3/23/17,,3/23/17,3/23/10,7.01,-0.23,-7.23,-3.21%,0.00%,177.66,-3.21%,Newly Signed
PH-P245,Logistics Infrastructure Development Project,FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,DBP,GFI,FALSE,Infrastructure,Social Infrastructure,,NATIONWIDE,Nationwide,,1112,PH-P245,12/31/09,6/30/13,0.00,0.00,0.00,109.00,109.00,0.00,0.00,0.00,109.00,109.00,0.00,0.00,0.00,0.00,0.00,331.14,331.14,100.00%,109.00,81.96,331.14,331.14,133.00%,-27.04,0.00,32.92%,11/9/09,12/24/16,,12/24/16,12/24/09,7.01,0.02,-6.99,0.27%,32.92%,222.14,-32.65%,Newly Effective
SAUDI-1/433,Mindanao Roads Improvement Project,FALSE,FALSE,OTHERS,Saudi Arabia,Project,DPWH,NGA,TRUE,Infrastructure,Transportation,Roads,MINDANAO,Mindanao Wide,,1094,SAUDI-1/433,12/31/09,12/31/12,0.00,0.67,0.05,0.00,0.72,0.00,0.67,0.05,0.00,0.72,0.00,0.00,0.00,0.00,0.00,20.00,20.00,100.00%,0.72,20.00,20.00,20.00,3.60%,19.28,0.00,3.59%,10/21/05,12/31/09,12/31/12,12/31/12,4/2/06,6.75,3.75,-3.00,55.54%,3.60%,19.28,51.94%,Ongoing
SIDA-01,Credit Facility for the Environmental Management Project,FALSE,FALSE,OTHERS,SIDA,Project,DBP,GFI,FALSE,"Industry, Trade and Tourism","Industry, Trade and Tourism",,NATIONWIDE,Nationwide,Nationwide,1095,SIDA-01,12/31/09,12/31/11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.89,0.00,2.89,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00%,0.00,8.77,10.00,10.00,0.00%,8.77,0.00,0.00%,8/3/05,8/3/08,8/3/11,8/3/11,10/21/05,5.79,4.20,-1.59,72.54%,0.00%,10.00,72.54%,Ongoing
Spain-8,Bridge Construction/Replacement Project,FALSE,FALSE,OTHERS,Spain,Project,DPWH,NGA,TRUE,Infrastructure,Transportation,,NATIONWIDE,Nationwide,"Nationwide except NCR, ARMM",1119,Spain-8,12/31/09,6/30/13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,47.63,47.63,0.00%,0.00,0.00,0.00%,11/6/09,6/10/13,,6/10/13,2/10/10,3.33,-0.11,-3.44,-3.37%,0.00%,47.63,-3.37%,Newly Signed
UK-4,Tulay ng Pangulo sa Kaunlaran,FALSE,FALSE,OTHERS,UK,Project,DPWH,NGA,TRUE,Infrastructure,Transportation,,NATIONWIDE,Nationwide,Nationwide,1096,UK-4,12/31/09,12/31/10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.82,106.82,0.00%,61.62,158.33,168.44,168.44,38.92%,96.71,0.00,0.00%,8/3/05,8/16/10,,8/16/10,9/29/05,4.88,4.26,-0.63,87.21%,36.58%,106.82,50.63%,Ongoing
UK-5,Tulay ng Pangulo Para sa Magsasaka Project,FALSE,FALSE,OTHERS,UK,Project,DAR,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,,NATIONWIDE,Nationwide,Nationwide,998,UK-5,12/31/09,12/31/11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.60,131.60,0.00%,57.08,132.08,188.68,188.68,43.22%,75.00,0.00,0.00%,9/1/06,10/15/11,,10/15/11,12/6/06,4.86,3.07,-1.79,63.19%,30.25%,131.60,32.94%,Ongoing
