particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A020,A021,A022,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
     Department of Science and Technology,"107,724","101,344","160,351","4,606","373,309","21,169",205,"4,097,729","230,105","602,276","8,977",0,0,"122,596",0,"392,546","15,980","2,716","20,229",0,"3,476",487,"1,484",19,458,"6,267,786"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"26,364","13,044","21,258",286,"48,680","2,582",0,"2,985,766","27,403","2,837","3,381",0,0,"4,127",0,"65,645","1,119",433,"5,625",0,527,424,452,0,43,"3,209,996"
          Advanced Science and Technology Institute,236,"13,979",164,2,515,0,0,"66,010","3,394",190,99,0,0,305,0,"1,658",145,0,102,0,2,0,0,0,0,"86,801"
          Food and Nutrition Research Institute,"9,463",904,899,960,"7,487",25,0,0,"6,288",609,94,0,0,434,0,"45,341",813,0,874,0,22,0,0,0,0,"74,213"
          Forest Products Research and Development Institute,"3,154",771,628,0,"3,887",0,0,"5,130","5,700",685,86,0,0,388,0,"2,699",346,8,0,0,255,0,83,0,0,"23,820"
          Industrial Technology Development Institute,"2,192",438,"4,570",142,"14,854",197,0,0,"14,553",721,110,0,0,"1,754",0,"8,963",179,67,401,0,263,0,317,0,0,"49,721"
          Information and Communications Technology Office,"18,803","11,908","33,854",431,"40,097","11,247",5,0,"58,229","4,262","1,897",0,0,"4,065",0,"29,259",496,442,443,0,754,18,2,0,0,"216,212"
          Metals Industry Research and Development Center,520,746,"2,528",288,"4,845",167,0,"15,850","12,346",255,320,0,0,414,0,"4,508",182,25,102,0,57,0,5,0,0,"43,158"
          National Academy of Science and Technology,299,367,929,0,"1,120",163,0,"3,859",803,62,108,0,0,186,0,"24,403",395,13,"2,188",0,7,0,70,0,0,"34,972"
          National Research Council of the Philippines,618,259,697,6,826,47,0,"10,209","1,170",527,120,0,0,98,0,"1,701",363,30,959,0,15,0,146,0,355,"18,146"
"          Philippine Atmospheric, Geophysical and",,,,,,,,,,,,,,,,,,,,,,,,,,
                Astronomical Services Administration,"17,620","28,181","55,884","1,227","189,025","3,082",181,0,"24,758","4,696",224,0,0,"89,659",0,"25,441",367,211,0,0,264,45,18,0,0,"440,883"
"          Philippine Council for Agriculture, Aquatic",,,,,,,,,,,,,,,,,,,,,,,,,,
                and Natural Resources Research and Development,"6,085","3,736","9,024",0,"6,910",0,0,"195,679","7,855","13,404",213,0,0,"1,065",0,"11,180","3,479",37,"3,995",0,77,0,32,0,0,"262,771"
          Philippine Council for Health Research and Development,911,"1,025",188,0,858,162,0,"63,885","1,747",415,208,0,0,108,0,"1,464",173,81,"1,693",0,27,0,0,0,0,"72,945"
"          Philippine Council for Industry, Energy and",,,,,,,,,,,,,,,,,,,,,,,,,,
                Emerging Technology Research and Development,"3,112","1,446","1,149",0,"2,889",136,0,"558,583","3,282",406,304,0,0,360,0,"5,234",328,51,"1,039",0,36,0,0,0,0,"578,355"
          Philippine Institute of Volcanology and Seismology,"9,940","11,865","14,617",233,"14,088",442,0,0,"11,045",937,85,0,0,"12,646",0,"4,149","1,791",23,298,0,92,0,9,0,0,"82,260"
          Philippine Nuclear Research Institute,829,"3,130","3,943",430,"9,608",100,0,"1,976","19,337",108,9,0,0,"1,516",0,"9,081",120,48,220,0,110,0,227,0,60,"50,852"
          Philippine Science High School,"5,973","7,443","5,662",349,"19,174","2,360",0,"5,224","20,823","95,973","1,107",0,0,"4,084",0,"33,424","4,308","1,107","1,458",0,575,0,23,0,0,"209,067"
          Philippine Textile Research Institute,616,326,"1,799",52,"4,239",10,19,0,"5,123",234,139,0,0,559,0,"3,817",75,111,160,0,67,0,0,0,0,"17,346"
          Science Education Institute,192,433,300,0,"2,540",0,0,"159,047","2,624","475,659",95,0,0,534,0,"104,188",0,29,0,0,84,0,0,0,0,"745,725"
          Science and Technology Information Institute,314,946,944,0,954,199,0,462,"2,309",96,270,0,0,122,0,"5,598","1,001",0,468,0,215,0,0,0,0,"13,898"
          Technology Application and Promotion Institute,483,397,"1,314",200,713,250,0,"26,049","1,316",200,108,0,0,172,0,"4,793",300,0,204,0,27,0,100,19,0,"36,645"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Social Welfare and Development,"329,168","85,499","83,448","4,704","364,289","16,729",2,"32,347,482","81,411","812,985","10,706",0,0,"20,308",0,"2,289,126","204,539","22,504","2,835",0,"2,332",0,1,20,0,"36,678,088"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"318,465","80,205","81,103","4,704","356,716","11,604",0,"32,347,175","76,135","801,650","4,335",0,0,"19,213",0,"2,271,431","203,271","22,504",0,0,"2,200",0,0,20,0,"36,600,731"
          Council for the Welfare of Children,"1,853",721,625,0,"1,186",203,0,0,"1,163","6,597",280,0,0,207,0,"2,735",591,0,"1,380",0,19,0,0,0,0,"17,560"
          Inter-Country Adoption Board,"3,147","2,019",344,0,"2,035",322,0,42,891,"1,240","1,315",0,0,160,0,"6,158",241,0,258,0,0,0,0,0,0,"18,172"
          National Council on Disability Affairs,"1,136",938,922,0,"1,415",0,0,265,"1,106",52,110,0,0,134,0,"3,646",167,0,0,0,37,0,0,0,0,"9,928"
          National Youth Commission,"4,567","1,616",454,0,"2,937","4,600",2,0,"2,116","3,446","4,666",0,0,594,0,"5,156",269,0,"1,197",0,76,0,1,0,0,"31,697"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Tourism,"95,674","34,172","90,328","16,305","61,394","123,639","1,046","65,718","45,421","9,817","3,946",0,0,"4,311",0,"342,437","21,151","155,846","81,222",543,"1,497",0,"1,003",0,0,"1,155,470"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"94,814","32,879","13,187","16,305","52,620","123,396","1,046","65,718","20,622","9,182","3,517",0,0,"3,449",0,"300,607","21,027","154,909","80,738",543,"1,409",0,"1,003",0,0,"996,971"
          Intramuros Administration,411,765,960,0,"2,401",143,0,0,928,624,349,0,0,558,0,"9,551",2,891,187,0,81,0,0,0,0,"17,851"
          National Parks Development Committee,449,528,"76,181",0,"6,373",100,0,0,"23,871",11,80,0,0,304,0,"32,279",122,46,297,0,7,0,0,0,0,"140,648"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Trade and Industry,"165,422","72,246","40,584","4,325","109,580","267,142",556,"15,162","88,349","76,881","7,645",0,0,"8,954",0,"396,844","17,039","20,047","38,247",90,"6,687",0,75,0,0,"1,335,875"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"156,362","62,793","34,684","4,188","92,996","223,946",556,"15,162","64,964","71,591","5,331",0,0,"6,999",0,"331,763","14,407","18,842","31,253",90,"4,968",0,75,0,0,"1,140,970"
          Board of Investments,"8,300","6,647","2,681",0,"12,425","24,059",0,0,"9,291","4,245","1,711",0,0,687,0,"40,976","2,437",948,"6,478",0,540,0,0,0,0,"121,425"
          Construction Industry Authority of the Philippines,224,601,27,0,"1,065","8,566",0,0,"2,393",111,279,0,0,60,0,"4,178",32,133,154,0,28,0,0,0,0,"17,851"
          Construction Manpower Development Foundation,151,336,"1,024",128,808,"1,396",0,0,"1,161",275,104,0,0,802,0,"3,835",14,0,189,0,5,0,0,0,0,"10,228"
          Philippine Trade Training Center,270,768,"1,489",4,796,42,0,0,"6,740",289,110,0,0,300,0,"6,147",44,0,101,0,40,0,0,0,0,"17,140"
          Product Development and Design Center of the Philippines,115,"1,101",679,5,"1,490","9,133",0,0,"3,800",370,110,0,0,106,0,"9,945",105,124,72,0,"1,106",0,0,0,0,"28,261"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Transportation and Communications,"88,949","59,743","250,707","8,184","860,457","6,406,367",0,5,"565,647","38,100","18,208",300,800,"3,906,322",0,"1,203,476","35,395","4,399","29,384",0,"2,946",0,"6,603",100,0,"13,486,092"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"48,732","31,614","49,547","6,745","199,982","6,358,599",0,0,"472,968","18,917","6,285",300,0,"3,881,319",0,"1,138,861","1,308","2,398","23,358",0,"1,562",0,"6,297",100,0,"12,248,892"
          Civil Aeronautics Board,"3,600","2,300",766,0,"1,000",0,0,0,"2,500",70,110,0,0,251,0,"2,619",0,700,"1,476",0,120,0,0,0,0,"15,512"
          Maritime Industry Authority,"20,161","9,456","3,872","1,315","17,074","36,544",0,5,"21,296","7,751","1,021",0,0,887,0,"23,590","26,593",490,"3,318",0,688,0,306,0,0,"174,367"
          Office of Transportation Cooperatives,453,134,19,0,577,"1,845",0,0,406,74,80,0,0,5,0,334,0,0,69,0,10,0,0,0,0,"4,006"
          Office for Transportation Security,"3,231","1,320","3,826",112,"81,738","4,092",0,0,"4,671",754,"3,476",0,0,142,0,"6,100","5,791",254,590,0,88,0,0,0,0,"116,185"
          Philippine Coast Guard,"12,715","14,677","192,630",12,"559,789","2,785",0,0,"63,229","10,509","7,099",0,800,"23,693",0,"31,649","1,703",557,573,0,478,0,0,0,0,"922,898"
          Toll Regulatory Board,57,242,47,0,297,"2,502",0,0,577,25,137,0,0,25,0,323,0,0,0,0,0,0,0,0,0,"4,232"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     National Economic and Development Authority,"135,657","37,321","31,330","7,674","89,006","168,068",46,19,"86,259","44,433","10,560",0,0,"8,063",0,"327,034","26,481",670,"33,128",0,"1,294",0,439,0,0,"1,007,482"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Director-General,"23,299","21,308","12,274",258,"34,744","9,794",0,0,"22,546","17,572","4,022",0,0,"3,256",0,"73,571","9,150",447,"26,756",0,882,0,194,0,0,"260,073"
          National Statistical Coordination Board,"1,831","2,044",477,95,"3,418","13,649",46,0,"5,187","2,397","3,349",0,0,98,0,"2,803","1,347",6,762,0,128,0,0,0,0,"37,637"
          National Statistics Office,"105,243","12,019","8,903","7,321","47,509","132,955",0,0,"55,444","21,512","1,776",0,0,"4,126",0,"244,635","14,123",80,"3,503",0,125,0,204,0,0,"659,478"
          Philippine National Volunteer Service,,,,,,,,,,,,,,,,,,,,,,,,,,
                Coordinating Agency,328,219,180,0,461,78,0,0,659,654,110,0,0,56,0,"1,927",130,0,"1,490",0,16,0,0,0,0,"6,308"
          Public-Private Partnership Center of the Philippines,632,917,"9,268",0,"1,121","2,289",0,0,"1,045","1,573",736,0,0,312,0,"2,494",93,15,542,0,18,0,0,0,0,"21,055"
          Statistical Research and Training Center,367,177,90,0,292,"2,565",0,15,907,218,127,0,0,140,0,"1,604",0,0,0,0,49,0,41,0,0,"6,592"
          Tariff Commission,"3,957",637,138,0,"1,461","6,738",0,4,471,507,440,0,0,75,0,0,"1,638",122,75,0,76,0,0,0,0,"16,339"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Presidential Communications Operations Office,"98,297","41,285","17,818","2,916","56,222","16,280",0,50,"59,617","4,916","2,286",0,0,"5,089",0,"138,231",816,"6,723","22,010",0,"3,442",0,560,0,0,"476,558"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Presidential Communications Operations Office (Proper),"34,005","5,804","2,112",0,"9,771","1,273",0,0,"2,210",559,"1,347",0,0,593,0,"53,167",0,0,"14,055",0,586,0,0,0,0,"125,482"
          Bureau of Broadcast Services,"5,806","11,946","5,571",824,"8,854","3,744",0,50,"26,872",213,110,0,0,"1,748",0,"27,323",97,94,"2,350",0,692,0,500,0,0,"96,794"
          Bureau of Communications Services,188,"1,254",448,0,"2,263","3,741",0,0,"1,422",229,110,0,0,56,0,"2,298",344,0,0,0,94,0,0,0,0,"12,447"
          National Printing Office,431,"1,032",329,800,"2,254",0,0,0,"9,996",54,110,0,0,"1,258",0,"4,268",0,60,0,0,16,0,0,0,0,"20,608"
          News and Information Bureau,"7,681","3,430",398,73,"7,680",716,0,0,"3,463",550,110,0,0,110,0,"10,195",35,0,0,0,909,0,0,0,0,"35,350"
          Philippine Information Agency,"6,309","15,171","8,322","1,219","16,371","6,127",0,0,"15,112","3,223",426,0,0,957,0,"22,748",313,"6,569","5,605",0,939,0,60,0,0,"109,471"
          Presidential Broadcast Staff (RTVM),"43,877","2,648",638,0,"9,029",679,0,0,542,88,73,0,0,367,0,"18,232",27,0,0,0,206,0,0,0,0,"76,406"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Other Executive Offices,"290,937","111,809","85,123","4,609","368,938","241,862",15,"3,584,186","221,607","85,316","32,730","85,600","54,544","30,018",0,"653,550","18,919","17,465","140,418",0,"12,729","18,977","3,088",0,"35,814","6,098,254"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Anti-Money Laundering Council,"2,117",917,"1,600",0,829,696,0,0,"2,196",605,0,0,0,34,0,"1,002",0,30,739,0,37,0,842,0,0,"11,644"
          Commission on Filipinos Overseas,557,"3,332",520,0,"2,979","6,817",0,0,"3,552","1,065",325,0,0,173,0,"7,937",866,6,318,0,26,0,0,0,0,"28,473"
          Commission on Higher Education,"22,716","9,024","2,694",88,"15,387","4,502",0,"1,502,619","15,656","12,786","3,677",0,0,"2,046",0,"89,998",687,"1,124","11,551",0,227,0,118,0,0,"1,694,900"
          Commission on the Filipino Language,843,311,80,0,772,627,0,0,"1,427",87,400,0,0,50,0,"4,578","1,200",0,88,0,33,0,0,0,0,"10,496"
          Dangerous Drugs Board,"4,150","2,000","1,000",200,"13,000","1,352",0,"77,000","2,600","18,181",700,0,0,140,0,"1,000","3,500","1,800","2,900",0,14,0,22,0,0,"129,559"
          Energy Regulatory Commission,"8,005","4,526","1,500",0,"41,414","16,680",0,0,"5,178","2,391","1,670",0,0,583,0,"11,746",92,"3,035",0,0,221,0,0,0,0,"97,041"
          Film Development Council of the Philippines,"7,025","1,444","1,599","1,012","1,202","8,944",0,"12,873",928,662,296,0,0,296,0,"9,582",173,"4,705","1,898",0,25,0,546,0,"35,814","89,024"
          Games and Amusements Board,"5,518","1,939","1,430",0,"1,860","1,386",0,0,"1,910",208,122,0,0,430,0,"2,068",350,25,348,0,107,0,2,0,0,"17,703"
          Housing and Land Use Regulatory Board,"4,607","4,704","2,970",577,"6,770","9,927",0,19,"6,359","1,330",397,0,0,"1,200",0,"11,194",497,213,521,0,164,0,0,0,0,"51,449"
          Housing and Urban Development Coordinating Council,"4,039","4,724","4,607",392,"5,268","11,559",0,0,"4,620","4,316","1,350",0,0,754,0,"8,370",575,103,"1,570",0,394,"10,426",900,0,0,"63,967"
          Mindanao Development Authority,"7,528","2,143",688,18,"4,141","3,845",3,0,"1,424",67,585,0,0,251,0,"7,211",190,340,"5,054",0,78,0,27,0,0,"33,593"
          Movie and Television Review and,,,,,,,,,,,,,,,,,,,,,,,,,,
                Classification Board,"7,949",532,575,0,"1,865",0,0,0,"1,777",255,531,0,0,251,0,"3,476",275,91,518,0,79,0,0,0,0,"18,174"
          National Anti-Poverty Commission,"12,801","2,064",394,0,"2,536",434,0,0,"2,438",760,696,0,0,121,0,"31,102",7,16,"10,861",0,31,0,0,0,0,"64,261"
          Climate Change Commission,734,161,0,10,269,"1,597",0,20,0,106,205,0,0,0,0,668,0,51,102,0,106,0,0,0,0,"4,029"
          National Commission for Culture and the Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
               National Commission for Culture and the,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Arts (Proper),"23,968","4,342",839,287,"8,780","2,428",0,"139,621","5,704","1,928",218,0,0,754,0,"40,861","2,034","1,721","7,184",0,364,0,53,0,0,"241,086"
               National Historical Commission of the,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Philippines (National Historical Institute),"5,566","1,221","4,722",0,"3,161","3,885",0,0,"5,047",631,110,0,0,65,0,"39,742","1,407",780,"6,804",0,262,0,46,0,0,"73,449"
               National Library of the Philippines,"1,935","3,646","1,755",71,"6,426",0,0,0,"9,771",994,137,0,0,"1,320",0,"10,379",755,0,0,0,"5,837",0,133,0,0,"43,159"
               National Archives of the Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,
                     (formerly Records Management and,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Archives Office),"1,257",557,589,116,"3,516","9,960",0,0,"4,720","1,565",139,0,0,221,0,"8,629",47,20,29,0,47,0,44,0,0,"31,456"
          National Commission on Indigenous Peoples,"13,973","7,233","1,460",487,"10,900","17,197",0,"130,191","6,782","14,276","3,397",0,0,937,0,"8,098",961,0,"13,611",0,173,"8,551",0,0,0,"238,227"
          National Intelligence Coordinating Agency,"16,269","9,064","7,887","1,077","19,569","4,025",0,5,"19,115","2,748","3,328",0,"43,544","2,571",0,"2,509",22,0,"4,514",0,"1,037",0,0,0,0,"137,284"
          National Security Council,"3,777","3,439","1,454",0,"6,134",732,0,0,"5,879",230,"1,302",0,"11,000",255,0,"4,844",0,0,"6,935",0,"1,409",0,0,0,0,"47,390"
          National Commission on Muslim Filipinos,,,,,,,,,,,,,,,,,,,,,,,,,,
                (Office on Muslim Affairs),"17,008","4,343","1,772",115,"4,546","13,736",0,"97,361","5,480","4,686","3,285",0,0,77,0,"14,028",530,208,"2,674",0,196,0,0,0,0,"170,045"
          National Telecommunications Commission,"6,286","5,278","4,069",7,"16,540","1,124",0,0,"14,119","2,392","1,205",0,0,"2,356",0,"25,649",8,185,"1,109",0,361,0,0,0,0,"80,688"
          Office of the Presidential Adviser on the,,,,,,,,,,,,,,,,,,,,,,,,,,
                Peace Process,"63,248","10,419","15,347",0,"28,716","47,005",12,"1,624,049","8,874",466,"1,789","12,000",0,247,0,"61,005",668,"2,797","53,520",0,401,0,0,0,0,"1,930,563"
          Optical Media Board,"1,876",404,737,0,"1,788","5,390",0,0,"1,376",591,211,0,0,237,0,"2,624",122,0,0,0,37,0,0,0,0,"15,393"
          Philippine Commission on Women (National,,,,,,,,,,,,,,,,,,,,,,,,,,
                Commission on the Role of Filipino Women),"6,507","1,852",643,0,"6,209",695,0,0,"2,014",219,106,0,0,181,0,"34,480","2,622",33,0,0,32,0,0,0,0,"55,593"
          Pasig River Rehabilitation Commission,277,564,"2,263",0,"2,947","4,090",0,0,"2,855","1,771",76,0,0,455,0,"55,262",459,57,376,0,39,0,0,0,0,"71,491"
          Philippine Drug Enforcement Agency,"4,416","3,697","8,267",0,"90,600","44,224",0,0,"12,815","5,605",807,"73,600",0,29,0,"20,767",715,0,0,0,0,0,0,0,0,"265,542"
          Philippine Racing Commission,401,672,379,0,"1,899","2,205",0,0,"1,120",333,510,0,0,211,0,"72,645",0,0,0,0,53,0,0,0,0,"80,428"
          Philippine Sports Commission,"18,339","1,812","3,328",43,"31,503",616,0,255,"51,093",21,883,0,0,469,0,"22,965",0,0,0,0,160,0,0,0,0,"131,487"
          Presidential Commission for the Urban Poor,"2,824","1,419",496,0,"1,756","4,110",0,0,"1,417","2,608",400,0,0,163,0,"6,789",0,0,0,0,85,0,0,0,0,"22,067"
          Presidential Communications Development and,,,,,,,,,,,,,,,,,,,,,,,,,,
                Strategic Planning Office,"1,944","2,640",130,109,"2,099",131,0,0,"1,384",0,657,0,0,89,0,"4,289",123,0,"2,952",0,162,0,355,0,0,"17,064"
          Presidential Legislative Liaison Office,55,713,384,0,"1,788",173,0,0,0,439,603,0,0,178,0,"3,196",0,0,"2,198",0,51,0,0,0,0,"9,778"
          Presidential Management Staff,"12,422","10,673","8,945",0,"21,769","11,770",0,173,"11,977",994,"2,613",0,0,"12,874",0,"24,857",34,125,"2,044",0,481,0,0,0,0,"121,751"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Autonomous Region in Muslim Mindanao,"75,088","26,575","224,785","9,957","462,135","22,130",135,"826,804","40,148","144,110","10,771",0,0,"1,704",0,"394,691","2,361","5,361","2,519",0,836,"1,147",428,0,120,"2,251,805"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Autonomous Regional Government in Muslim Mindanao,"75,088","26,575","224,785","9,957","462,135","22,130",135,"826,804","40,148","144,110","10,771",0,0,"1,704",0,"394,691","2,361","5,361","2,519",0,836,"1,147",428,0,120,"2,251,805"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Joint Legislative-Executive Councils,3,38,11,0,115,0,0,0,0,153,31,0,0,3,0,0,0,0,24,0,16,0,0,0,0,394
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Legislative-Executive Development Advisory Council,3,38,11,0,115,0,0,0,0,153,31,0,0,3,0,0,0,0,24,0,16,0,0,0,0,394
,,,,,,,,,,,,,,,,,,,,,,,,,,
     The Judiciary,"167,625","151,429","575,581","20,773","548,097","188,452",0,"60,376","380,831","98,669","170,738","4,027",0,"74,825",0,"611,390","3,983","9,612","93,092",0,"53,325",0,176,129,0,"3,213,130"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Supreme Court of the Philippines and the,,,,,,,,,,,,,,,,,,,,,,,,,,
                Lower Courts,"138,078","124,004","531,153","18,532","445,165","168,123",0,"60,376","271,784","71,738","144,268","4,027",0,"65,191",0,"530,392","3,127","7,122","90,351",0,"33,945",0,0,0,0,"2,707,376"
               Presidential Electoral Tribunal,101,508,6,67,25,558,0,0,222,0,480,0,0,0,0,"14,883",0,0,0,0,0,0,0,0,0,"16,850"
          Sandiganbayan,"7,364","3,230","22,921",100,"13,489","1,028",0,0,"34,888","15,844","6,565",0,0,"1,464",0,"6,039",84,158,0,0,254,0,0,129,0,"113,557"
          Court of Appeals,"17,171","19,402","19,221",739,"80,172","16,311",0,0,"63,857","10,391","17,055",0,0,"5,486",0,"45,759",719,"1,384",0,0,"18,829",0,58,0,0,"316,554"
          Court of Tax Appeals,"4,911","4,285","2,280","1,335","9,246","2,432",0,0,"10,080",696,"2,370",0,0,"2,684",0,"14,317",53,948,"2,741",0,297,0,118,0,0,"58,793"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Civil Service Commission,"9,917","9,448","10,306",136,"14,443","1,543",70,"22,387","19,901","5,310","3,606",0,0,"2,600",0,"23,536","1,144","1,172","4,918",0,376,0,97,0,"5,175","136,085"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Civil Service Commission,"8,506","8,066","9,443",136,"13,082","1,543",70,"22,387","18,196","2,457","3,375",0,0,"2,294",0,"14,316",848,703,"3,946",0,354,0,76,0,"5,175","114,973"
               Career Executive Service Board,"1,411","1,382",863,0,"1,361",0,0,0,"1,705","2,853",231,0,0,306,0,"9,220",296,469,972,0,22,0,21,0,0,"21,112"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Commission on Audit,"75,806","18,003","9,008",0,"33,759","1,926",0,0,"51,437","10,814","5,888",0,0,"5,329",0,"64,581",0,155,"16,132",0,"1,276",0,81,0,0,"294,195"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Commission on Elections,"28,441","19,563","14,950","121,522","881,155","31,002",0,"1,000","38,575","22,972","5,131","10,000",0,"2,761",0,"119,800",0,"11,316","7,768",0,464,0,0,0,0,"1,316,420"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the Ombudsman,"13,869","11,336","4,558",500,"24,309","12,549",0,0,"34,478","4,704","8,633",500,500,"3,426",0,"66,914","1,160","1,585",836,0,768,0,0,0,0,"190,625"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Commission on Human Rights,"10,466","5,350","1,878",111,"9,274","9,169",181,"1,971","7,366","4,895","1,602",0,0,451,0,"7,321",125,347,335,0,353,0,368,0,0,"61,563"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
SPECIAL PURPOSE FUNDS,8,"3,592","20,635",0,"74,302","1,005","278,996,000","385,749,801","47,407","1,772",0,0,0,79,0,"815,757",0,0,438,0,0,0,0,0,0,"665,710,796"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Budgetary Support to Government Corporations,0,0,0,0,0,0,0,"71,360,713",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"71,360,713"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Department of Agrarian Reform,0,0,0,0,0,0,0,"3,977,374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,977,374"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Land Bank of the Philippines,0,0,0,0,0,0,0,"3,977,374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,977,374"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Department of Agriculture,0,0,0,0,0,0,0,"12,250,552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,250,552"
