particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A020,A021,A022,A023,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
          Philippine Veterans Affairs Office,"2,822","16,745","13,890",68,"328,240","7,525",0,"151,598","81,028","2,942",490,0,0,"1,259",0,0,"48,770","4,300",470,"4,500",0,133,0,0,0,0,"664,780"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Philippine Veterans Affairs Office (Proper),"2,776","15,730","10,530",68,"27,000","7,525",0,"151,598","12,728","2,642",380,0,0,527,0,0,"28,424","4,300",470,"4,500",0,100,0,0,0,0,"269,298"
               Veterans Memorial Medical Center,46,"1,015","3,360",0,"301,240",0,0,0,"68,300",300,110,0,0,732,0,0,"20,346",0,0,0,0,33,0,0,0,0,"395,482"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Armed Forces of the Philippines,"554,415","234,053","4,681,912","137,703","8,793,426","49,904",13,"1,630","1,600,647","427,155","41,270","22,000","214,397","174,258",0,0,"236,245","19,161","3,365","448,550","3,526","11,264","5,287",412,"1,001","1,500","17,663,094"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Philippine Army (Land Forces),"111,480","52,048","1,347,948","63,949","3,453,158","3,684",0,0,"390,466","227,104",0,"22,000","22,000","80,818",0,0,"14,074","2,189",146,"97,341",0,"1,263","5,180",0,580,0,"5,895,428"
               Philippine Air Force (Air Force),"246,256","30,184","2,021,416","23,480","1,342,889","11,492",0,"1,500","289,457","57,507","16,583",0,"17,000","17,695",0,0,"12,046","6,755","2,555","130,831",0,"3,426",107,141,50,"1,500","4,232,870"
               Philippine Navy (Naval Forces),"26,540","60,400","953,003","50,159","2,469,322","3,436",0,0,"333,836","28,711","6,268",0,"34,749","44,709",0,0,"135,970",0,0,"3,185",0,"2,000",0,0,353,0,"4,152,641"
"               General Headquarters, AFP and AFP Wide",,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Service Support Units (AFPWSSUS),"170,139","91,421","359,545",115,"1,528,057","31,292",13,130,"586,888","113,833","18,419",0,"140,648","31,036",0,0,"74,155","10,217",664,"217,193","3,526","4,575",0,271,18,0,"3,382,155"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Public Works and Highways,"37,654","45,049","12,230,018","6,612","141,471","9,131",0,"1,275","118,317","18,177","4,104",0,0,"30,852",0,0,"66,621","2,746","2,729","1,993",0,"2,515",0,404,0,0,"12,719,668"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"37,654","45,049","12,230,018","6,612","141,471","9,131",0,"1,275","118,317","18,177","4,104",0,0,"30,852",0,0,"66,621","2,746","2,729","1,993",0,"2,515",0,404,0,0,"12,719,668"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Science and Technology,"125,411","133,635","184,329","9,805","340,501","140,868",2,"3,690,468","234,529","1,514,436","7,554",0,0,"118,710",0,0,"275,240","19,219","3,412","19,036",0,"7,826",475,"2,349",250,210,"6,828,265"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"35,840","15,306","28,279",223,"57,215","4,691",0,"1,771,106","47,991","4,185","3,234",0,0,"5,205",0,0,"53,676","1,233",671,"3,872",0,724,0,598,0,50,"2,034,099"
          Advanced Science and Technology Institute,753,"23,095","1,215",22,"1,965",215,0,0,"5,589",340,110,0,0,332,0,0,"1,586",295,0,133,0,63,0,0,0,0,"35,713"
          Food and Nutrition Research Institute,"22,910",590,"1,037","3,000","9,082",0,0,"10,000","8,580","1,020",110,0,0,500,0,0,"54,954",50,30,250,0,100,0,0,0,0,"112,213"
          Forest Products Research and Development Institute,"3,386",800,"1,015",60,"4,391",0,0,0,"5,540",763,110,0,0,300,0,0,"2,564",350,30,0,0,225,0,200,0,0,"19,734"
          Industrial Technology Development Institute,"4,199","1,653","3,590",150,"8,318",181,0,"60,730","15,694",500,390,0,0,"2,267",0,0,"6,170",179,50,120,0,275,0,500,0,0,"104,966"
          Information and Communications Technology Office,"4,427","7,146","27,066",160,"15,151","122,309",0,0,"20,668","2,307",603,0,0,728,0,0,"12,561",278,138,131,0,"2,919",45,12,0,0,"216,649"
          Metals Industry Research and Development Center,"1,000",895,"4,080",240,"6,730",155,0,"504,050","11,355",300,210,0,0,600,0,0,"4,080",315,75,100,0,40,0,10,0,0,"534,235"
          National Academy of Science and Technology,465,400,"1,645",0,"1,205",75,0,"11,578","1,372",110,110,0,0,215,0,0,"25,051",535,50,"1,330",0,22,0,50,0,0,"44,213"
          National Research Council of the Philippines,723,250,914,5,753,22,0,"19,266","1,444",622,110,0,0,60,0,0,"1,225",646,14,"1,383",0,15,0,77,240,0,"27,769"
"          Philippine Atmospheric, Geophysical and",,,,,,,,,,,,,,,,,,,,,,,,,,,
                Astronomical Services Administration,"19,258","47,459","73,008","2,979","165,670","4,794",0,0,"28,081","9,448",110,0,0,"87,151",0,0,"23,913",561,45,0,0,490,400,0,0,0,"463,367"
"          Philippine Council for Agriculture, Aquatic",,,,,,,,,,,,,,,,,,,,,,,,,,,
                and Natural Resources Research and Development,"9,219","3,981","8,197",426,"8,608",873,0,"670,643","10,200","2,277",110,0,0,"1,364",0,0,"13,006","4,535",0,"7,765",0,84,0,291,0,0,"741,579"
          Philippine Council for Health Research and Development,525,689,349,0,680,100,0,"203,184","1,450",200,80,0,0,150,0,0,"1,180",150,56,350,0,50,0,0,0,0,"209,193"
"          Philippine Council for Industry, Energy and",,,,,,,,,,,,,,,,,,,,,,,,,,,
                Emerging Technology Research and Development,"1,300",810,"1,250",0,"1,650",140,0,"395,000","3,250",435,300,0,0,300,0,0,"3,259",400,50,630,0,37,0,0,0,0,"408,811"
          Philippine Institute of Volcanology and Seismology,"9,292","14,970","14,471","1,340","15,962",510,0,0,"11,907",600,110,0,0,"10,100",0,0,"4,993","1,250",188,290,0,350,0,60,0,0,"86,393"
          Philippine Nuclear Research Institute,800,"3,200","4,362",220,"8,946",100,0,"8,661","20,325",220,182,0,0,"1,250",0,0,"7,280",380,30,50,0,300,0,378,0,160,"56,844"
          Philippine Science High School,"9,592","8,730","9,003",603,"24,159","6,470",0,0,"28,623","129,762","1,238",0,0,"6,832",0,0,"45,141","6,631","1,535","1,973",0,"1,335",30,73,0,0,"281,730"
          Philippine Textile Research Institute,418,388,"1,503",47,"3,172",15,2,0,"4,886",271,110,0,0,689,0,0,"4,457",36,30,121,0,102,0,0,0,0,"16,247"
          Science Education Institute,500,500,440,0,"2,650",3,0,0,"2,700","1,360,680",110,0,0,400,0,0,"2,180",0,45,0,0,105,0,0,0,0,"1,370,313"
          Science and Technology Information Institute,304,"2,288","1,605",130,"3,453",215,0,"2,520","3,624",196,107,0,0,117,0,0,"5,619","1,095",350,338,0,570,0,0,0,0,"22,531"
          Technology Application and Promotion Institute,500,485,"1,300",200,741,0,0,"33,730","1,250",200,110,0,0,150,0,0,"2,345",300,25,200,0,20,0,100,10,0,"41,666"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Social Welfare and Development,"455,921","254,596","95,983","24,824","461,229","30,746",0,"48,247,371","96,762","844,140","39,640",0,0,"10,060",0,0,"4,382,054","101,126","21,590","5,397",22,"2,270",0,38,891,0,"55,074,660"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"440,263","245,712","92,244","24,824","451,727","25,070",0,"48,247,121","91,214","829,379","38,104",0,0,"9,283",0,0,"4,362,702","98,859","21,565",920,22,"2,058",0,38,891,0,"54,981,996"
          Council for the Welfare of Children,"4,242",850,"1,746",0,"1,574",54,0,0,"1,218","6,833",312,0,0,300,0,0,"3,235",415,25,"2,055",0,22,0,0,0,0,"22,881"
          Inter-Country Adoption Board,"3,600","4,723",890,0,"2,860",430,0,60,902,"2,600",110,0,0,190,0,0,"4,220",315,0,350,0,10,0,0,0,0,"21,260"
          National Council on Disability Affairs,"1,643","1,073",483,0,"1,224",0,0,190,"1,068",761,110,0,0,87,0,0,"3,711",879,0,0,0,120,0,0,0,0,"11,349"
          National Youth Commission,"6,173","2,238",620,0,"3,844","5,192",0,0,"2,360","4,567","1,004",0,0,200,0,0,"8,186",658,0,"2,072",0,60,0,0,0,0,"37,174"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Tourism,"181,221","45,089","23,160","14,117","96,678","149,232","6,853","23,177","49,469","29,163","4,520",0,0,"5,049",0,0,"297,595","144,441","1,053,518","105,510",616,"2,271",0,"1,677",0,0,"2,233,356"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"180,303","43,957","19,780","14,117","88,745","149,030","6,853","23,177","29,115","28,863","4,270",0,0,"4,333",0,0,"236,812","144,381","1,052,767","105,060",616,"2,171",0,"1,677",0,0,"2,136,027"
          Intramuros Administration,673,600,880,0,"1,200",100,0,0,800,300,150,0,0,600,0,0,"7,400",0,700,150,0,80,0,0,0,0,"13,633"
          National Parks Development Committee,245,532,"2,500",0,"6,733",102,0,0,"19,554",0,100,0,0,116,0,0,"53,383",60,51,300,0,20,0,0,0,0,"83,696"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Trade and Industry,"172,647","85,011","40,545","3,206","111,348","306,996",48,0,"91,668","81,514","8,476",0,0,"8,958",0,0,"452,774","40,534","39,605","71,563",0,"13,071",0,8,0,0,"1,527,972"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"157,596","76,917","34,302","2,599","97,299","250,018",48,0,"69,117","71,871","5,474",0,0,"6,486",0,0,"386,887","37,045","36,630","52,204",0,"8,807",0,5,0,0,"1,293,305"
          Board of Investments,"12,737","4,402","2,500",500,"7,299","33,448",0,0,"9,190","8,310","2,122",0,0,"1,018",0,0,"36,137","2,795","2,600","18,239",0,912,0,0,0,0,"142,209"
          Construction Industry Authority of the Philippines,599,857,240,0,"1,858","12,488",0,0,"1,976",201,550,0,0,94,0,0,"11,741",89,195,595,0,114,0,0,0,0,"31,597"
          Construction Manpower Development Foundation,200,332,760,0,"1,178","1,400",0,0,"1,115",200,110,0,0,804,0,0,"4,101",50,0,150,0,6,0,0,0,0,"10,406"
          Philippine Trade Training Center,315,850,"1,540",7,914,45,0,0,"7,228",181,110,0,0,356,0,0,"6,650",55,130,135,0,37,0,3,0,0,"18,556"
          Product Development and Design Center of the Philippines,"1,200","1,653","1,203",100,"2,800","9,597",0,0,"3,042",751,110,0,0,200,0,0,"7,258",500,50,240,0,"3,195",0,0,0,0,"31,899"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Transportation and Communications,"143,594","92,561","574,279","22,193","1,589,485","5,266,471","5,000",0,"713,284","74,220","19,999","7,900","10,000","151,587",0,0,"1,732,385","93,873","17,468","37,648",0,"4,056",0,"8,939",0,82,"10,565,024"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"88,460","58,755","242,453","20,069","401,003","5,199,568","5,000",0,"621,387","43,279","15,150","2,900",0,"27,527",0,0,"1,630,803","5,570","11,753","30,026",0,"2,248",0,"8,349",0,0,"8,414,300"
          Civil Aeronautics Board,"3,600","2,400",700,0,"1,100",240,0,0,"2,900",360,110,0,0,250,0,0,"3,000",0,500,"2,400",0,100,0,0,0,0,"17,660"
          Maritime Industry Authority,"28,946","16,054","3,695","1,141","23,797","52,842",0,0,"21,467","13,922","1,050",0,0,"1,159",0,0,"14,467","83,942","4,208","3,980",0,787,0,135,0,0,"271,592"
          Office of Transportation Cooperatives,600,250,50,0,348,"2,504",0,0,400,200,110,0,0,25,0,0,300,5,10,100,0,40,0,0,0,0,"4,942"
          Office for Transportation Security,"7,357","3,075","32,993",683,"34,230","7,898",0,0,"4,233","3,677","2,282","5,000",0,524,0,0,"68,318","4,356",847,130,0,420,0,455,0,82,"176,560"
          Philippine Coast Guard,"14,293","11,686","294,016",300,"1,127,829",671,0,0,"62,239","12,302",647,0,"10,000","121,987",0,0,"12,096",0,0,803,0,261,0,0,0,0,"1,669,130"
          Toll Regulatory Board,338,341,372,0,"1,178","2,748",0,0,658,480,650,0,0,115,0,0,"3,401",0,150,209,0,200,0,0,0,0,"10,840"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     National Economic and Development Authority,"608,744","48,995","21,161","8,056","256,620","200,758",94,"630,010","98,746","60,856","9,904",0,0,"10,515",0,0,"1,314,193","70,761","29,950","38,342",5,"3,232",0,538,0,0,"3,411,480"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Director-General,"29,877","21,839","15,051",479,"39,805","9,880",0,0,"25,763","19,274","4,306",0,0,"4,126",0,0,"112,020","9,546",434,"33,688",0,"1,838",0,393,0,0,"328,319"
          National Statistical Coordination Board,"2,501","2,518",523,300,"4,567","15,398",94,0,"5,041","4,689","2,154",0,0,265,0,0,"2,950",956,20,"1,234",0,158,0,0,0,0,"43,368"
          National Statistics Office,"567,501","20,557","3,841","7,235","207,716","164,927",0,0,"62,139","31,765","1,882",0,0,"5,625",0,0,"1,188,925","57,102","28,101",0,0,"1,019",0,75,0,0,"2,348,410"
          Philippine National Volunteer Service,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Coordinating Agency,400,300,180,0,486,85,0,0,912,400,110,0,0,56,0,0,"2,986",150,0,990,0,16,0,0,0,0,"7,071"
          Public-Private Partnership Center of the Philippines,"3,054","2,437","1,226",32,"1,770",576,0,"630,000","3,043","3,578",902,0,0,313,0,0,"5,359","1,369",420,"2,315",0,42,0,0,0,0,"656,436"
          Statistical Research and Training Center,300,434,80,10,666,"2,822",0,0,"1,190",640,110,0,0,80,0,0,"1,613",0,0,40,5,65,0,60,0,0,"8,115"
          Tariff Commission,"5,111",910,260,0,"1,610","7,070",0,10,658,510,440,0,0,50,0,0,340,"1,638",975,75,0,94,0,10,0,0,"19,761"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Presidential Communications Operations Office,"103,797","47,621","22,595","5,795","63,337","24,384",0,50,"65,423","3,531","2,120",0,0,"6,102",0,0,"99,708","1,431","3,370","17,397",0,"3,647",0,486,0,0,"470,794"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Presidential Communications Operations Office (Proper),"39,459","13,822","4,237",158,"15,493","7,083",0,0,"8,228",863,"1,144",0,0,742,0,0,"31,293",0,66,"10,552",0,"1,066",0,0,0,0,"134,206"
          Bureau of Broadcast Services,"5,689","10,642","4,422",720,"8,181","1,760",0,50,"26,844",792,110,0,0,"2,020",0,0,"26,415",96,94,"2,400",0,672,0,480,0,0,"91,387"
          Bureau of Communications Services,341,"1,385",415,50,"3,208","3,640",0,0,"1,700",270,110,0,0,150,0,0,"1,951",525,0,0,0,200,0,0,0,0,"13,945"
          National Printing Office,182,"1,374",864,"2,700","1,470",0,0,0,"7,376",50,110,0,0,610,0,0,"3,684",0,100,0,0,6,0,0,0,0,"18,526"
          News and Information Bureau,"7,681","4,374",847,100,"7,760","2,007",0,0,"3,734",298,110,0,0,50,0,0,"5,550",15,1,0,0,900,0,6,0,0,"33,433"
          Philippine Information Agency,"6,568","12,440","8,918","2,067","16,780","7,621",0,0,"16,810","1,008",426,0,0,"1,363",0,0,"20,605",759,"2,959","4,445",0,677,0,0,0,0,"103,446"
          Presidential Broadcast Staff (RTVM),"43,877","3,584","2,892",0,"10,445","2,273",0,0,731,250,110,0,0,"1,167",0,0,"10,210",36,150,0,0,126,0,0,0,0,"75,851"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Other Executive Offices,"370,808","147,885","105,981","5,479","431,660","254,013",0,"1,829,922","256,464","1,419,123","35,381","48,600","20,000","25,799",0,0,"610,029","36,800","26,894","120,420",2,"19,662","28,549","3,488",50,400,"5,797,409"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Anti-Money Laundering Council,"1,872",905,"2,690",0,357,468,0,0,"1,560",156,0,"5,000",0,36,0,0,780,0,62,416,0,30,0,832,0,0,"15,164"
          Commission on Filipinos Overseas,"1,198","10,019","1,360",0,"2,228","7,691",0,0,"4,531",500,454,0,0,"2,264",0,0,"9,610","1,130",50,160,0,48,0,0,0,0,"41,243"
          Commission on Higher Education,"29,716","12,087","6,002",496,"15,186","6,339",0,"1,353,885","24,397","1,330,971","3,730",0,0,"1,530",0,0,"31,687",920,345,"4,593",0,"1,045",0,277,0,0,"2,823,206"
          Commission on the Filipino Language,"1,000",500,350,0,700,520,0,0,"1,300",210,460,0,0,88,0,0,"3,500","1,200",250,310,0,79,0,0,0,0,"10,467"
          Dangerous Drugs Board,"3,680","2,042",960,240,"13,407","1,300",0,"77,000","3,549","20,265","1,022",0,0,140,0,0,"2,000","3,500","1,700","3,000",0,14,0,22,0,0,"133,841"
          Energy Regulatory Commission,"6,000","4,400","2,600",0,"33,600","17,974",0,0,"6,250","1,950","1,708",0,0,950,0,0,"8,950",262,"3,100",0,0,475,0,0,0,0,"88,219"
          Film Development Council of the Philippines,"4,985","1,250",300,100,925,"8,207",0,"20,720",900,200,350,0,0,50,0,0,"7,709",654,"8,000","1,000",0,80,0,715,0,0,"56,145"
          Games and Amusements Board,"5,317","2,158","1,327",0,"2,000","1,574",0,0,"2,000",208,122,0,0,430,0,0,"2,437",370,25,350,0,115,0,2,0,0,"18,435"
          Housing and Land Use Regulatory Board,"8,413","5,174","3,267",632,"9,268","11,306",0,100,"7,785","1,330",392,0,0,"1,759",0,0,"12,287",995,540,"1,096",0,282,0,0,0,0,"64,626"
          Housing and Urban Development Coordinating Council,"4,250","4,786","4,351",350,"6,322","12,965",0,0,"5,000","4,500","1,676",0,0,619,0,0,"10,494",776,656,"2,224",0,762,"10,000","1,000",0,400,"71,131"
          Governance Commission for Government-Owned,,,,,,,,,,,,,,,,,,,,,,,,,,,
                and Controlled Corporations,"3,000","2,000",100,0,"6,000",0,0,0,"5,000","3,000",616,0,0,250,0,0,"7,080",134,"1,000","2,000",0,500,0,0,0,0,"30,680"
          Mindanao Development Authority,"7,476","3,037","9,528",24,"4,613","3,799",0,0,"2,038",158,906,0,0,726,0,0,"4,223",546,380,"3,303",0,109,0,17,0,0,"40,883"
          Movie and Television Review and,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Classification Board,"8,962",588,516,0,"1,140",0,0,0,"1,800",300,232,0,0,187,0,0,"3,348",220,100,920,0,60,0,0,0,0,"18,373"
          National Anti-Poverty Commission,"22,927","2,161",765,0,"4,601","2,526",0,0,"2,500",800,"1,086",0,0,250,0,0,"24,272","1,316",61,"17,215",0,175,0,0,0,0,"80,655"
          Climate Change Commission,"17,741","1,020",120,60,"6,296","3,883",0,0,690,"2,350",738,0,0,0,0,0,"42,502","3,705",530,"2,594",0,180,0,0,0,0,"82,409"
          National Commission for Culture and the Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
               National Commission for Culture and the,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Arts (Proper),"23,540","5,777",967,51,"8,915","2,405",0,"199,895","5,950","2,200",220,0,0,820,0,0,"41,632","2,318","2,220","8,300",2,340,0,150,0,0,"305,702"
               National Historical Commission of the,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Philippines (National Historical Institute),"4,131","1,216","2,735",9,"10,168",808,0,0,"6,163",749,110,0,0,192,0,0,"17,365","6,119","3,055","4,904",0,741,"1,000",173,0,0,"59,638"
               National Library of the Philippines,"3,270","4,560","1,200",50,"6,288",0,0,0,"10,911","2,770",110,0,0,"1,320",0,0,"13,730",400,0,300,0,"3,698",0,150,0,0,"48,757"
               National Archives of the Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     (formerly Records Management and,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Archives Office),"2,640",582,"1,075",100,"4,300","9,908",0,0,"4,720","1,325",110,0,0,589,0,0,"16,001",600,100,280,0,80,0,100,0,0,"42,510"
          National Commission on Indigenous Peoples,"20,736","11,203","3,562",887,"14,138","15,263",0,"172,183","8,446","2,258","3,173",0,0,"1,931",0,0,"7,269","1,250",0,"1,942",0,"1,295","14,549",0,0,0,"280,085"
          National Intelligence Coordinating Agency,"18,162","15,419","9,566","1,000","20,800","8,401",0,10,"25,389","3,000","3,408",0,"20,000","3,713",0,0,"6,052",40,0,"5,356",0,835,0,0,0,0,"141,151"
          National Security Council,"4,000","6,181","3,547",0,"5,401",912,0,0,"5,386",400,"1,642",0,0,350,0,0,"5,058",0,0,"6,713",0,"2,095",0,0,0,0,"41,685"
          National Commission on Muslim Filipinos,,,,,,,,,,,,,,,,,,,,,,,,,,,
                (Office on Muslim Affairs),"20,381","4,698","1,366",130,"6,824","14,987",0,"6,079","5,930","4,150","3,260",0,0,66,0,0,"11,044","1,107",680,"2,971",0,251,0,0,0,0,"83,924"
          National Telecommunications Commission,"5,880","4,240","3,960",0,"12,390","1,580",0,0,"11,606","1,420","1,258",0,0,"2,465",0,0,"14,120",200,410,"1,500",0,382,0,0,0,0,"61,411"
          Office of the Presidential Adviser on the,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Peace Process,"80,973","12,048","7,285",0,"18,539","32,216",0,0,"7,660","4,857","1,928",0,0,0,0,0,"38,609",0,"1,064","39,363",0,626,0,0,0,0,"245,168"
          Optical Media Board,"4,204",422,770,0,"1,931","5,571",0,0,"1,584",200,216,0,0,269,0,0,"1,542",80,50,667,0,50,0,0,0,0,"17,556"
          Philippine Commission on Women (National,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Commission on the Role of Filipino Women),"3,491","1,157",500,0,"4,836",470,0,0,"2,510",210,110,0,0,300,0,0,"9,114","1,639",329,0,0,40,0,0,0,0,"24,706"
          Pasig River Rehabilitation Commission,370,600,480,0,"49,334","3,651",0,0,"3,864","1,816",110,0,0,543,0,0,"78,204",510,324,642,0,119,0,0,0,0,"140,567"
          Philippine Drug Enforcement Agency,"4,968","3,829","13,257",0,"91,930","47,189",0,0,"13,330","10,000",281,"43,600",0,326,0,0,"28,288","6,469",0,0,0,0,0,0,0,0,"263,467"
          Philippine Racing Commission,740,"1,015","2,418",0,"1,420","1,500",0,0,"1,120",770,210,0,0,320,0,0,"73,281",20,0,200,0,51,0,0,0,0,"83,065"
          Philippine Sports Commission,"23,200","4,650","8,400",850,"38,700","2,500",0,0,"53,600","5,750",960,0,0,857,0,0,"23,679",0,"1,700",0,0,725,0,0,0,0,"165,571"
          Presidential Commission for the Urban Poor,"3,803","1,506",600,0,"3,770","4,505",0,0,"2,130","7,850",400,0,0,257,0,0,"11,627",0,0,0,0,102,0,0,0,0,"36,550"
          Presidential Communications Development and,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Strategic Planning Office,"4,000","4,660",500,500,"4,162",500,0,0,"1,000",500,765,0,0,500,0,0,"19,392",300,0,"4,084",0,"3,600","3,000",50,0,0,"47,513"
          Presidential Legislative Liaison Office,725,"1,105",450,0,"2,050",235,0,50,0,500,904,0,0,220,0,0,"3,776",0,0,"3,000",0,90,0,0,50,0,"13,155"
          Presidential Management Staff,"15,057","10,890","9,107",0,"19,121","22,860",0,0,"15,865","1,500","2,714",0,0,"1,482",0,0,"19,367",20,163,"1,017",0,588,0,0,0,0,"119,751"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Autonomous Region in Muslim Mindanao,"68,224","29,877","316,576","14,289","509,175","25,409",114,"649,638","48,419","73,915","12,178",0,0,"2,571",0,0,"283,224","3,443","4,552","3,132",60,996,"1,147",428,0,120,"2,047,487"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Autonomous Regional Government in Muslim Mindanao,"68,224","29,877","316,576","14,289","509,175","25,409",114,"649,638","48,419","73,915","12,178",0,0,"2,571",0,0,"283,224","3,443","4,552","3,132",60,996,"1,147",428,0,120,"2,047,487"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Joint Legislative-Executive Councils,100,50,30,0,130,0,0,0,0,50,60,0,0,3,0,0,0,0,0,70,0,19,0,0,0,0,512
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Legislative-Executive Development Advisory Council,100,50,30,0,130,0,0,0,0,50,60,0,0,3,0,0,0,0,0,70,0,19,0,0,0,0,512
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     The Judiciary,"173,336","180,749","698,948","6,448","767,436","221,663",0,"59,983","407,248","111,607","233,585",0,0,"77,543",0,0,"742,975",973,"12,309","22,296",0,"19,827",0,190,154,0,"3,737,270"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Supreme Court of the Philippines and the,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Lower Courts,"143,291","148,933","651,465","4,174","654,732","200,334",0,"59,983","291,024","82,921","212,555",0,0,"66,794",0,0,"644,425",0,"9,397","20,280",0,0,0,0,0,0,"3,190,308"
               Presidential Electoral Tribunal,0,519,71,32,191,570,0,0,233,0,284,0,0,36,0,0,"10,507",0,0,0,0,0,0,0,0,0,"12,443"
          Sandiganbayan,"8,202","3,507","23,595",103,"14,322","1,028",0,0,"36,000","16,919","3,232",0,0,"2,708",0,0,"7,584",103,206,0,0,309,0,0,154,0,"117,972"
          Court of Appeals,"17,180","22,270","21,537",733,"88,229","17,050",0,0,"68,421","11,071","14,400",0,0,"5,284",0,0,"67,299",769,"1,661",0,0,"19,221",0,58,0,0,"355,183"
          Court of Tax Appeals,"4,663","5,520","2,280","1,406","9,962","2,681",0,0,"11,570",696,"3,114",0,0,"2,721",0,0,"13,160",101,"1,045","2,016",0,297,0,132,0,0,"61,364"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
