function_or_program_or_project_or_activity_a,function_or_program_or_project_or_activity_b,appropriation,allotment,obligation,balance_of_appropriation,balance_of_allotments
Construction Of Water System Provincewide (GO/PHO/PWO)-260318,Construction Of Water System Provincewide (GO/PHO/PWO)-260318,57843.36,57843.36,20339,0,37504.36
Construction Of Water System Provincewide (GO/PHO/PWO)-260318,Maintenance and Other Operating Expenses,57843.36,57843.36,20339,0,37504.36
Construction of Perimeter Fence with Gate Marker And Guard Post (NVPH)-260319,Construction of Perimeter Fence with Gate Marker And Guard Post (NVPH)-260319,6162.69,6162.69,0,0,6162.69
Construction of Perimeter Fence with Gate Marker And Guard Post (NVPH)-260319,Maintenance and Other Operating Expenses,6162.69,6162.69,0,0,6162.69
Concreting of Road Approach from Riprapping of Hospital Premises Appropriation (Mitigation For Eroding Areas) (LTMH)-260320,Concreting of Road Approach from Riprapping of Hospital Premises Appropriation (Mitigation For Eroding Areas) (LTMH)-260320,300000,300000,87941.16,0,212058.84
Concreting of Road Approach from Riprapping of Hospital Premises Appropriation (Mitigation For Eroding Areas) (LTMH)-260320,Capital Outlay,300000,300000,87941.16,0,212058.84
Construction of Perimeter Fence (Along Hospital Boundaries) (LTMH)-260322,Construction of Perimeter Fence (Along Hospital Boundaries) (LTMH)-260322,516643.8,516643.8,0,0,516643.8
Construction of Perimeter Fence (Along Hospital Boundaries) (LTMH)-260322,Capital Outlay,516643.8,516643.8,0,0,516643.8
Pabasa Sa Nutrisyon (Go-Nutrition)-260323,Pabasa Sa Nutrisyon (Go-Nutrition)-260323,950,950,0,0,950
Pabasa Sa Nutrisyon (Go-Nutrition)-260323,Maintenance and Other Operating Expenses,950,950,0,0,950
Food in Every Home (Pagkain sa Bawat Tahanan) (GO/SMU/DepEd) - 260324,Food in Every Home (Pagkain sa Bawat Tahanan) (GO/SMU/DepEd) - 260324,35000,0,0,35000,0
Food in Every Home (Pagkain sa Bawat Tahanan) (GO/SMU/DepEd) - 260324,Maintenance and Other Operating Expenses,35000,0,0,35000,0
Population and Management (POPDEV) (PSWDO)-260325,Population and Management (POPDEV) (PSWDO)-260325,11850,5850,0,6000,5850
Population and Management (POPDEV) (PSWDO)-260325,Maintenance and Other Operating Expenses,11850,5850,0,6000,5850
Housing and Community Development (Gk)-260326,Housing and Community Development (Gk)-260326,1590578.19,500578.19,20250.8,1090000,480327.39
Housing and Community Development (Gk)-260326,Maintenance and Other Operating,1590578.19,500578.19,20250.8,1090000,480327.39
Preparation of Comprehensive Plan For Children (Youth Component) (PSWDO) - 260327,Preparation of Comprehensive Plan For Children (Youth Component) (PSWDO) - 260327,100000,100000,0,0,100000
Preparation of Comprehensive Plan For Children (Youth Component) (PSWDO) - 260327,Maintenance And Other Operating,100000,100000,0,0,100000
Skills Training And Livelihood Assistance Project (PSWDO)-260329,Skills Training And Livelihood Assistance Project (PSWDO)-260329,16850,16850,10000,0,6850
Skills Training And Livelihood Assistance Project (PSWDO)-260329,Maintenance and Other Operating Expenses,16850,16850,10000,0,6850
Integrated Social Services and Livelihood Development Projects (PGO/PSWDO)-60330,Integrated Social Services and Livelihood Development Projects (PGO/PSWDO)-60330,344860,344860,248796,0,96064
Integrated Social Services and Livelihood Development Projects (PGO/PSWDO)-60330,Maintenance and Other Operating Expenses,344860,344860,248796,0,96064
Project Leap (Learning Everything About Parenting) (Pswdo)-260331 ,Project Leap (Learning Everything About Parenting) (Pswdo)-260331 ,47028.9,47028.9,0,0,47028.9
Project Leap (Learning Everything About Parenting) (Pswdo)-260331 ,Maintenance and Other Operating Expenses,47028.9,47028.9,0,0,47028.9
Care for Neglected Young Children-260332,Care for Neglected Young Children-260332,56408,34408,0,22000,34408
Care for Neglected Young Children-260332,Maintenance and Other Operating Expenses,56408,34408,0,22000,34408
Sustainability of the ECCD Project-260333,Sustainability of the ECCD Project-260333,72255,17255,9000,55000,8255
Sustainability of the ECCD Project-260333,Maintenance and Other Operating Expenses,72255,17255,9000,55000,8255
Support to Persons with Special Abilties (PSWDO)-260334,Support to Persons with Special Abilties (PSWDO)-260334,22802,22802,0,0,22802
Support to Persons with Special Abilties (PSWDO)-260334,Maintenance and Other Operating Expenses,22802,22802,0,0,22802
Livelihood Assistance to Rebel Returnees (Project Comrade)-260335,Livelihood Assistance to Rebel Returnees (Project Comrade)-260335,5225,1475,0,3750,1475
Livelihood Assistance to Rebel Returnees (Project Comrade)-260335,Maintenance and Other Operating Expenses,5225,1475,0,3750,1475
Development of GAD Monitoring and Evaluation Tools and System-260336,Development of GAD Monitoring and Evaluation Tools and System-260336,8301.5,8301.5,5600,0,2701.5
Development of GAD Monitoring and Evaluation Tools and System-260336,Maintenance and Other Operating Expenses,7101.5,7101.5,5600,0,1501.5
Development of GAD Monitoring and Evaluation Tools and System-260336,Capital Outlay,1200,1200,0,0,1200
Livelihood Assistance Project-260337,Livelihood Assistance Project-260337,5295,5295,0,0,5295
Livelihood Assistance Project-260337,Maintenance and Other Operating Expenses,5295,5295,0,0,5295
"Upgrading Of Medical, Diagnostic and Technical Equipment (Purchase Of Hemoanalyzer and Microsope-AO 2010-141 (LTMH)-260338","Upgrading Of Medical, Diagnostic and Technical Equipment (Purchase Of Hemoanalyzer and Microsope-AO 2010-141 (LTMH)-260338",126500,126500,0,0,126500
"Upgrading Of Medical, Diagnostic and Technical Equipment (Purchase Of Hemoanalyzer and Microsope-AO 2010-141 (LTMH)-260338",Capital Outlay,126500,126500,0,0,126500
Completion Of KMH Central Facilities (AO 2010-137)-260339,Completion Of KMH Central Facilities (AO 2010-137)-260339,1285.74,1285.74,0,0,1285.74
Completion Of KMH Central Facilities (AO 2010-137)-260339,Capital Outlay,1285.74,1285.74,0,0,1285.74
Infrastructure - 2604 Provincial Roads Concrete Paving Projects-260401 Jct. National-Canili-Galintuja-Delactan-Magino RD-A. Castaneda-26040101,Infrastructure - 2604 Provincial Roads Concrete Paving Projects-260401 Jct. National-Canili-Galintuja-Delactan-Magino RD-A. Castaneda-26040101,9519.17,9519.17,0,0,9519.17
Infrastructure - 2604 Provincial Roads Concrete Paving Projects-260401 Jct. National-Canili-Galintuja-Delactan-Magino RD-A. Castaneda-26040101,Capital Outlay,9519.17,9519.17,0,0,9519.17
CVR Bone North-Gasajas-Comon RD-Aritao-26040102,CVR Bone North-Gasajas-Comon RD-Aritao-26040102,10438.47,10438.47,0,0,10438.47
CVR Bone North-Gasajas-Comon RD-Aritao-26040102,Capital Outlay,10438.47,10438.47,0,0,10438.47
CVR Aritao-Comon-Sta. Clara-Canabuan Rd-Aritao-26040103,CVR Aritao-Comon-Sta. Clara-Canabuan Rd-Aritao-26040103,12137.15,12137.15,0,0,12137.15
CVR Aritao-Comon-Sta. Clara-Canabuan Rd-Aritao-26040103,Capital Outlay,12137.15,12137.15,0,0,12137.15
Banganan-Tucanon-Tabueng RD-Tabueng-26040104,Banganan-Tucanon-Tabueng RD-Tabueng-26040104,5657.88,5657.88,0,0,5657.88
Banganan-Tucanon-Tabueng RD-Tabueng-26040104,Capital Outlay,5657.88,5657.88,0,0,5657.88
CVR Almaguer-Malasin RD-Dupax Norte-26040105,CVR Almaguer-Malasin RD-Dupax Norte-26040105,9796.13,9796.13,0,0,9796.13
CVR Almaguer-Malasin RD-Dupax Norte-26040105,Capital Outlay,9796.13,9796.13,0,0,9796.13
CVR Bambang-Pingkian Rd-Bambang-26040106,CVR Bambang-Pingkian Rd-Bambang-26040106,5840.07,5840.07,0,0,5840.07
CVR Bambang-Pingkian Rd-Bambang-26040106,Capital Outlay,5840.07,5840.07,0,0,5840.07
San Fernando-Litlit Rd-Bambang-26040107,San Fernando-Litlit Rd-Bambang-26040107,12938.8,12938.8,0,0,12938.8
San Fernando-Litlit Rd-Bambang-26040107,Capital Outlay,12938.8,12938.8,0,0,12938.8
Abian-Sierra Madre Rd-Bambang-26040108 ,Abian-Sierra Madre Rd-Bambang-26040108 ,27603.81,27603.81,0,0,27603.81
Abian-Sierra Madre Rd-Bambang-26040108 ,Capital Outlay,27603.81,27603.81,0,0,27603.81
Oyao-Ganao Rd-Ddn and Dds-26040109,Oyao-Ganao Rd-Ddn & Dds-26040109,6193.15,6193.15,0,0,6193.15
Oyao-Ganao Rd-Ddn and Dds-26040109,Capital Outlay,6193.15,6193.15,0,0,6193.15
Palabutan-Caino Rd-Dupax Sur-26040110,Palabutan-Caino Rd-Dupax Sur-26040110,7967.17,7967.17,0,0,7967.17
Palabutan-Caino Rd-Dupax Sur-26040110,Capital Outlay,7967.17,7967.17,0,0,7967.17
NV Benguet Jct. Kayapa Proper Rd-Kayapa-26040111,NV Benguet Jct. Kayapa Proper Rd-Kayapa-26040111,8440.28,8440.28,0,0,8440.28
NV Benguet Jct. Kayapa Proper Rd-Kayapa-26040111,Capital Outlay,8440.28,8440.28,0,0,8440.28
CVR Bayombong-Masoc-Ambaguio Rd-Bayombong and Ambaguio - 26040112,CVR Bayombong-Masoc-Ambaguio Rd-Bayombong & Ambaguio - 26040112,20326.76,20326.76,0,0,20326.76
CVR Bayombong-Masoc-Ambaguio Rd-Bayombong and Ambaguio - 26040112,Capital Outlay,20326.76,20326.76,0,0,20326.76
La Torre-Casat-Wacal Solano Rd-Solano - 26040113,La Torre-Casat-Wacal Solano Rd-Solano - 26040113,5964.13,5964.13,0,0,5964.13
La Torre-Casat-Wacal Solano Rd-Solano - 26040113,Capital Outlay,5964.13,5964.13,0,0,5964.13
CVR Solano-Bintawan-Murong-Lantap Rd-Villaverde - 26040114,CVR Solano-Bintawan-Murong-Lantap Rd-Villaverde - 26040114,17804.75,17804.75,0,0,17804.75
CVR Solano-Bintawan-Murong-Lantap Rd-Villaverde - 26040114,Capital Outlay,17804.75,17804.75,0,0,17804.75
CVR Bascaran-Singian-Aggub Rd-Solano - 26040115,CVR Bascaran-Singian-Aggub Rd-Solano - 26040115,6463.43,6463.43,0,0,6463.43
CVR Bascaran-Singian-Aggub Rd-Solano - 26040115,Capital Outlay,6463.43,6463.43,0,0,6463.43
Lactawan-Aggub-Tucal Rd-Solano-26040116,Lactawan-Aggub-Tucal Rd-Solano-26040116,7818.92,7818.92,0,0,7818.92
Lactawan-Aggub-Tucal Rd-Solano-26040116,Capital Outlay,7818.92,7818.92,0,0,7818.92
Lactawan-Uddiawan-San Juan-Bintawan Rd-Solano-26040117,Lactawan-Uddiawan-San Juan-Bintawan Rd-Solano-26040117,13659.91,13659.91,0,0,13659.91
Lactawan-Uddiawan-San Juan-Bintawan Rd-Solano-26040117,Capital Outlay,13659.91,13659.91,0,0,13659.91
Bintawan-Ibung-Pieza-Nangalisan-Lamut Road-Villaverde and Bagabag-26040118,Bintawan-Ibung-Pieza-Nangalisan-Lamut Road-Villaverde & Bagabag-26040118,11229.58,11229.58,0,0,11229.58
Bintawan-Ibung-Pieza-Nangalisan-Lamut Road-Villaverde and Bagabag-26040118,Capital Outlay,11229.58,11229.58,0,0,11229.58
Ibung-Nagbitin-Calao Rd-Villaverde-26040119,Ibung-Nagbitin-Calao Rd-Villaverde-26040119,11813.19,11813.19,0,0,11813.19
Ibung-Nagbitin-Calao Rd-Villaverde-26040119,Capital Outlay,11813.19,11813.19,0,0,11813.19
Lantap-Sat Lucia Rd-Bagabag -26040120,Lantap-Sat Lucia Rd-Bagabag -26040120,10182.67,10182.67,0,0,10182.67
Lantap-Sat Lucia Rd-Bagabag -26040120,Capital Outlay,10182.67,10182.67,0,0,10182.67
Baresbes-Boliwao-Inatub Rd-Quezon - 26040121,Baresbes-Boliwao-Inatub Rd-Quezon - 26040121,11111.17,11111.17,0,0,11111.17
Baresbes-Boliwao-Inatub Rd-Quezon - 26040121,Capital Outlay,11111.17,11111.17,0,0,11111.17
Baresbes-Nalubbunan-Caliat-Darubba Rd-Quezon-26040122      ,Baresbes-Nalubbunan-Caliat-Darubba Rd-Quezon-26040122      ,3161.24,3161.24,0,0,3161.24
Baresbes-Nalubbunan-Caliat-Darubba Rd-Quezon-26040122      ,Capital Outlay,3161.24,3161.24,0,0,3161.24
CVR Kinacao-Kurasay-Kinalabasa Rd-Bagabag-26040123,CVR Kinacao-Kurasay-Kinalabasa Rd-Bagabag-26040123,18840.86,18840.86,0,0,18840.86
CVR Kinacao-Kurasay-Kinalabasa Rd-Bagabag-26040123,Capital Outlay,18840.86,18840.86,0,0,18840.86
CVR Diadi-Escoting-Arwas-Talictic Rd-Diadi-26040124,CVR Diadi-Escoting-Arwas-Talictic Rd-Diadi-26040124,22342.84,22342.84,0,0,22342.84
CVR Diadi-Escoting-Arwas-Talictic Rd-Diadi-26040124,Capital Outlay,22342.84,22342.84,0,0,22342.84
Provincial Roads Rehabilitation/Improvement Project-260402 CVR Baliling-Sinapaoan Rd-Sta. Fe-26040201,Provincial Roads Rehabilitation/Improvement Project-260402 CVR Baliling-Sinapaoan Rd-Sta. Fe-26040201,13721.74,13721.74,0,0,13721.74
Provincial Roads Rehabilitation/Improvement Project-260402 CVR Baliling-Sinapaoan Rd-Sta. Fe-26040201,Maintenance and Other Operating Expenses,13721.74,13721.74,0,0,13721.74
CVR Aritao-Comon-Sta. Clara-Canabuan Rd-Aritao-26040202,CVR Aritao-Comon-Sta. Clara-Canabuan Rd-Aritao-26040202,8441.31,8441.31,0,0,8441.31
CVR Aritao-Comon-Sta. Clara-Canabuan Rd-Aritao-26040202,Maintenance and Other Operating Expenses,8441.31,8441.31,0,0,8441.31
CVR Bambang Presidencia Rd-Bambang - 26040203,CVR Bambang Presidencia Rd-Bambang - 26040203,135120.81,135120.81,0,0,135120.81
CVR Bambang Presidencia Rd-Bambang - 26040203,Maintenance and Other Operating Expenses,135120.81,135120.81,0,0,135120.81
CVR Bambang-Pingkian Rd-Bambang and Kayapa-26040204,CVR Bambang-Pingkian Rd-Bambang & Kayapa-26040204,14999.83,14999.83,0,0,14999.83
CVR Bambang-Pingkian Rd-Bambang and Kayapa-26040204,Maintenance and Other Operating Expenses,14999.83,14999.83,0,0,14999.83
San Fernando Litlit Rd-Bambang-26040205,San Fernando Litlit Rd-Bambang-26040205,15278.41,15278.41,0,0,15278.41
San Fernando Litlit Rd-Bambang-26040205,Maintenance and Other Operating Expenses,15278.41,15278.41,0,0,15278.41
Abian-Sierra Madre Rd-Bambang-26040206,Abian-Sierra Madre Rd-Bambang-26040206,8442.87,8442.87,0,0,8442.87
Abian-Sierra Madre Rd-Bambang-26040206,Maintenance and Other Operating Expenses,8442.87,8442.87,0,0,8442.87
Lamo Jct. Hollywood-Mabasa-Inaban Rd-Dupax Norte-26040207,Lamo Jct. Hollywood-Mabasa-Inaban Rd-Dupax Norte-26040207,6436.31,6436.31,0,0,6436.31
Lamo Jct. Hollywood-Mabasa-Inaban Rd-Dupax Norte-26040207,Maintenance and Other Operating Expenses,6436.31,6436.31,0,0,6436.31
Oyao-Ganao Road-Ddn and Dds-26040208,Oyao-Ganao Road-Ddn & Dds-26040208,10519.27,10519.27,0,0,10519.27
Oyao-Ganao Road-Ddn and Dds-26040208,Maintenance and Other Operating Expenses,10519.27,10519.27,0,0,10519.27
Dupax del Sur-Carolotan Rd Dupax del Sur-26040209,Dupax del Sur-Carolotan Rd Dupax del Sur-26040209,3859.59,3859.59,0,0,3859.59
Dupax del Sur-Carolotan Rd Dupax del Sur-26040209,Maintenance and Other Operating Expenses,3859.59,3859.59,0,0,3859.59
Palabutan-Caino Rd-Dupax Del Sur-26040210,Palabutan-Caino Rd-Dupax Del Sur-26040210,8008.41,8008.41,0,0,8008.41
Palabutan-Caino Rd-Dupax Del Sur-26040210,Maintenance and Other Operating Expenses,8008.41,8008.41,0,0,8008.41
CVR Batu-Magapuy-Paitan Rd-BNV-26040211,CVR Batu-Magapuy-Paitan Rd-BNV-26040211,6889.47,6889.47,0,0,6889.47
CVR Batu-Magapuy-Paitan Rd-BNV-26040211,Maintenance and Other Operating Expenses,6889.47,6889.47,0,0,6889.47
CVR Batu-Sto Domingo-Manamtam Rd-Bambang-26040212,CVR Batu-Sto Domingo-Manamtam Rd-Bambang-26040212,7083.22,7083.22,0,0,7083.22
CVR Batu-Sto Domingo-Manamtam Rd-Bambang-26040212,Maintenance and Other Operating Expenses,7083.22,7083.22,0,0,7083.22
CVR Bayombong-Masoc-Ambaguio Rd-BNV and Ambaguio-26040213,CVR Bayombong-Masoc-Ambaguio Rd-BNV & Ambaguio-26040213,6310.83,6310.83,0,0,6310.83
CVR Bayombong-Masoc-Ambaguio Rd-BNV and Ambaguio-26040213,Maintenance and Other Operating Expenses,6310.83,6310.83,0,0,6310.83
La Torre-Casat-Wacal-Solano Rd-26040214,La Torre-Casat-Wacal-Solano Rd-26040214,4984.49,4984.49,0,0,4984.49
La Torre-Casat-Wacal-Solano Rd-26040214,Maintenance and Other Operating Expenses,4984.49,4984.49,0,0,4984.49
La Torre-Casat-Via Nagragadian Rd-Bnv-26040215,La Torre-Casat-Via Nagragadian Rd-Bnv-26040215,3576.53,3576.53,0,0,3576.53
La Torre-Casat-Via Nagragadian Rd-Bnv-26040215,Maintenance and Other Operating Expenses,3576.53,3576.53,0,0,3576.53
CVR Bascaran-Singian-Aggub Rd-Solano-26040115,CVR Bascaran-Singian-Aggub Rd-Solano-26040115,7846.76,7846.76,0,0,7846.76
CVR Bascaran-Singian-Aggub Rd-Solano-26040115,Maintenance and Other Operating Expenses,7846.76,7846.76,0,0,7846.76
Bintawan-Ibung-Pieza-Nangalisan-Lamut Rd-Villaverde and Bagabag-26040218,Bintawan-Ibung-Pieza-Nangalisan-Lamut Rd-Villaverde & Bagabag-26040218,6192,6192,0,0,6192
Bintawan-Ibung-Pieza-Nangalisan-Lamut Rd-Villaverde and Bagabag-26040218,Maintenance and Other Operating Expenses,6192,6192,0,0,6192
Diffuday Bonifacio Rd-Quezon-26040219,Diffuday Bonifacio Rd-Quezon-26040219,4009.09,4009.09,0,0,4009.09
Diffuday Bonifacio Rd-Quezon-26040219,Maintenance and Other Operating Expenses,4009.09,4009.09,0,0,4009.09
CVR Nagsabaran-Decabacan-Ampakleng Rd-Diadi-26040220,CVR Nagsabaran-Decabacan-Ampakleng Rd-Diadi-26040220,8642.74,8642.74,0,0,8642.74
CVR Nagsabaran-Decabacan-Ampakleng Rd-Diadi-26040220,Maintenance and Other Operating Expenses,8642.74,8642.74,0,0,8642.74
CVR Diadi-Escoting-Arwas-Talictic Rd-Diadi-26040221,CVR Diadi-Escoting-Arwas-Talictic Rd-Diadi-26040221,10903.79,10903.79,0,0,10903.79
CVR Diadi-Escoting-Arwas-Talictic Rd-Diadi-26040221,Maintenance and Other Operating Expenses,10903.79,10903.79,0,0,10903.79
Provincial Road Flood Control Structure Projects-260403  Bambang-Pingkian Road-26040301,Provincial Road Flood Control Structure Projects-260403  Bambang-Pingkian Road-26040301,51032.78,51032.78,0,0,51032.78
Provincial Road Flood Control Structure Projects-260403  Bambang-Pingkian Road-26040301,Capital Outlay,51032.78,51032.78,0,0,51032.78
"Periodic Maintenance of Provincial Roads-260404 Maintenance of Provincial Roads (Fuel and Oil, Spareparts and Maintenance Materials)-26040401","Periodic Maintenance of Provincial Roads-260404 Maintenance of Provincial Roads (Fuel & Oil, Spareparts & Maintenance Materials)-26040401",235140.29,235140.29,183751.7,0,51388.59
"Periodic Maintenance of Provincial Roads-260404 Maintenance of Provincial Roads (Fuel and Oil, Spareparts and Maintenance Materials)-26040401",Maintenance and Other Operating Expenses,235140.29,235140.29,183751.7,0,51388.59
Jct. National-Canili-Galintuja Rd-A. Castaneda-26040402,Jct. National-Canili-Galintuja Rd-A. Castaneda-26040402,5913.81,5913.81,0,0,5913.81
Jct. National-Canili-Galintuja Rd-A. Castaneda-26040402,Maintenance and Other Operating Expenses,5913.81,5913.81,0,0,5913.81
Junction National-Canili-Galintuja-Delactan-Magino Rd-A Castaneda-26040403,Junction National-Canili-Galintuja-Delactan-Magino Rd-A Castaneda-26040403,2831.37,2831.37,0,0,2831.37
Junction National-Canili-Galintuja-Delactan-Magino Rd-A Castaneda-26040403,Maintenance and Other Operating Expenses,2831.37,2831.37,0,0,2831.37
Jct. National-Batu-Balintugon Rd-A. Castaneda-26040404,Jct. National-Batu-Balintugon Rd-A. Castaneda-26040404,6361.14,6361.14,0,0,6361.14
Jct. National-Batu-Balintugon Rd-A. Castaneda-26040404,Maintenance and Other Operating Expenses,6361.14,6361.14,0,0,6361.14
CVR Baliling-Sinapaoan Rd-Sta. Fe -26040405,CVR Baliling-Sinapaoan Rd-Sta. Fe -26040405,2425.28,2425.28,0,0,2425.28
CVR Baliling-Sinapaoan Rd-Sta. Fe -26040405,Maintenance and Other Operating Expenses,2425.28,2425.28,0,0,2425.28
CVR Bambang-Pingkian Rd-Bambang and Kayapa-26040406,CVR Bambang-Pingkian Rd-Bambang & Kayapa-26040406,12312.22,12312.22,0,0,12312.22
CVR Bambang-Pingkian Rd-Bambang and Kayapa-26040406,Maintenance and Other Operating Expenses,12312.22,12312.22,0,0,12312.22
Abian-Sierra Madre Rd-Bambang-26040407,Abian-Sierra Madre Rd-Bambang-26040407,1510.88,1510.88,0,0,1510.88
Abian-Sierra Madre Rd-Bambang-26040407,Maintenance and Other Operating Expenses,1510.88,1510.88,0,0,1510.88
Oyao-Ganao Rd-DDN and DDS-26040408,Oyao-Ganao Rd-DDN & DDS-26040408,3637.92,3637.92,0,0,3637.92
Oyao-Ganao Rd-DDN and DDS-26040408,Maintenance and Other Operating Expenses,3637.92,3637.92,0,0,3637.92
Dupax del Sur-Carolotan Rd-Dupax Del Sur-26040409,Dupax del Sur-Carolotan Rd-Dupax Del Sur-26040409,12484.98,12484.98,0,0,12484.98
Dupax del Sur-Carolotan Rd-Dupax Del Sur-26040409,Maintenance and Other Operating Expenses,12484.98,12484.98,0,0,12484.98
Palabutan-Caino Rd-Dupax del Sur-26040410,Palabutan-Caino Rd-Dupax del Sur-26040410,5297.34,5297.34,0,0,5297.34
Palabutan-Caino Rd-Dupax del Sur-26040410,Maintenance and Other Operating Expenses,5297.34,5297.34,0,0,5297.34
NV Benguet Jct.-Kayapa Proper Rd-Kayapa-26040411,NV Benguet Jct.-Kayapa Proper Rd-Kayapa-26040411,1767.89,1767.89,0,0,1767.89
NV Benguet Jct.-Kayapa Proper Rd-Kayapa-26040411,Maintenance and Other Operating Expenses,1767.89,1767.89,0,0,1767.89
Luyang Reservoir Rd-BNV-26040412,Luyang Reservoir Rd-BNV-26040412,5005.35,5005.35,0,0,5005.35
Luyang Reservoir Rd-BNV-26040412,Maintenance and Other Operating Expenses,5005.35,5005.35,0,0,5005.35
La Torre-Casat-Via Nagragadian Rd-Bnv-26040413,La Torre-Casat-Via Nagragadian Rd-Bnv-26040413,6310.94,6310.94,0,0,6310.94
La Torre-Casat-Via Nagragadian Rd-Bnv-26040413,Maintenance and Other Operating Expenses,6310.94,6310.94,0,0,6310.94
CVR Bascaran-Singian-Aggub Rd-Solano - 26040414,CVR Bascaran-Singian-Aggub Rd-Solano - 26040414,1008.97,1008.97,0,0,1008.97
CVR Bascaran-Singian-Aggub Rd-Solano - 26040414,Maintenance and Other Operating Expenses,1008.97,1008.97,0,0,1008.97
Bintawan-Ibung-Pieza-Nangalisan-Lamut Rd-Villaverde and Bagabag-26040415,Bintawan-Ibung-Pieza-Nangalisan-Lamut Rd-Villaverde & Bagabag-26040415,8119.54,8119.54,0,0,8119.54
Bintawan-Ibung-Pieza-Nangalisan-Lamut Rd-Villaverde and Bagabag-26040415,Maintenance and Other Operating Expenses,8119.54,8119.54,0,0,8119.54
Jct. Ibung-Careb Rd- Villaverde and Bagabag-26040416,Jct. Ibung-Careb Rd- Villaverde & Bagabag-26040416,4811.39,4811.39,0,0,4811.39
Jct. Ibung-Careb Rd- Villaverde and Bagabag-26040416,Maintenance and Other Operating Expenses,4811.39,4811.39,0,0,4811.39
  Maddiangat-Paitan Rd-Quezon-26040417,  Maddiangat-Paitan Rd-Quezon-26040417,589.78,589.78,0,0,589.78
  Maddiangat-Paitan Rd-Quezon-26040417,Maintenance and Other Operating Expenses,589.78,589.78,0,0,589.78
Baresbes-Boliwao-Inatub Rd-Quezon-26040418,Baresbes-Boliwao-Inatub Rd-Quezon-26040418,1231.61,1231.61,0,0,1231.61
Baresbes-Boliwao-Inatub Rd-Quezon-26040418,Maintenance and Other Operating Expenses,1231.61,1231.61,0,0,1231.61
Diffuday Bonifacio Rd-Quezon-26040419,Diffuday Bonifacio Rd-Quezon-26040419,15197.48,15197.48,0,0,15197.48
Diffuday Bonifacio Rd-Quezon-26040419,Maintenance and Other Operating Expenses,15197.48,15197.48,0,0,15197.48
CVR Nagsabaran-Decabacan-Ampakleng Rd-Diadi-26040420,CVR Nagsabaran-Decabacan-Ampakleng Rd-Diadi-26040420,1009.12,1009.12,0,0,1009.12
CVR Nagsabaran-Decabacan-Ampakleng Rd-Diadi-26040420,Maintenance and Other Operating Expenses,1009.12,1009.12,0,0,1009.12
Environment Sector-2605 Mount Pullol Forest Development Project-260501,Environment Sector-2605 Mount Pullol Forest Development Project-260501,3780,3780,0,0,3780
Environment Sector-2605 Mount Pullol Forest Development Project-260501,Maintenance and Other Operating Expenses,3780,3780,0,0,3780
Rehabilitation and Reforestation Of Dupax Watershed Forest Reserve-260502,Rehabilitation and Reforestation Of Dupax Watershed Forest Reserve-260502,2439.79,2439.79,0,0,2439.79
Rehabilitation and Reforestation Of Dupax Watershed Forest Reserve-260502,Maintenance and Other Operating Expenses,2439.79,2439.79,0,0,2439.79
Marang Sub-Watershed Rehabilitation Project-260503,Marang Sub-Watershed Rehabilitation Project-260503,4545,4545,0,0,4545
Marang Sub-Watershed Rehabilitation Project-260503,Maintenance and Other Operating Expenses,4545,4545,0,0,4545
Malico Santa Rosa Refo Proeject-260504,Malico Santa Rosa Refo Proeject-260504,15625.75,15625.75,0,0,15625.75
Malico Santa Rosa Refo Proeject-260504,Maintenance and Other Operating Expenses,15625.75,15625.75,0,0,15625.75
Tree for Legacy Project - 260506,Tree for Legacy Project - 260506,34483.1,34483.1,0,0,34483.1
Tree for Legacy Project - 260506,Maintenance and Other Operating Expenses,34483.1,34483.1,0,0,34483.1
ISF-CBFM Projects-260507,ISF-CBFM Projects-260507,128.7,128.7,0,0,128.7
ISF-CBFM Projects-260507,Maintenance and Other Operating Expenses,128.7,128.7,0,0,128.7
Agroforestry Model: An Implementation for the Integrated Resource Management Plan (IRMP) for the Co-Manangement Agreement in Buliwao-Maasin Quezon-260508,Agroforestry Model: An Implementation for the Integrated Resource Management Plan (IRMP) for the Co-Manangement Agreement in Buliwao-Maasin Quezon-260508,8601.4,8601.4,8550,0,51.4
Agroforestry Model: An Implementation for the Integrated Resource Management Plan (IRMP) for the Co-Manangement Agreement in Buliwao-Maasin Quezon-260508,Maintenance and Other Operating Expenses,8601.4,8601.4,8550,0,51.4
Provincial Nursery Operation Project - 260509,Provincial Nursery Operation Project - 260509,4819.99,4819.99,0,0,4819.99
Provincial Nursery Operation Project - 260509,Maintenance and Other Operating Expenses,4819.99,4819.99,0,0,4819.99
Community Alternative Livelihood: Seedling Production Project-260510,Community Alternative Livelihood: Seedling Production Project-260510,6185,6185,0,0,6185
Community Alternative Livelihood: Seedling Production Project-260510,Maintenance and Other Operating Expenses,6185,6185,0,0,6185
Save the Magat River Project-260512,Save the Magat River Project-260512,500,500,0,0,500
Save the Magat River Project-260512,Maintenance and Other Operating Expenses,500,500,0,0,500
Riverbank Stabilization Project-260513,Riverbank Stabilization Project-260513,400,400,0,0,400
Riverbank Stabilization Project-260513,Maintenance and Other Operating Expenses,400,400,0,0,400
Bantay Gubat Project-260514,Bantay Gubat Project-260514,6603,6603,0,0,6603
Bantay Gubat Project-260514,Maintenance and Other Operating Expenses,6603,6603,0,0,6603
