program_or_project,activity,code,appropriation,allotment,appropriation_balance,obligation,allotment_balance
Statutory and Mandatory Obligation- Capital Outlay,"Beside DANECO Office, Brgy. Mag. East (Reference number: 289-11-12)",-,-,168000,-,146101.4,21898.6
Statutory and Mandatory Obligation- Capital Outlay,Purok 5 Apokon ( Reference number: 307-11-12 ),-,-,100000,-,69015,30985
Statutory and Mandatory Obligation- Capital Outlay,Construction or Rehabilitation of Drainage,-,-,1467587.74,-,1467587.74,-
MPBF,-,9931,12970585,12920585,50000,12318723.68,601861.32
MPBF- Personal Services,-,-,12970585,12920585,50000,12318723.68,601861.32
MPBF- Personal Services,Lumpsum Appro for Reorganization,701,-,-,-,-,-
MPBF- Personal Services,Productivity Incentive Allowance,717,1099585,1099585,-,1068000,31585
MPBF- Personal Services,Pensions and Retirement Benefits,740,-,-,-,-,-
MPBF- Personal Services,Terminal Leave Benefits,742,3000000,3000000,-,2857902.74,142097.26
MPBF- Personal Services,Loyalty Pay,749,460000,460000,-,415000,45000
MPBF- Personal Services,Maternity Leave Benefits,749,50000,-,50000,-,-
MPBF- Personal Services,Monetization of Leave Credits,749,4000000,4000000,-,3628020.94,371979.06
MPBF- Personal Services,Extra Hazard Premium,749,-,-,-,-,-
MPBF- Personal Services,Productivity Enhancement Incentive,749,4361000,4361000,-,4349800,11200
Aid to Barangays,-,9995,2630000,2630000,-,2630000,-
Aid to Barangays- Maintenance and Other Operating Expenses,-,-,2630000,2630000,-,2630000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations,874,-,-,-,-,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- Bincungan,-,50000,50000,-,50000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- Busaon,-,50000,50000,-,50000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- Canocotan,-,50000,50000,-,50000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- Cuambugan,-,50000,50000,-,50000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- Liboganon,-,50000,50000,-,50000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- New Balamban,-,50000,50000,-,50000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- Nueva Fuerza,-,50000,50000,-,50000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- Pagsabangan,-,50000,50000,-,50000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- Pandapan,-,50000,50000,-,50000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- San Agustin,-,50000,50000,-,50000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- San Isidro,-,50000,50000,-,50000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- La Filipina,-,25000,25000,-,25000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- Magdum,-,25000,25000,-,25000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- San Miguel,-,25000,25000,-,25000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- Magugpo East,-,500000,500000,-,500000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- Magugpo West,-,500000,500000,-,500000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- Magugpo North,-,500000,500000,-,500000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- Magugpo South,-,500000,500000,-,500000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- Apokon,-,1000,1000,-,1000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- Madaum,-,1000,1000,-,1000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- Mankilam,-,1000,1000,-,1000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- Visayan Village,-,1000,1000,-,1000,-
Aid to Barangays- Maintenance and Other Operating Expenses,Donations- Magugpo Poblacion,-,1000,1000,-,1000,-
Asphalt and Concrete Batching Plant,-,8859,30000000,6446652.72,23553347.28,6405774.22,40878.5
Asphalt and Concrete Batching Plant- Maintenance and Other Operating Expenses,-,-,-,6446652.72,23553347.28,6405774.22,40878.5
Asphalt and Concrete Batching Plant- Maintenance and Other Operating Expenses,Cost of Construction,-,-,-,-,-,-
Asphalt and Concrete Batching Plant- Maintenance and Other Operating Expenses,Other Maintenance and Operating Expenses,969,-,-,-,-,-
Asphalt and Concrete Batching Plant- Maintenance and Other Operating Expenses,"Asphalt Overlay along Daang Maharlika Road ( Carmen-Panabo Section ), Panabo City (Reference number: 001-01-12_",-,-,4078691,-,4074853.07,3837.93
Asphalt and Concrete Batching Plant- Maintenance and Other Operating Expenses,"Asphalt Overlay or Repair and Rehab of Daang Maharlika ( Carmen - Guadalupe Sec ), Carmen, Davao del Norte (Reference number: 0146-04-12)",-,-,445987.7,-,445939.4,48.3
Asphalt and Concrete Batching Plant- Maintenance and Other Operating Expenses,"Repair or Rehabilitation Of Daang Maharlika Rd. (Guadalupe Sec.) Carmen, Davao del Norte ( Reference number: 207-06-12 )",-,-,1882240,-,1845881.75,36358.25
Asphalt and Concrete Batching Plant- Maintenance and Other Operating Expenses,Asphalting of roads at Brgy. Manambulan ( Rd. Going sub-office of D.A. Region) Tugbok District (Reference number: 223-07-12),-,-,39734.02,-,39100,634.02
Total General Fund Proper,-,-,866638223.4,831422312.1,35215911.36,578662067.3,252760244.8
Locally Funded Projects,-,-,-,-,-,-,-
Office of the City Mayor,-,1011,81545280.28,81115280.28,430000,76358484.16,4756796.12
Office of the City Mayor- Quick Response Fund,-,-,300000,300000,-,300000,-
Office of the City Mayor- Quick Response Fund,Other Maintenance and Operating Expenses,969,300000,300000,-,300000,-
Office of the City Mayor- Tri- Media Fund,-,-,375630.17,375630.17,-,299540,76090.17
Office of the City Mayor- Tri- Media Fund,Traveling Expenses,751,40000,40000,-,3945,36055
Office of the City Mayor- Tri- Media Fund,"Cable, Satelite and Radio Expenses",775,315630.17,315630.17,-,282975,32655.17
Office of the City Mayor- Tri- Media Fund,Other Maintenance and Operating Expenses,969,20000,20000,-,12620,7380
Office of the City Mayor- Civic Action Program,-,-,200000,200000,-,108076,91924
Office of the City Mayor- Civic Action Program,Other Maintenance and Operating Expenses,969,200000,200000,-,108076,91924
Office of the City Mayor- Local Health Board,-,-,281000,281000,-,271006,9994
Office of the City Mayor- Local Health Board,Traveling Expenses,751,10000,10000,-,9686,314
Office of the City Mayor- Local Health Board,Training Expenses,753,30000,30000,-,29920,80
Office of the City Mayor- Local Health Board,Office Supplies Expense,755,5000,5000,-,-,5000
Office of the City Mayor- Local Health Board,Donations,878,221000,221000,-,217000,4000
Office of the City Mayor- Local Health Board,Other Maintenance and Operating Expenses,969,15000,15000,-,14400,600
Office of the City Mayor- Cultural Program,-,-,322000,322000,-,310000,12000
Office of the City Mayor- Cultural Program,Other Maintenance and Operating Expenses,969,322000,322000,-,310000,12000
Office of the City Mayor- Musical Programs,-,-,635000,635000,-,608520,26480
Office of the City Mayor- Musical Programs,Musical Instrument,250,635000,635000,-,608520,26480
Office of the City Mayor- Minimum Basic Needs,-,-,2903538,2903538,-,2769911.8,133626.2
Office of the City Mayor- Minimum Basic Needs,Donations,878,2903538,2903538,-,2769911.8,133626.2
Office of the City Mayor- Operationalization of City Cooperative Developent Council (CCDC),-,-,46000,46000,-,45104,896
Office of the City Mayor- Operationalization of City Cooperative Developent Council (CCDC),Office Supplies Expenses,755,20000,20000,-,19104,896
Office of the City Mayor- Operationalization of City Cooperative Developent Council (CCDC),Other Maintenance and Operating Expenses,969,26000,26000,-,26000,-
Office of the City Mayor- COOP Month Celebration,-,-,100000,100000,-,99905,95
Office of the City Mayor- COOP Month Celebration,Other Maintenance and Operating Expenses,969,100000,100000,-,99905,95
Office of the City Mayor- Reorganization Fund,-,-,100000,100000,-,70000,30000
Office of the City Mayor- Reorganization Fund,Other Maintenance and Operating Expenses,969,100000,100000,-,70000,30000
Office of the City Mayor- Operationalization of the City Appraisal Committee,-,-,50000,50000,-,19000,31000
Office of the City Mayor- Operationalization of the City Appraisal Committee,Other Maintenance and Operating Expenses,969,50000,50000,-,19000,31000
Office of the City Mayor- Operationalization on Housing Program,-,-,50000,50000,-,38400,11600
Office of the City Mayor- Operationalization on Housing Program,Other Maintenance and Operating Expenses,969,50000,50000,-,38400,11600
Office of the City Mayor- Operationalization Of GAD Council,-,-,100000,50000,50000,49860,140
Office of the City Mayor- Operationalization Of GAD Council,Other Maintenance and Operating Expenses,969,100000,50000,50000,49860,140
Office of the City Mayor- Consumer's Welfare Program,-,-,50000,50000,-,49795,205
Office of the City Mayor- Consumer's Welfare Program,Other Maintenance and Operating Expense,969,50000,50000,-,49795,205
Office of the City Mayor- Executive Legislative Agenda Development,-,-,300000,100000,200000,85186,14814
Office of the City Mayor- Executive Legislative Agenda Development,Other Maintenance and Operating Expenses,969,300000,100000,200000,85186,14814
Office of the City Mayor- Sports Development Program,-,-,2400837.73,2400837.73,-,2356276.47,44561.26
Office of the City Mayor- Sports Development Program,Traveling Expenses,751,20000,20000,-,20000,-
Office of the City Mayor- Sports Development Program,Training Expenses,753,30000,30000,-,30000,-
Office of the City Mayor- Sports Development Program,Office Supplies Expenses,755,89958,89958,-,89956.5,1.5
Office of the City Mayor- Sports Development Program,Gasoline Expenses,761,30000,30000,-,13456.97,16543.03
Office of the City Mayor- Sports Development Program,Internet Expenses,774,-,-,-,-,-
Office of the City Mayor- Sports Development Program,Other Supplies Expenses,765,1150879.73,1150879.73,-,1146016,4863.73
Office of the City Mayor- Sports Development Program,Repair and Maintenance Of Sports Facilities or Equipment,835,50000,50000,-,49866,134
Office of the City Mayor- Sports Development Program,Other Maintenance and Operating Exp,969,1030000,1030000,-,1006981,23019
Office of the City Mayor- Batang Pinoy Sportsfest,-,-,70000,70000,-,66500,3500
Office of the City Mayor- Batang Pinoy Sportsfest,Other Maintenance and Operating Expenses,969,70000,70000,-,66500,3500
Office of the City Mayor- Araw ng Tagum Sports Activities,-,-,500000,500000,-,394774.58,105225.42
Office of the City Mayor- Araw ng Tagum Sports Activities,Other Maintenance Operating Expenses,969,500000,500000,-,394774.58,105225.42
Office of the City Mayor- Barangay Sports Activities,-,-,500000,500000,-,487154.54,12845.46
Office of the City Mayor- Barangay Sports Activities,Other Maintenance Operating Expenses,969,500000,500000,-,487154.54,12845.46
Office of the City Mayor- Nutrition Month Celebration,-,-,100000,100000,-,99996,4
Office of the City Mayor- Nutrition Month Celebration,Other Maintenance and Operating Expenses,969,100000,100000,-,99996,4
Office of the City Mayor- Women's Day Celebration,-,-,150000,150000,-,150000,-
Office of the City Mayor- Women's Day Celebration,Other Maintenance and Operating Expenses,969,150000,150000,-,150000,-
Office of the City Mayor- New Years Day Celebration,-,-,400000,400000,-,400000,-
Office of the City Mayor- New Years Day Celebration,Other Maintenace and Operating Expenses,969,400000,400000,-,400000,-
Office of the City Mayor- Franchising and Regulatory Board,-,-,132000,132000,-,132000,-
Office of the City Mayor- Franchising and Regulatory Board,Other Maintenace and Operating Expenses,969,132000,132000,-,132000,-
Office of the City Mayor- Shelter Assistance Program,-,-,2900000,2900000,-,2838136.62,61863.38
Office of the City Mayor- Shelter Assistance Program,Donations,878,2900000,2900000,-,2838136.62,61863.38
Office of the City Mayor- RCEP Program,-,-,6491000,6491000,-,4840158.62,1650841.38
Office of the City Mayor- RCEP Program,Gasoline Expense,761,1000000,1000000,-,95400,904600
Office of the City Mayor- RCEP Program,Agricultural Supplies Expenses,762,1850000,1850000,-,1713842.95,136157.05
Office of the City Mayor- RCEP Program,Other Supplies Expenses,765,100000,100000,-,46490,53510
Office of the City Mayor- RCEP Program,General Services,795,1091000,1091000,-,1007653.21,83346.79
Office of the City Mayor- RCEP Program,Other Maintenace and Operating Expenses,969,100000,100000,-,95705,4295
Office of the City Mayor- RCEP Program,Capital Outlay- Dev't of San Agustin Eco Park,252,2000000,2000000,-,1587397.46,412602.54
Office of the City Mayor- RCEP Program,Capital Outlay- (Reference number: 104-02-12),-,-,1000000,-,925903.46,74096.54
Office of the City Mayor- RCEP Program,Capital Outlay- (Reference number: 252-09-12),-,-,1000000,-,661494,338506
Office of the City Mayor- RCEP Program,Capital Outlay- Motorcycle,241,250000,250000,-,250000,-
Office of the City Mayor- RCEP Program,"Capital Outlay- Other Property, Plant and Equipment",250,100000,100000,-,43670,56330
Office of the City Mayor- Youth Development Program,-,-,115000,115000,-,50465,64535
Office of the City Mayor- Youth Development Program,Traveling Expenses,751,20000,20000,-,18930,1070
Office of the City Mayor- Youth Development Program,Training Expenses,753,20000,20000,-,11536,8464
Office of the City Mayor- Youth Development Program,Office Supplies Expenses,755,15000,15000,-,-,15000
Office of the City Mayor- Youth Development Program,Gasoline Expense,761,30000,30000,-,14999,15001
Office of the City Mayor- Youth Development Program,Other Maintenace and Operating Expenses,969,30000,30000,-,5000,25000
Office of the City Mayor- Non - Formal Education-Literacy Program,-,-,150000,150000,-,144160,5840
Office of the City Mayor- Non - Formal Education-Literacy Program,Other Maintenace and Operating Expenses,969,150000,150000,-,144160,5840
Office of the City Mayor- Musical Literacy Program,-,-,800000,800000,-,786715,13285
Office of the City Mayor- Musical Literacy Program,Other Maintenance and Operating Expenses,969,800000,800000,-,786715,13285
Office of the City Mayor- Ciy Vocational or Technical Educational Scholarship Program (CIVOTESPRO),-,-,1500000,1500000,-,1495937,4063
Office of the City Mayor- Ciy Vocational or Technical Educational Scholarship Program (CIVOTESPRO),Scholarship Expenses,754,1500000,1500000,-,1495937,4063
Office of the City Mayor- Skills Training Program,-,-,500000,500000,-,450820,49180
Office of the City Mayor- Skills Training Program,Training Expenses,753,500000,500000,-,450820,49180
Office of the City Mayor- SPES Program,-,-,500000,500000,-,452970.3,47029.7
Office of the City Mayor- SPES Program,Other Maintenance and Operating Expenses,969,500000,500000,-,452970.3,47029.7
Office of the City Mayor- Tagum Eye Care Program,-,-,300000,300000,-,300000,-
Office of the City Mayor- Tagum Eye Care Program,Other Maintenance and Operating Expenses,969,300000,300000,-,300000,-
Bowling Tournament (National),-,-,400000,400000,-,394000,6000
Bowling Tournament (National),Other Maintenance and Operating Expenses,969,400000,400000,-,394000,6000
Peace and Order Fund: Development Of Police or Military Camp,-,215,2000000,1820000,180000,1618212.01,201787.99
Peace and Order Fund: Development Of Police or Military Camp,Brgy. San Agustin  Reference number: 087-02-12 ),-,-,80000,-,52497,27503
Peace and Order Fund: Development Of Police or Military Camp,10th Infantry Division (Reference number: 0122-03-12),-,-,240000,-,230342,9658
Peace and Order Fund: Development Of Police or Military Camp,10th Infantry Division - Camp Agila (Reference number: 232-07-12),-,-,1000000,-,959027.01,40972.99
Peace and Order Fund: Development Of Police or Military Camp,(Cons't. of Armory) 60th Infantry Batallion (Reference number: 266-09-12),-,-,500000,-,376346,123654
Peace and Order Fund: Inter- Agency Program,-,-,25214300.23,25214300.23,-,25159966.33,54333.9
Peace and Order Fund: Inter- Agency Program,Food Supplies Expense,758,1000000,1000000,-,948750,51250
Peace and Order Fund: Inter- Agency Program,General Services,795,24214300.23,24214300.23,-,24211216.33,3083.9
Peace and Order Fund: Security Program,-,-,17740911.97,17740911.97,-,17362433.58,378478.39
Peace and Order Fund: Security Program,Security Services,797,17740911.97,17740911.97,-,17362433.58,378478.39
Peace and Order Fund: Peacekeepers Mobilization Fund,-,-,1380000,1380000,-,1379985,15
Peace and Order Fund: Peacekeepers Mobilization Fund,Other Maintenance and Other Operating Expenses,969,1380000,1380000,-,1379985,15
Peace and Order Fund: Subsidy to Parole and Probation Office,-,-,119000,119000,-,116279.28,2720.72
Peace and Order Fund: Subsidy to Parole and Probation Office,Donations,878,100000,100000,-,97279.28,2720.72
Peace and Order Fund: Subsidy to Parole and Probation Office,Other Maintenance and Operaing Expenses,969,19000,19000,-,19000,-
Peace and Order Fund: Operationalization of PNP Sub Station,-,-,274800,274800,-,72000,202800
Peace and Order Fund: Operationalization of PNP Sub Station,Food SuppliesExpenses,758,120000,120000,-,64800,55200
Peace and Order Fund: Operationalization of PNP Sub Station,Gasoline Expenses,761,130800,130800,-,-,130800
Peace and Order Fund: Operationalization of PNP Sub Station,Telephone Expense-Mobile,773,12000,12000,-,7200,4800
Peace and Order Fund: Operationalization of PNP Sub Station,Other Maintenance and Operating Expenses,969,12000,12000,-,-,12000
Peace and Order Fund: Operationalization of City Peace and Order,-,-,3752560,3752560,-,2726180.78,1026379.22
Peace and Order Fund: Operationalization of City Peace and Order,Traveling Expenses,751,50000,50000,-,39517.12,10482.88
Peace and Order Fund: Operationalization of City Peace and Order,Training Expenses,753,140000,140000,-,139631.76,368.24
Peace and Order Fund: Operationalization of City Peace and Order,Office Supplies Expenses,755,85000,85000,-,1863,83137
Peace and Order Fund: Operationalization of City Peace and Order,Gasoline Expenses,761,2622400,2622400,-,1805818.09,816581.91
Peace and Order Fund: Operationalization of City Peace and Order,Other Supplies Expenses,765,30000,30000,-,-,30000
Peace and Order Fund: Operationalization of City Peace and Order,Telephone Expense-Landline,772,54000,54000,-,18256.81,35743.19
Peace and Order Fund: Operationalization of City Peace and Order,Other Maintenance and Operating Expenses,969,771160,771160,-,721094,50066
Peace and Order Fund: Operation of City Disaster Risk Reduction Management Council ( CDRRMC ),-,-,200000,200000,-,164495.16,35504.84
Peace and Order Fund: Operation of City Disaster Risk Reduction Management Council ( CDRRMC ),Other Maintenance And Operating Expenses,969,200000,200000,-,164495.16,35504.84
Peace and Order Fund: Children Welfare Program,-,-,704630.75,704630.75,-,688606.25,16024.5
Peace and Order Fund: Children Welfare Program,Other Maintenance and Operating Expenses,969,704630.75,704630.75,-,688606.25,16024.5
Peace and Order Fund: Security Fund Program,-,878,6307071.43,6307071.43,-,6035302.58,271768.85
Peace and Order Fund: Security Fund Program,Food Supplies Expenses,758,300000,300000,-,268866.15,31133.85
Peace and Order Fund: Security Fund Program,Gasoline Expenses,761,1000000,1000000,-,874815,125185
Peace and Order Fund: Security Fund Program,Other Maintenance And Operating Expenses,969,100000,100000,-,61990,38010
Peace and Order Fund: Security Fund Program,Capital Outlay- Communication Equipment,229,500000,500000,-,422560,77440
Peace and Order Fund: Security Fund Program,Capital Outlay- Military and Police Equipment,234,250000,250000,-,250000,-
Peace and Order Fund: Security Fund Program,Capital Outlay- Motor Vehicles,241,3474979.43,3474979.43,-,3474979.43,-
Peace and Order Fund: Security Fund Program,Capital Outlay- Motorcycles,241,682092,682092,-,682092,-
Peace and Order Fund: Anti- Drug Abuse Program,-,-,130000,130000,-,70655.26,59344.74
Peace and Order Fund: Anti- Drug Abuse Program,Office Supplies Expenses,755,30000,30000,-,29808.75,191.25
Peace and Order Fund: Anti- Drug Abuse Program,Gasoline Expenses,761,20000,20000,-,10926.51,9073.49
Peace and Order Fund: Anti- Drug Abuse Program,Subsidy to Drug Rehabilitation Center,878,50000,50000,-,-,50000
Peace and Order Fund: Anti- Drug Abuse Program,Other Maintenace and Operating Expenses,969,30000,30000,-,29920,80
City Investment and Promotion Office,-,1011-2,260000,260000,-,176209.5,83790.5
City Investment and Promotion Office- Investment Development and Promotions Program,-,-,260000,260000,-,176209.5,83790.5
City Investment and Promotion Office- Investment Development and Promotions Program,Postage and Deliveries,771,10000,10000,-,-,10000
City Investment and Promotion Office- Investment Development and Promotions Program,Other Maintenance and Operating Expenses,969,250000,250000,-,176209.5,73790.5
Office of the City Tourism,-,1011-3,8603280,8603280,-,7617937.67,985342.33
Office of the City Tourism- Tourism Program,-,-,668280,668280,-,338135,330145
Office of the City Tourism- Tourism Program,General Services,795,68280,68280,-,-,68280
Office of the City Tourism- Tourism Program,Other Maintenance and Operating Expenses,969,600000,600000,-,338135,261865
Office of the City Tourism- Pakaradjan Festival,-,-,200000,200000,-,199807.4,192.6
Office of the City Tourism- Pakaradjan Festival,Other Maintenance and Operating Expenses,969,200000,200000,-,199807.4,192.6
Office of the City Tourism- IP's Program,-,-,200000,200000,-,198677,1323
Office of the City Tourism- IP's Program,Other Maintenance and Operating Expenses,969,200000,200000,-,198677,1323
Office of the City Tourism- Tagum City Summer Sportsfest,-,-,500000,500000,-,494686.16,5313.84
Office of the City Tourism- Tagum City Summer Sportsfest,Other Maintenance and Operating Expenses,969,500000,500000,-,494686.16,5313.84
Office of the City Tourism- Parochial Fiesta Sports Activities,-,-,500000,500000,-,493995.5,6004.5
Office of the City Tourism- Parochial Fiesta Sports Activities,Other Maintenance and Operating Expenses,969,500000,500000,-,493995.5,6004.5
Office of the City Tourism- Musikahan Festival,-,-,3135000,3135000,-,2823364.44,311635.56
Office of the City Tourism- Musikahan Festival,Other Maintenance and Operating Expenses,969,3135000,3135000,-,2823364.44,311635.56
Office of the City Tourism- Araw ng Tagum Celebration,-,-,300000,300000,-,295950,4050
Office of the City Tourism- Araw ng Tagum Celebration,Other Maintenance and Operating Expenses,969,300000,300000,-,295950,4050
Office of the City Tourism- Musikahan sa Barangay,-,-,200000,200000,-,173000,27000
Office of the City Tourism- Musikahan sa Barangay,Other Maintenance Operating Expenses,969,200000,200000,-,173000,27000
Office of the City Tourism- Binuhat Festival,-,-,300000,300000,-,299814.62,185.38
Office of the City Tourism- Binuhat Festival,Other Maintenance and Operating Expenses,969,300000,300000,-,299814.62,185.38
Office of the City Tourism- Durian Festival,-,-,500000,500000,-,496416.97,3583.03
Office of the City Tourism- Durian Festival,Other Maintenance and Operating Expenses,969,500000,500000,-,496416.97,3583.03
Office of the City Tourism- Flores de Tagumeno,-,-,200000,200000,-,199933.76,66.24
Office of the City Tourism- Flores de Tagumeno,Other Maintenance and Operating Expenses,969,200000,200000,-,199933.76,66.24
Office of the City Tourism- International Children and Youth Football Festival,-,-,1000000,1000000,-,749722.92,250277.08
Office of the City Tourism- International Children and Youth Football Festival,Other Maintenance and Operating Expenses,969,1000000,1000000,-,749722.92,250277.08
Office of the City Tourism- Indayog Dance Festival,-,-,300000,300000,-,299942.4,57.6
Office of the City Tourism- Indayog Dance Festival,Other Maintenance and Operating Expenses,969,300000,300000,-,299942.4,57.6
Office of the City Tourism- Kaimonan Festival,-,-,200000,200000,-,197885,2115
Office of the City Tourism- Kaimonan Festival,Other Maintenance and Operating Expenses,969,200000,200000,-,197885,2115
Office of the City Tourism- Holiday Tree Lighting,-,-,100000,100000,-,99386,614
Office of the City Tourism- Holiday Tree Lighting,Other Maintenance and Operating Expenses,969,100000,100000,-,99386,614
Office of the City Tourism- Independence Day Celebration,-,-,100000,100000,-,99000,1000
Office of the City Tourism- Independence Day Celebration,Other Maintenance and Operating Expenses,969,100000,100000,-,99000,1000
Office of the City Tourism- Institutionalization of Tourism and Standards,-,-,100000,100000,-,99599.5,400.5
Office of the City Tourism- Institutionalization of Tourism and Standards,Other Maintenance and Operating Expenses,969,100000,100000,-,99599.5,400.5
Office of the City Tourism- Tourism Code,-,-,100000,100000,-,58621,41379
Office of the City Tourism- Tourism Code,Other Maintenance and Operating Expenses,969,100000,100000,-,58621,41379
Special Community Development Programs Division,-,1011-4,472000,472000,-,438982.15,33017.85
Special Community Development Programs Division- Grow Micro Program,-,-,250000,250000,-,233943.65,16056.35
Special Community Development Programs Division- Grow Micro Program,Other Maintenance and Operating Expenses,969,250000,250000,-,233943.65,16056.35
Special Community Development Programs Division- Jobs Fair Program,-,-,120000,120000,-,113080,6920
Special Community Development Programs Division- Jobs Fair Program,Other Maintenance and Operating Expenses,969,120000,120000,-,113080,6920
Special Community Development Programs Division- Special Passporting or Mobile NSO Authentication or Mobile PRC Renewal Program,-,-,102000,102000,-,91958.5,10041.5
Special Community Development Programs Division- Special Passporting or Mobile NSO Authentication or Mobile PRC Renewal Program,Other Maintenance and Operating Expenses,969,102000,102000,-,91958.5,10041.5
Office of the City Vice- Mayor,-,1016,600000,600000,-,568261.26,31738.74
Office of the City Vice- Mayor- Legislative Research Program,-,-,410000,410000,-,378650.23,31349.77
Office of the City Vice- Mayor- Legislative Research Program,Other Maintenance and Operating Expenses,969,410000,410000,-,378650.23,31349.77
Office of the City Vice- Mayor- Legislative Publication and Documentation,-,-,90000,90000,-,89930.83,69.17
Office of the City Vice- Mayor- Legislative Publication and Documentation,Other Maintenance and Operating Expenses,969,90000,90000,-,89930.83,69.17
Office of the City Vice- Mayor- Operationalization of Legislative Backstopping Unit,-,-,100000,100000,-,99680.2,319.8
Office of the City Vice- Mayor- Operationalization of Legislative Backstopping Unit,Traveling Expenses,751,20000,20000,-,20000,-
Office of the City Vice- Mayor- Operationalization of Legislative Backstopping Unit,Training Expenses,753,30000,30000,-,30000,-
Office of the City Vice- Mayor- Operationalization of Legislative Backstopping Unit,Office Supplies Expenses,755,40000,40000,-,39680.2,319.8
Office of the City Vice- Mayor- Operationalization of Legislative Backstopping Unit,Other Maintenance and Operating Expenses,969,10000,10000,-,10000,-
Office of the City Human Resource and Development,-,1032,3054000,3054000,-,2872162.25,181837.75
Office of the City Human Resource and Development- Personnel Enhancement Program,-,-,1330000,1330000,-,1293327.5,36672.5
Office of the City Human Resource and Development- Personnel Enhancement Program,Training Expenses (Beneficiaries),753,200000,200000,-,195947.5,4052.5
Office of the City Human Resource and Development- Personnel Enhancement Program,Donations(Retirees Testimonial Program),878,120000,120000,-,117000,3000
Office of the City Human Resource and Development- Personnel Enhancement Program,Other Maintenance and Operating Expenses,878,1010000,1010000,-,980380,29620
Office of the City Human Resource and Development- Burial and or Financial Assistance to Employees,-,-,400000,400000,-,400000,-
Office of the City Human Resource and Development- Burial and or Financial Assistance to Employees,Donations,878,400000,400000,-,400000,-
"Office of the City Human Resource and Development- Program and Personnel Mechanism PRAISE, PERC, GM, MPP, SRP",-,-,100000,100000,-,84998.75,15001.25
"Office of the City Human Resource and Development- Program and Personnel Mechanism PRAISE, PERC, GM, MPP, SRP",Other Maintenance and Operating Expenses,969,100000,100000,-,84998.75,15001.25
Office of the City Human Resource and Development- Employees Sports Activities,-,-,500000,500000,-,497636,2364
Office of the City Human Resource and Development- Employees Sports Activities,Other Maintenance and Operating Expenses,969,500000,500000,-,497636,2364
Office of the City Human Resource and Development- Employees Health Benefit,-,-,200000,200000,-,72200,127800
Office of the City Human Resource and Development- Employees Health Benefit,Provision for Employees Annual Health Care,-,-,-,-,-,-
Office of the City Human Resource and Development- Employees Health Benefit,Benefit ( For Permanent or Casual ),-,-,-,-,-,-
Office of the City Human Resource and Development- Employees Health Benefit,Other Maintenance and Operating Expenses,969,200000,200000,-,72200,127800
Office of the City Human Resource and Development- Civil Service Month Celebration,-,-,524000,524000,-,524000,-
Office of the City Human Resource and Development- Civil Service Month Celebration,Other Maintenance and Operating Expenses,969,524000,524000,-,524000,-
Office of City Planning and Development,-,1041,150000,150000,-,136816.75,13183.25
Office of City Planning and Development- Revision of Comprehensive Development and Land Use Plan,-,-,50000,50000,-,40720,9280
Office of City Planning and Development- Revision of Comprehensive Development and Land Use Plan,Other Maintenance and Operating Expenses,969,50000,50000,-,40720,9280
Office of City Planning and Development- Barangay Planning or Operationalization of CDC,-,-,100000,100000,-,96096.75,3903.25
Office of City Planning and Development- Barangay Planning or Operationalization of CDC,Other Maintenance and Operating Expenses,-,100000,100000,-,96096.75,3903.25
Office of the City Local Civil Register,-,1051,235000,235000,-,166985.1,68014.9
Office of the City Local Civil Register- Barangay Civil Registration System (BCRS),-,-,50000,50000,-,29100,20900
Office of the City Local Civil Register- Barangay Civil Registration System (BCRS),Training Expenses (of Lister),753,40000,40000,-,26800,13200
Office of the City Local Civil Register- Barangay Civil Registration System (BCRS),Other Maintenance and Operating Expenses,969,10000,10000,-,2300,7700
Office of the City Local Civil Register- Simplification of Civil Registry Docs.,-,-,30000,30000,-,15500,14500
Office of the City Local Civil Register- Simplification of Civil Registry Docs.,Training Expenses (of Lister),753,5000,5000,-,-,5000
Office of the City Local Civil Register- Simplification of Civil Registry Docs.,Other Maintenance and Operating Expenses,969,25000,25000,-,15500,9500
