date,or_jev_number,particulars,type_of_income,total
4/1/2013,OR# 4702364,Remittance by investment Unlimited Inc re: land holdings compensation claim with LBP involving properties ceded to the DAR,Proceeds from disposition of Recovered Assets,27406188.57
4/30/2013,OR# 4702504,Rental payment from Globe Telecom,Collateral Income,42592.13
4/30/2013,OR# 4702503,Partial remittance by IRC Group of companies from the proceeds of sale of Banaue Inn,Collateral Income,7200000
5/17/2013,OR# 4702588,Rental payment from Globe Telecom,Collateral Income,42592.13
6/14/2013,OR# 4702733,Rental payment from Globe Telecom,Collateral Income,42592.13
6/17/2013,OR# 4702743,Remittance by IRC Group of Companies from the proceeds of Mapalad property,Proceeds from disposition of Recovered Assets,200159100
7/1/2013,OR# 4702815,Remittance by IRC Group of Companies/Mid-Pasig Land Dev't Corp from the proceeds of sale of Han Menzi Property Baquio City,Proceeds from disposition of Recovered Assets,63000000
7/8/2013,OR# 4702843,Rental payment from Globe Telecom,Collateral Income,42592.13
7/22/2013,OR# 4702881,Remittance from Investment Unlimited Inc (IUI) land holdings compensation claim with LBP involving properties cede to the DAR for CARP,Collateral Income,1215435.95
8/8/2013,OR# 4702983,Rental payment from Globe Telecom,Collateral Income,42592.13
9/11/2013,OR# 4703145,Rental payment from Globe Telecom,Collateral Income,42592.13
10/9/2013,OR# 4703268,Rental payment from Globe Telecom,Collateral Income,42592.13
11/4/2013,OR# 4703380,Rental payment for the property located at Valle Verde 111 Pasig City,Collateral Income,415800
11/14/2013,OR# 4703425,Rental payment from Globe Telecom,Collateral Income,42592.13
12/11/2013,OR# 4703639,Rental payment from Globe Telecom,Collateral Income,42592.13
12/27/2013,OR# 4703655,"Proceeds from sale of Banaue Inn, Baquio City",Proceeds from disposition of Recovered Assets,1800000
12/27/2013,OR# 4703655,Proceeds from sale of Mapalad Property,Proceeds from disposition of Recovered Assets,8895960
12/27/2013,OR# 4703655,"Proceeds from sale of Hans Menzi, Baquio City",Proceeds from disposition of Recovered Assets,20715800.4
12/27/2013,OR# 4703653,Office rental from January to December 2013,Collateral Income,5227200
12/27/2013,OR# 4703654,Income from ITRC Group of Companies and rent of PCGG Property,Collateral Income,12420000
12/27/2013,OR# 4703652,Remaining balance of Meralco shares,Collateral Income,64495875.82
1/6/2014,OR# 4703685,Rental payments from Globe Telecom,Collateral Income,42592.13
1/28/2014,OR# 4703835,Rental payment for the property located at Valle Verde 111 Pasig City,Collateral Income,115500
1/28/2014,OR# 4703835,10% Special Provision from remittance to CARP for PCGG legal fund,-,-11550
2/5/2014,OR# 4703873,"Re: portion of the recovered 'West LB Funds"" (GBPs 5,37409017@$164100;$8,818,88197@45044)",Collateral Income,917787835.1
2/5/2014,OR# 4703873,10% Special Provision from remittance to CARP for PCGG legal fund,-,-91778783.19
2/10/2014,CA No. 001706,"Remaining portion of the recovered ""West LB"" GBPS 5,374",Collateral Income,397237719.5
2/10/2014,CA No. 001706,10% Special Provision from remittance to CARP for PCGG legal fund,-,-39723771.63
2/13/2014,OR# 4703929,Rental payments from Globe Telecom,Collateral Income,44833.83
2/19/2014,OR# 4703968,Rental payments for the property located at Valle Verde 111 Pasig City,Collateral Income,115500
2/19/2014,OR# 4703968,10% Special Provision from remittance to CARP for PCGG legal fund,-,-11550
3/6/2014,OR# 4704047,Rental payments from Globe Telecom,Collateral Income,44833.83
3/19/2014,OR# 4704568,Rental payment for the property located at Valle Verde 111 Pasig City,Collateral Income,115500
3/19/2014,OR# 4704568,10% Special Provision from remittance to CARP for PCGG legal fund,-,-11550
4/3/2014,OR# 4704624,Rental payment from Globe Telecom,Collateral Income,44833.83
4/3/2014,OR# 4704623,"Remittance fro IRC re: Land holding claim with LBP involving properties in Silang and Carmona, Cavite",Collateral Income,6318385.9
4/3/2014,OR# 4704623,10% Special Provision from remittance to CARP for PCGG legal fund,-,-631838.59
4/7/2014,OR# 4704396,"Remittance fro IRC re:Land holding claim with LBP involving properties in Silang and Carmona, Cavite",Collateral Income,6537655.96
4/7/2014,OR# 4704396,10% Special Provision from remittance to CARP for PCGG legal fund,-,-653765.59
4/23/2014,OR# 4704702,Rental payment for the property located at Valle Verde 111 Pasig City,Collateral Income,115500
4/23/2014,OR# 4704702,10% Special Provision from remittance to CARP for PCGG legal fund,-,-11550
4/23/2014,OR# 4704701,Remaining balance of GEI Acct under PCGG Civil Case No 190(RP vs Fe Roa and Ignacio Gimenez /Roberto Oland ay,Collateral Income,2579160.95
4/23/2014,OR# 4704701,10% Special Provision from remittance to CARP for PCGG legal fund,-,-257915.92
5/20/2014,OR# 4704848,Rental payment from Globe Telecom,Collateral Income,42592.13
5/20/2014,OR# 4704849,Rental payment for the property located at Valle Verde 111 Pasig City,Collateral Income,115500
5/20/2014,OR# 4704849,10% Special Provision from remittance to CARP for PCGG legal fund,-,-11550
6/10/2014,JEV# 14-06-04961,"Re: 5% claim of OSG of the monetary award from recovered ""West Lb Funds""",-,-65751277.72
6/10/2014,OR# 8200005,Rental payment from Globe Telecom,Collateral Income,42592.13
6/17/2014,OR# 8200014,Rental payment for the property located at Valle Verde 111 Pasig City,Collateral Income,115500
6/17/2014,OR# 8200014,10% Special Provision from remittance to CARP for PCGG legal fund,-,-11550
6/17/2014,OR# 8200013,"Representing partial satisfaction of the alias writ of execution in connection with ""Pp vs Imelda Marcos""",Collateral Income,1250000
6/17/2014,OR# 8200013,10% Special Provision from remittance to CARP for PCGG legal fund,-,-125000
7/18/2014,OR# 8200670,Rental payment from Globe Telecom,Collateral Income,42592.13
7/18/2014,OR# 8200671,Rental payment for the property located at Valle Verde 111 Pasig City,Collateral Income,115500
7/18/2014,OR# 8200671,10% Special Provision from remittance to CARP for PCGG legal fund,-,-11550
7/30/2014,OR# 8200711,Remittance from IRC Group of Companies re: proceeds of sale of JY Campos Property located in Baquio City,Collateral Income,144000000
7/30/2014,OR# 8200711,10% Special Provision from remittance to CARP for PCGG legal fund,-,-14400000
8/18/2014,OR# 8200830,Rental payment from Globe Telecom,Collateral Income,42592.13
8/19/2014,OR# 8200847,Rental payment for the property located at Valle Verde 111 Pasig City,Collateral Income,115500
8/19/2014,OR# 8200847,10% Special Provision from remittance to CARP for PCGG legal fund,-,-11550
9/1/2014,OR# 8200911,Payment of 10% bid bond from the sale of Bugarin property located at North Greenhills,Collateral Income,8312603.35
9/1/2014,OR# 8200911,10% Special Provision from remittance to CARP for PCGG legal fund,-,-831260.33
9/2/2014,OR# 8200923,"Payment of 10% bid bond fro the sale of Bugarin property located at BF Homes, Quezon City",Collateral Income,1055200
9/2/2014,OR# 8200923,10% Special Provision from remittance to CARP for PCGG legal fund,-,-105520
9/2/2014,OR# 8200922,Payment of 10% bid bond fro the sale of Bugarin property located at Valle Verde 111,Collateral Income,6402480
9/2/2014,OR# 8200922,10% Special Provision from remittance to CARP for PCGG legal fund,-,-640248
9/16/2014,OR# 8201005,Rental payment from Globe Telecom,Collateral Income,42592.13
9/16/2014,OR# 8201006,Rental payment for the property located at Valle Verde 111 Pasig City,Collateral Income,115500
9/16/2014,OR# 8201006,10% Special Provision from remittance to CARP for PCGG legal fund,-,-11550
10/7/2014,JEV# 14-06-08529,"Remittance under OR#8201006 dtd 9/16/14 returned dishonored by LBP for a reason of ""Drawn Against Insufficient Fund""(BPI Check # 1038787 dtd 9/15/14)",-,-115500
10/7/2014,JEV# 14-06-08529,10% Special Provision from remittance to CARP for PCGG legal fund,-,-11550
10/14/2014,OR# 8201119,Rental payment from Globe Telecom,Collateral Income,42592.13
10/16/2014,OR# 8201132,Rental payment for the property located at Valle Verde 111 Pasig City,Collateral Income,115500
10/16/2014,OR# 8201132,10% Special Provision from remittance to CARP for PCGG legal fund,-,-11550
10/16/2014,OR# 8201131,Remittance of bond/cash proceeds from CARP coverage of IRC land holdings in Laguna,Collateral Income,1512552.12
10/16/2014,OR# 8201131,10% Special Provision from remittance to CARP for PCGG legal fund,-,-151255.21
10/20/2014,OR# 8201139,Rental payment for the property located at Valle Verde 111 Pasig City,Collateral Income,121275
10/20/2014,OR# 8201139,10% Special Provision from remittance to CARP for PCGG legal fund,-,-12127.5
11/6/2014,OR# 8201184,Remittance of bond/cash proceeds from CARP coverage of IRC land holdings in Laguna,Collateral Income,3880997.67
11/6/2014,OR# 8201184,10% Special Provision from remittance to CARP for PCGG legal fund,-,-388099.77
11/18/2014,OR# 8201223,Rental payment from Globe Telecom,Collateral Income,42592.13
11/18/2014,OR# 8201222,Rental payment for the property located at Valle Verde 111 Pasig City,Collateral Income,115000
11/18/2014,OR# 8201222,10% Special Provision from remittance to CARP for PCGG legal fund,-,-11500
11/18/2014,OR# 8201221,Remittance of bond/cash proceeds from CARP coverage of IRC land holdings in Laguna,Collateral Income,325645.86
11/18/2014,OR# 8201221,10% Special Provision from remittance to CARP for PCGG legal fund,-,-32564.59
12/29/2014,OR# 8201351,Rental payment from Globe Telecom,Collateral Income,42592.13
12/29/2014,OR# 8201348,Office space rental from January-December 2014,Collateral Income,6388800
12/29/2014,OR# 8201348,10% Special Provision from remittance to CARP for PCGG legal fund,-,-638880
12/29/2014,OR# 8201349,Income from IRC Group of Companies(rental),Collateral Income,12840000
12/29/2014,OR# 8201349,10% Special Provision from remittance to CARP for PCGG legal fund,-,-1284000
12/29/2014,OR# 8201350,Sale of IRC property(JY Campos property),Collateral Income,16000000
12/29/2014,OR# 8201350,10% Special Provision from remittance to CARP for PCGG legal fund,-,-1600000
1/13/2015,OR# 8201394,Full payment for the sale of Bugarin Property located at BF Homes Quezon City,Proceeds from disposition of Recovered Assets,9496460
1/13/2015,OR# 8201394,10% Special Provision from remittance to CARP for PCGG legal fund,-,-949646
1/13/2015,OR# 8201396,Full payment for the sale of Bugarin Property located at Valle Verde 111,Proceeds from disposition of Recovered Assets,57622320
1/13/2015,OR# 8201396,10% Special Provision from remittance to CARP for PCGG legal fund,-,-5762232
1/13/2015,OR# 8201395,Full payment for the sale of Bugarin Property located at North Greenhills,Proceeds from disposition of Recovered Assets,74813430.15
1/13/2015,OR# 8201395,10% Special Provision from remittance to CARP for PCGG legal fund,-,-7481343
1/13/2015,OR# 8201393,"Rental payments from Globe Telecom, Inc",Collateral Income,42592.13
2/25/2015,OR# 8201548,"Rental payments from Globe Telecom, Inc",Collateral Income,42592.13
3/11/2015,OR# 8202110,PCGG collection from Investment Unlimited Inc,Collateral Income,544676.52
3/11/2015,OR# 8202110,10% Special Provision from remittance to CARP for PCGG legal fund,-,-54467.65
3/11/2015,OR# 8202109,PCGG collection from Investment Unlimited Inc,Collateral Income,1659021.25
3/11/2015,OR# 8202109,10% Special Provision from remittance to CARP for PCGG legal fund,-,-165902.12
3/20/2015,OR# 8202164,"Rental payments from Globe Telecom, Inc",Collateral Income,42592.13
3/20/2015,OR# 8202163,"PCGG collection from IRC holdings claim with LBP involving properties in Silang and Carmona, Cavite",Collateral Income,1712486.76
3/20/2015,OR# 8202163,10% Special Provision from remittance to CARP for PCGG legal fund,-,-171248.67
4/22/2015,OR# 8202283,"Sale of bid documents for the ""Payanig sa Pasig"" property",Collateral Income,100000
4/22/2015,OR# 8202283,10% Special Provision from remittance to CARP for PCGG legal fund,-,-10000
4/23/2015,OR# 8202287,"Sale of bid documents for the ""Payanig sa Pasig"" property",Collateral Income,100000
4/23/2015,OR# 8202287,10% Special Provision from remittance to CARP for PCGG legal fund,-,-10000
4/27/2015,OR# 8202293,"Sale of bid documents for the ""Payanig sa Pasig"" property",Collateral Income,100000
4/27/2015,OR# 8202293,10% Special Provision from remittance to CARP for PCGG legal fund,-,-10000
4/27/2015,OR# 8202294,"Sale of bid documents for the ""Payanig sa Pasig"" property",Collateral Income,100000
4/27/2015,OR# 8202294,10% Special Provision from remittance to CARP for PCGG legal fund,-,-10000
4/27/2015,OR# 8202295,"Sale of bid documents for the ""Payanig sa Pasig"" property",Collateral Income,100000
4/27/2015,OR# 8202295,10% Special Provision from remittance to CARP for PCGG legal fund,-,-10000
4/29/2015,OR# 8202307,"Rental payments from Globe Telecom, Inc",Collateral Income,127776.39
5/4/2015,OR# 8202330,"Sale of bid documents for the ""Payanig sa Pasig"" property",Collateral Income,100000
5/4/2015,OR# 8202330,10% Special Provision from remittance to CARP for PCGG legal fund,-,-10000
5/4/2015,OR# 8202331,"Sale of bid documents for the ""Payanig sa Pasig"" property",Collateral Income,100000
5/4/2015,OR# 8202331,10% Special Provision from remittance to CARP for PCGG legal fund,-,-10000
5/5/2015,OR# 8202334,"Sale of bid documents for the ""Payanig sa Pasig"" property",Collateral Income,100000
5/5/2015,OR# 8202334,10% Special Provision from remittance to CARP for PCGG legal fund,-,-10000
6/11/2015,OR# 8202466,"Rental payments from Globe Telecom, Inc",Collateral Income,42592.13
6/11/2015,OR# 8202467,Collections from PCGG BBC DWAN,Collateral Income,53414.2
8/3/2015,OR# 8202133,"Rental payments from Globe Telecom, Inc",Collateral Income,42592.13
