Project Title,Development Partner,Implementing/ Executing Agency,Grant Amount   (in US$ M),"Utilization
(in US$ M)",Project Start Date,Project Closing Date,Utilization Rate (UR),Time Elapsed (TE),TE-UR (%),Sector,Location,Type,"Financial 
Status","Physical
Status",Last Update,As of Date
Strengthening Transparency and Accountability in the Road Subsector,ADB,DPWH,1,0.1,12/10/2009,12/31/2014,10.1,80.24,70.14,Infrastructure Development,Specific regions not identified,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Strengthening Institutions for an Improved Investment Climate,ADB,NEDA/DTI/DOF,1,0.8,9/26/2011,12/31/2014,80.3,69.38,-10.92,"Industry, Trade and Tourism",Specific regions not identified,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Capacity Development of Financial Regulators,ADB,DOF/BSP/SEC/IC,1,0.39,12/16/2011,12/31/2014,39,67.15,28.15,Governance and Institutions Development,NCR,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Climate Resilience and Green Growth in the Upper Marikina River Basin Protected Landscape - Demonstrating the Ecotown Framework,ADB,CCC,0.45,0.13,7/16/2012,12/31/2014,28.89,59.35,30.47,"Agriculture, Agrarian Reform and Natural Resources",,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Supporting Capacity Development for the Bureau of Internal Revenue,ADB,BIR,1,0,4/12/2013,12/31/2014,0,41.88,41.88,Governance and Institutions Development,,,Ongoing,,12/31/2013,6/30/2014
Rural Community-Based Renewable Energy Development in Mindanao,ADB,NEA,2,0.13,4/16/2011,2/28/2015,6.45,70.01,63.56,Infrastructure Development,Mindanao-wide,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Capacity Development for the Judiciary and the Justice Sector Agencies,ADB,SC,1,0.18,12/16/2011,2/28/2015,17.6,63.76,46.16,Governance and Institutions Development,Specific regions not identified,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Enhancing Access to Quality Early Childhood Education Services,ADB,DepEd,1.5,0.92,2/20/2012,3/23/2015,61.33,60.34,-1,Social Reform and Community Development,Specific regions not identified,Mixed,Ongoing,,12/31/2013,6/30/2014
Support for Post Typhoon Yolanda Disaster Needs Assessment and Response,ADB,GOP,0.73,0,11/20/2013,3/31/2015,0,8.27,8.27,"Agriculture, Agrarian Reform and Natural Resources",,,Ongoing,,12/31/2013,6/30/2014
Improving National Roads for Inclusive Growth in Mindanao Project,ADB,DPWH,1.2,0,12/16/2013,3/31/2015,0,3.19,3.19,Infrastructure Development,Mindanao (specific regions not identified),Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Local Government Finance and Fiscal Decentralization Reform Program,ADB,DILG,1,0,6/10/2013,6/30/2015,0,27.2,27.2,Governance and Institutions Development,,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Enhancing Social Protection through Community-driven Development (CDD) Approach,ADB,DSWD,1.03,0.35,7/4/2012,7/31/2015,33.85,48.57,14.72,Social Reform and Community Development,Nationwide,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Support to Local Government Revenue Generation and Land Administration Reforms,ADB,ADB PhCO (with LGUs as beneficiaries),2.25,1.19,5/19/2011,9/30/2015,53.07,60,6.93,Governance and Institutions Development,Specific regions not identified,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Strengthening Knowledge-Based Economic and Social Development,ADB,DOF,0.5,0.03,9/14/2012,11/21/2015,5,40.67,35.67,Social Reform and Community Development,Nationwide,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Promoting Partnerships and Innovation in Poor and Undeserved Communities,ADB,with GOP,1.5,0.42,4/9/2012,11/30/2015,28.07,47.44,19.38,Social Reform and Community Development,Specific regions not identified,Mixed,Ongoing,,12/31/2013,6/30/2014
Enhancing Capacities for the KALAHI CIDSS National Community Driven Development Project,ADB,DSWD,1.5,0,12/18/2013,12/31/2015,0,1.75,1.75,Social Reform and Community Development,"Nationwide 
(for revalidation)",Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Emergency Assistance and Early Recovery from Poor Municipalities Affected by Typhoon Yolanda,ADB,Not identified,20,0,12/31/2013,12/31/2015,0,0,0,Social Reform and Community Development,Eastern Visayas,,Ongoing,,12/31/2013,6/30/2014
Capacity Building for Microinsurance,ADB,DOF,1,0,12/11/2012,3/1/2016,0.4,32.74,32.34,"Industry, Trade and Tourism",,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Climate Resilience and Green Growth in Critical Watersheds,ADB,CCC (for validation),1.75,0,10/25/2013,7/15/2016,0,6.74,6.74,"Agriculture, Agrarian Reform and Natural Resources",,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Strengthening PPP in the Philippines,ADB,ADB PhCO (cofinanced with Canada and AusAID) (with GOP as beneficiaries),28.2,8.59,3/24/2011,7/31/2016,30.46,51.79,21.33,Governance and Institutions Development,Nationwide,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Agribusiness Development Assistance for Smallholders,ADB,DBP,2,0,12/11/2012,9/30/2016,0,27.72,27.72,"Agriculture, Agrarian Reform and Natural Resources","ARMM, IX",Grant,Ongoing,,12/31/2013,6/30/2014
Improving Competitiveness in Tourism,ADB,DOT,7.12,0.42,3/5/2013,2/28/2017,5.94,20.67,14.73,"Industry, Trade and Tourism",,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Employment Facilitation for Inclusive Growth,ADB,DOLE,5.59,0.02,3/5/2013,2/28/2017,0.29,20.67,20.39,Governance and Institutions Development,,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Market Transformation through Introduction of Energy-Efficient Vehicles,ADB,DOE,5,0,12/11/2012,6/30/2018,0,18.99,18.99,Infrastructure Development,,,Ongoing,,12/31/2013,6/30/2014
Integrated Natural Resources and Environmental Management Project,ADB,DENR,1.41,0,12/3/2012,12/31/2020,0,13.32,13.32,"Agriculture, Agrarian Reform and Natural Resources",,,Ongoing,,12/31/2013,6/30/2014
Integrated Natural Resources and Environmental Management Project,ADB,DENR,2.5,0,12/3/2012,12/31/2020,0,13.32,13.32,"Agriculture, Agrarian Reform and Natural Resources",,,Ongoing,,12/31/2013,6/30/2014
Improvement of the Flood Forecasting and Warning System for Magat Dam and Downstream Communities,NoRAD,DOST-PAGASA,1.9,4.34,1/3/2011,5/1/2014,228.58,90.03,-138.55,Infrastructure Development,II,Mixed,Closed,,12/31/2013,6/30/2014
The Project for Construction of Shelter Home for Women and Children ,GOJ,LGU ,0.1,0.1,3/1/2012,3/1/2014,100,91.78,-8.22,Social Reform and Community Development,IX,,Closed,,12/31/2013,6/30/2014
The Project for Construction of Agricultural Training Center in the Municipality of Tangkal ,GOJ,LGU ,0.1,0.1,3/1/2012,3/2/2014,100,91.66,-8.34,"Agriculture, Agrarian Reform and Natural Resources",X,,Closed,,12/31/2013,6/30/2014
The Project for the Construction of a School Building for Sharif Awliya ,GOJ,Sharif Awliya Academy,0.11,0.11,3/1/2012,3/3/2014,100,91.53,-8.47,Social Reform and Community Development,ARMM,,Closed,,12/31/2013,6/30/2014
"The Project for Construction of Primary Hospital in Dumingag, Zamboanga del Sur ",GOJ,LGU,0.12,0.12,3/1/2012,3/4/2014,100,91.41,-8.59,Social Reform and Community Development,IX,,Closed,,12/31/2013,6/30/2014
Philipines - Public Sector Linkages Program,Australia,,6.27,5.27,2/19/2004,12/31/2015,100,87.33,-12.67,Governance and Institutions Development,,,Ongoing,,6/30/2014,6/30/2014
APEC Whole of Government Support,Australia,,2.41,2.41,4/14/2005,6/30/2014,100,100,0,Governance and Institutions Development,,,Closed,,6/30/2014,6/30/2014
HIV/AIDS Asia Regional Program (HAARP),Australia,,0.02,0.02,7/21/2005,7/31/2015,100,89.19,-10.81,Social Reform and Community Development,,,ongoing,,6/30/2014,6/30/2014
Supporting Peace in Mindanao,Australia,,15.42,14.78,6/15/2005,6/30/2015,100,90.05,-9.95,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
Philippines :Disaster and Climate Risks Management,Australia,,46.86,36.84,6/2/2006,12/30/2017,100,69.76,-30.24,"Agriculture, Agrarian Reform and Natural Resources",,,ongoing,,6/30/2014,6/30/2014
Australian Scholarships Management,Australia,,0.03,0.06,7/1/2006,6/30/2017,100,72.72,-27.28,Social Reform and Community Development,,,ongoing,,6/30/2014,6/30/2014
Scholarship Systems Management,Australia,,0.67,0.69,7/1/2006,6/30/2014,100,100,0,Social Reform and Community Development,,,Closed,,6/30/2014,6/30/2014
Scholarships Programs,Australia,,15.04,15.04,7/1/2006,6/30/2018,100,66.66,-33.34,Social Reform and Community Development,,,ongoing,,6/30/2014,6/30/2014
Basic Education Sector Reform (SPHERE),Australia,,51.51,50.75,1/5/2007,6/30/2014,100,100,0,Social Reform and Community Development,,,closed,,6/30/2014,6/30/2014
Manila Program Support Unit,Australia,,8.6,8.6,7/1/2006,6/30/2015,100,88.89,-11.11,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
AADCP II,Australia,,0.8,0.8,4/11/2007,12/31/2019,100,56.75,-43.25,"Industry, Trade and Tourism",,,ongoing,,6/30/2014,6/30/2014
APEC Secretariat Support,Australia,,1.41,1.41,8/3/2007,12/30/2015,100,82.16,-17.84,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
Reducing Cost of Remittances - Pacific and Asia,Australia,,0.04,0.04,9/1/2007,12/30/2014,100,93.16,-6.84,"Industry, Trade and Tourism",,,ongoing,,6/30/2014,6/30/2014
Muslim and Indigenneous Peoples Educatiion Program,Australia,,19.99,16.64,7/1/2008,6/30/2014,100,100,0,Social Reform and Community Development,,,closed,,6/30/2014,6/30/2014
Basic Education Assistance for ARMM,Australia,,87.96,50.64,9/1/2007,6/30/2017,100,69.47,-30.53,Social Reform and Community Development,,,ongoing,,6/30/2014,6/30/2014
Provincial Road Management Facility (PRMF),Australia,,100,55.2,9/1/2008,6/30/2015,100,85.36,-14.64,Infrastructure Development,,,ongoing,,6/30/2014,6/30/2014
Philippines Post Advisory Support,Australia,,4.39,3.72,7/1/2008,6/30/2016,100,74.97,-25.03,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
Human Resource Organisational Development Facility,Australia,,73.83,26.65,3/23/2009,6/30/2019,100,51.32,-48.68,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
Philippine social Protection ,Australia,,15.49,23.85,2/3/2009,6/30/2016,100,72.97,-27.03,Social Reform and Community Development,,,ongoing,,6/30/2014,6/30/2014
Disability Inclusive Development,Australia,,1.06,1.06,1/1/2009,12/31/2016,100,68.68,-31.32,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
Australia-WB Philippines Development Fund,Australia,,50,37.12,6/1/2009,6/30/2016,100,71.73,-28.27,Social Reform and Community Development,,,ongoing,,6/30/2014,6/30/2014
Coral Triangle Initiative-Scientific Research,Australia,,0.33,0.33,6/3/2009,6/30/2016,100,71.71,-28.29,"Agriculture, Agrarian Reform and Natural Resources",,,ongoing,,6/30/2014,6/30/2014
Water and Sanitation Initiative Global Programming,Australia,,1.17,1.17,6/10/2009,6/30/2016,100,71.63,-28.37,"Agriculture, Agrarian Reform and Natural Resources",,,ongoing,,6/30/2014,6/30/2014
"Partnerships, Research and Advocacy",Australia,,0,0,8/10/2009,6/30/2014,100,100,0,Governance and Institutions Development,,,Closed,,6/30/2014,6/30/2014
ANCP Partnership Agreements,Australia,,3.11,3.11,7/1/2006,12/20/2014,100,94.41,-5.59,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
Philippines Human Rights Initiatives,Australia,,2.73,2.23,1/15/2010,6/30/2014,100,100,0,Governance and Institutions Development,,,Closed,,6/30/2014,6/30/2014
Building Disaster Resilience of Manila Communities,Australia,,28.2,12.33,1/14/2010,6/30/2019,100,47.13,-52.87,"Agriculture, Agrarian Reform and Natural Resources",,,ongoing,,6/30/2014,6/30/2014
Philippine Research Initiative,Australia,,12.43,4.34,1/1/2010,6/30/2016,100,69.18,-30.82,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
Basic Eduction Sector Transformation (BEST) Program,Australia,,157.22,13.07,7/1/2010,6/30/2019,100,44.43,-55.57,Social Reform and Community Development,,,ongoing,,6/30/2014,6/30/2014
ASEAN and EAS Whole of Government Support (PSLP),Australia,,0.62,0.62,3/23/2010,12/31/2015,100,73.97,-26.03,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
UN Maternal and Neonatal Mortality Reduction,Australia,,20.38,20.08,5/30/2010,6/30/2016,100,67.12,-32.88,Social Reform and Community Development,,,ongoing,,6/30/2014,6/30/2014
ALA Scholarships 2011 Intake,Australia,,0.68,0.68,7/1/2010,6/30/2017,100,57.12,-42.88,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
Enhancing Education - Scholarships 2011 Intake,Australia,,1.72,1.72,7/1/2010,6/30/2017,100,57.12,-42.88,Social Reform and Community Development,,,ongoing,,6/30/2014,6/30/2014
ACIAR Long term Awards - OASIS,Australia,,0,0,1/1/2010,6/30/2023,100,33.3,-66.7,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
Humanitarian Partnership Agreements 2011-2014,Australia,,0.03,0.03,5/4/2009,6/30/2014,100,100,0,Governance and Institutions Development,,,Closed,,6/30/2014,6/30/2014
Stop Transboundary Animal Disease &Zoonoses,Australia,,0.85,0.85,5/20/2011,6/30/2016,100,60.87,-39.13,"Agriculture, Agrarian Reform and Natural Resources",,,ongoing,,6/30/2014,6/30/2014
Strengthening Public Private Partnership Program,Australia,,26.68,26.07,3/22/2011,6/30/2017,100,52.18,-47.82,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
AusAID The Asia Foundation Partnership Philippines,Australia,,33.93,18.65,7/1/2011,6/30/2017,100,49.98,-50.02,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
Australian Development Awards -2012 Intake,Australia,,11.21,11.21,7/1/2011,6/30/2020,100,33.31,-66.69,Social Reform and Community Development,,,ongoing,,6/30/2014,6/30/2014
Public Financial Management Program,Australia,,30,16.29,7/1/2011,6/30/2017,100,49.98,-50.02,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
AVID - Australian Volunteers International,Australia,,1.62,1.62,7/1/2011,6/30/2015,100,75,-25,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
AVID - Austraining International,Australia,,1.69,2.62,7/1/2011,6/30/2015,100,75,-25,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
AVID - Australian Red Cross,Australia,,0.67,0.94,7/1/2011,6/30/2015,100,75,-25,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
Community-based Climate Change Action Grants,Australia,,4.51,4.51,1/12/2011,2/28/2015,100,83.89,-16.11,"Agriculture, Agrarian Reform and Natural Resources",,,ongoing,,6/30/2014,6/30/2014
AVID Web Portal 2011-2013,Australia,,0,0,8/26/2011,6/30/2014,100,100,0,Governance and Institutions Development,,,Closed,,6/30/2014,6/30/2014
International Mining for Development Centre,Australia,,0.57,0.57,8/10/2011,6/30/2015,100,74.3,-25.7,"Agriculture, Agrarian Reform and Natural Resources",,,ongoing,,6/30/2014,6/30/2014
Future New Initiatives (ANCP),Australia,,0.01,0.01,9/27/2011,6/30/2015,100,73.4,-26.6,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
AVID Program - Financial Analysis,Australia,,0.03,0.03,7/19/2011,2/28/2016,100,63.92,-36.08,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
AVID - Policy Development,Australia,,0.01,0.01,7/16/2011,6/30/2014,100,100,0,Governance and Institutions Development,,,Closed,,6/30/2014,6/30/2014
Classroom Construction Initiative,Australia,,25.22,24.03,12/15/2011,6/30/2014,100,100,0,Social Reform and Community Development,,,Closed,,6/30/2014,6/30/2014
International Seminar Support Scheme Phase III,Australia,,0.01,0.01,7/1/2012,6/30/2015,100,66.64,-33.36,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
Mekong regional program implementation support,Australia,,0.04,0.04,3/18/2012,6/30/2017,100,43.21,-56.79,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
Humanitarian Protection,Australia,,0,0,4/1/2012,2/28/2014,100,117.48,17.48,Governance and Institutions Development,,,Closed,,6/30/2014,6/30/2014
EAS Disaster Management: Support to EMA,Australia,,0.18,0.18,3/1/2012,6/30/2015,100,69.98,-30.02,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
Phils. Subnational Governance Activities (Design),Australia,,0.6,0.15,3/2/2012,6/30/2015,100,69.96,-30.04,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
AVID - Monitoring and Evaluation,Australia,,0,0,4/16/2012,6/30/2014,100,100,0,Governance and Institutions Development,,,Closed,,6/30/2014,6/30/2014
AusAID's Australia Awards - 2013 Intake,Australia,,8.93,8.93,7/1/2012,6/30/2020,100,24.96,-75.04,Social Reform and Community Development,,,ongoing,,6/30/2014,6/30/2014
MTV EXIT Phase IV,Australia,,0.01,0.01,12/14/2012,9/30/2014,100,85.95,-14.05,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
AVID Program Security Consultancy Services,Australia,,0.01,0.01,5/14/2012,6/30/2014,100,100,0,Governance and Institutions Development,,,Closed,,6/30/2014,6/30/2014
Humanitarian Capability and Training 2012-2014,Australia,,0.01,0.03,7/1/2012,6/30/2014,100,100,0,Governance and Institutions Development,,,Closed,,6/30/2014,6/30/2014
AAPTIP Australia Asia Program to combat TIP,Australia,,0.31,0.31,7/1/2013,6/30/2018,100,19.95,-80.05,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
Evaluation Capacity Building Project (Philippines),Australia,,0.3,0.28,8/6/2012,3/31/2014,100,115.12,15.12,Governance and Institutions Development,,,Closed,,6/30/2014,6/30/2014
Human Rights Grants Scheme (HRGS) 2012-13,Australia,,0.07,0.07,12/2/2012,6/30/2015,100,61.17,-38.83,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
AusAID Development Research Awards Scheme 2012,Australia,,0.66,0.66,2/1/2013,6/30/2016,100,41.29,-58.71,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
Emergency Response Philippines Typhoon Bopha 2012,Australia,,10,10,12/10/2012,6/30/2014,100,100,0,"Agriculture, Agrarian Reform and Natural Resources",,,Closed,,6/30/2014,6/30/2014
"Philippines - Typhoon Bopha, Team Leader",Australia,,0.2,0.17,5/1/2013,6/30/2014,100,100,0,"Agriculture, Agrarian Reform and Natural Resources",,,Closed,,6/30/2014,6/30/2014
AusAID's Australia Awards - 2014 Intake,Australia,,2.24,2.24,7/1/2013,6/30/2021,100,12.46,-87.54,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
Direct Aid Program (DAP) 2013-14,Australia,,0.07,0.07,7/1/2013,6/30/2014,100,100,0,Governance and Institutions Development,,,Closed,,6/30/2014,6/30/2014
Political Economy Analysis for Improved Policy,Australia,,0.05,0.05,10/4/2013,2/28/2014,100,182.99,82.99,Governance and Institutions Development,,,Closed,,6/30/2014,6/30/2014
Philippines - Independent Commission on Policing,Australia,,0.28,0.11,10/5/2013,6/30/2015,100,42.34,-57.66,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
OECD Senior Budget Officials Network,Australia,,0.28,0.02,10/1/2013,12/31/2016,100,22.91,-77.09,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
Philippines Typhoon Haiyan Response,Australia,,40,38.7,11/13/2013,11/12/2014,100,62.91,-37.09,"Agriculture, Agrarian Reform and Natural Resources",,,ongoing,,6/30/2014,6/30/2014
Philippines - ACC support to the UNDP,Australia,,0.39,0.38,12/2/2013,7/31/2014,100,87.14,-12.86,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
Peacebuilding in conflict afflicted Mindanao,Australia,,13.75,1.66,4/1/2014,6/30/2017,100,7.59,-92.41,Governance and Institutions Development,,,Ongoing,,6/30/2014,6/30/2014
Philippines - Support UNDP Typhoon Haiyan Recovery,Australia,,0.39,0.08,4/8/2014,6/30/2015,100,18.53,-81.47,"Agriculture, Agrarian Reform and Natural Resources",,,Ongoing,,6/30/2014,6/30/2014
Preventing Exploitation of Migrant Women in ASEAN,Australia,,0.4,0.4,5/20/2014,3/30/2017,100,3.92,-96.08,Social Reform and Community Development,,,Ongoing,,6/30/2014,6/30/2014
APEC Business Travel Card system hosting,Australia,,0.12,0.12,10/1/2006,12/31/2015,100,83.75,-16.25,"Industry, Trade and Tourism",,,ongoing,,6/30/2014,6/30/2014
Improved Domestic profitability and export competitiveness of selected frut value chains in the sourhtern Philippines and Australia,Australia,,3.69,3.69,9/23/2011,unknown,100,NA,NA,"Agriculture, Agrarian Reform and Natural Resources",,,ongoing,,6/30/2014,6/30/2014
Enhanced profitability of selected vegetable value chains in the Southern Philippines and Australia,Australia,,4.1,4.1,9/23/2011,unknown,100,NA,NA,"Agriculture, Agrarian Reform and Natural Resources",,,ongoing,,6/30/2014,6/30/2014
Aviation Security Enhancements - Improving International Aviation Security,Australia,,0.23,0.23,1/1/2007,6/30/2017,100,71.41,-28.59,Infrastructure Development,,,ongoing,,6/30/2014,6/30/2014
Contol of respiratory diseases of Pigs - Philippines,Australia,,1.28,1.28,1/7/2010,6/30/2014,100,100,0,"Agriculture, Agrarian Reform and Natural Resources",,,Closed,,6/30/2014,6/30/2014
Improved Seaweed Culture and Postharvest Waste Utilisation in South-East Asia,Australia,,0.03,0.03,6/1/2010,5/31/2015,100,81.64,-18.36,"Agriculture, Agrarian Reform and Natural Resources",,,ongoing,,6/30/2014,6/30/2014
Sloping lands - Philippines,Australia,,1.15,1.15,5/1/2011,10/31/2015,100,70.32,-29.68,"Agriculture, Agrarian Reform and Natural Resources",,,ongoing,,6/30/2014,6/30/2014
Workforce Development in Other Countries,Australia,,0.06,0.06,7/1/2011,6/30/2016,100,59.97,-40.03,Social Reform and Community Development,,,ongoing,,6/30/2014,6/30/2014
Rotary Oceania Medical Aid for Children,Australia,,0.13,0.13,11/1/2010,6/30/2014,100,100,0,Social Reform and Community Development,,,Closed,,6/30/2014,6/30/2014
Improved Animal Welfare Program,Australia,,0.25,0.25,10/21/2011,6/30/2015,100,72.92,-27.08,"Agriculture, Agrarian Reform and Natural Resources",,,ongoing,,6/30/2014,6/30/2014
Towards sustainable control and elimination of schistosomiasis in the Philippines,Australia,,0.37,0.37,1/25/2012,unknown,100,NA,NA,Social Reform and Community Development,,,ongoing,,6/30/2014,6/30/2014
Watershed rehabiltation systems - Philippines,Australia,,1.42,1.42,3/1/2012,3/31/2017,100,45.85,-54.15,"Agriculture, Agrarian Reform and Natural Resources",,,ongoing,,6/30/2014,6/30/2014
Vegetables Integrated Management: Philippines,Australia,,0.68,0.68,3/1/2013,6/30/2017,100,30.72,-69.28,"Agriculture, Agrarian Reform and Natural Resources",,,ongoing,,6/30/2014,6/30/2014
Operation Philippines Assist,Australia,,1.96,1.96,11/15/2013,1/31/2014,100,294.81,194.81,Governance and Institutions Development,,,Closed,,6/30/2014,6/30/2014
Australia Award Endeavor Scholarships and Fellowships (formerly known as Australian Scholarships),Australia,,0.93,0.93,1/1/2013,12/31/2015,100,49.82,-50.18,Governance and Institutions Development,,,ongoing,,6/30/2014,6/30/2014
Securing Radioactive Sources,Australia,,0.02,0.02,7/1/2013,6/30/2014,100,100,0,Infrastructure Development,,,Closed,,6/30/2014,6/30/2014
Agricultural Exension in Western Mindanao,Australia,,0.15,0.15,10/1/2013,9/30/2017,100,18.63,-81.37,"Agriculture, Agrarian Reform and Natural Resources",,,ongoing,,6/30/2014,6/30/2014
Root disease -bananas Philippines,Australia,,0.09,0.09,11/1/2013,4/30/2014,100,133.89,33.89,"Agriculture, Agrarian Reform and Natural Resources",,,Closed,,6/30/2014,6/30/2014
Italian Assistance to the Agrarian Reform Community Development Support Program ,Italy,Development and Cooperation Office of the Italian Embassy,1.77,0.78,11/22/2011,12/3/2017,44.22,43.17,-1.05,"Agriculture, Agrarian Reform and Natural Resources",Mindanao - ARMM and Region XII,Technical Cooperation,Ongoing,Behind schedule,6/30/2014,6/30/2014
Debt Swap,Italy,Department of Financee,3.84,3.84,10/24/2012,12/31/2016,100,40.16,-59.84,"Agriculture, Agrarian Reform and Natural Resources","Regions: CAR, IV-B, V, VIII, XI,  X",Others,Ongoing,On schedule,6/30/2014,6/30/2014
Institutional Strengthening of the Commission on Human Rights in the Philippines,Spain,CHR,3.74,2.38,12/1/2011,12/31/2014,63.64,83.66,20.02,Governance and Institutions Development,National,Technical Cooperation,Ongoing,Behind schedule,6/30/2014,6/30/2014
Mainstreaming Peace and Development in Local Governance in the Philippines,Spain,OPAPP,2.04,1.36,12/1/2011,8/31/2015,66.67,68.81,2.14,Governance and Institutions Development,National,Technical Cooperation,Ongoing,Behind schedule,6/30/2014,6/30/2014
Institutional Strengthening of Local and National Governance and Economic Empowerment and Human Rights with a Gender Perspective: Implementation of the Magna Carta for Women,Spain,PCW,2.04,2.04,12/1/2011,12/31/2014,100,83.66,-16.34,Governance and Institutions Development,National,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
"Building Capacity of Local Governments for Poverty Reduction, Local Governance and Community Driven Development",Spain,DSWD,0.29,0.29,3/1/2013,12/31/2014,100,72.54,-27.46,Social Reform and Community Development,"Region V, XIII, Mindanao",Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
Health Sector Reform Agenda / SWAp - Phase III,Spain,DoH-DBM-LGU,4.08,4.08,3/1/2011,3/31/2014,100,108.08,8.08,Social Reform and Community Development,"Region V, XIII, Mindanao",Technical Cooperation,Ongoing,Completed,6/30/2014,6/30/2014
Health Sector Reform Agenda / SWAp - Phase IV,Spain,DoH-DBM-LGU,3.4,3.4,12/1/2011,12/31/2014,100,83.66,-16.34,Social Reform and Community Development,"Region V, XIII, Mindanao",Technical Cooperation,Ongoing,Completed,6/30/2014,6/30/2014
Increased Educational Opportunities for Filipinos by Supporting the Department of Education to reintroduce Spanish at the Secondary School,Spain,DepEd,0.24,0.24,1/1/2012,3/31/2014,100,111.1,11.1,Social Reform and Community Development,"NCR, Region V, Mindanao",Technical Cooperation,Closed,Completed,6/30/2014,6/30/2014
Intramuros Escuela Taller - Phase V,Spain,NCCA,0.39,0.39,1/1/2013,2/28/2014,100,128.84,28.84,Social Reform and Community Development,NCR ,Technical Cooperation,Closed,Completed,6/30/2014,6/30/2014
Support to the social economic development of communities located in areas of Spanish Cooperation in the Philippines ,Spain,Acción Contra el Hambre Foundation,4.35,4.35,8/1/2010,8/31/2014,100,95.84,-4.16,Social Reform and Community Development,"Region V, XIII, Mindanao",Technical Cooperation,Closed,Completed,6/30/2014,6/30/2014
Promotion of economic development and income generation through the inclusion in the market of small producers from rural and coastal communities affected by the armed conflict in areas of the Spanish Cooperation in the Philippines  ,Spain,CODESPA Foundation,2.18,2.18,9/1/2010,9/30/2014,100,93.83,-6.17,Social Reform and Community Development,"Region V, XIII, Mindanao",Technical Cooperation,Ongoing,Completed,6/30/2014,6/30/2014
"Improved service in primary health care, water and sanitation, with 40% component for preparation in response to disasters in communities in the areas of Spanish Cooperation in the Philippines ",Spain,Spanish Red Cross,2.18,2.18,9/1/2010,9/30/2014,100,93.83,-6.17,Social Reform and Community Development,"Region V, XIII, Mindanao",Technical Cooperation,Ongoing,Completed,6/30/2014,6/30/2014
Support to the improvement of services for sanitation through human resource trainings in areas of Spanish Cooperation in the Philippines ,Spain,Religiosos para la Salud Foundation,2.72,2.72,9/1/2010,9/30/2014,100,93.83,-6.17,Social Reform and Community Development,"Region V, XIII, Mindanao",Technical Cooperation,Ongoing,Completed,6/30/2014,6/30/2014
