,In-Country Training Program Phase II: Empowering Farmers through Capacity Development in O&M System and Technology in ARCs,JICA,,,0.00,0.03,0.03,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agriculture and Rural Development,JICA,,,0.00,0.08,0.08,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Improvement of Aurora Memorial Hospital,JICA,,,0.00,0.17,0.17,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recovery Project for durg addicts in poverty group in Manila,JICA,,,0.00,0.05,0.05,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacity Enhancement of Philippine Customs,JICA,,,0.00,0.03,0.03,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ODA loans expert on Solid Waste Management for Boracay Island and Municipality of Malay in the Philippines,JICA,,,0.00,0.17,0.17,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Development of Strategic Regional Network of Institutions for Integrated Coastal Ecosystem Conservation and Adaptive Management in Response to Local and Global Environmental Change,JICA,,,0.00,0.05,0.05,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assistance for Accelerating initial process of two-step loans commenced in 2009,JICA,,,0.00,0.06,0.06,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preparatory Survery on te Programme Grant Aid for Environment climate Change (Water Technology),JICA,,,0.00,0.35,0.35,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Supplemental Institutional Strengthening Assistance for the Social Reform Related Feeder Ports Development Project,JICA,,,0.00,0.05,0.05,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Human Resource Development (Competency Development Program),JICA,,,0.00,0.14,0.14,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Project for Income Generation through Development and Management of an Agroforestry Farm in Barangay Catablingin, General Nakar, Quezon",JICA,,,0.00,0.03,0.03,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Technical Support for Road Asset Management Project of the Philippines,JICA,,,0.00,0.03,0.03,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"The Rabies Prevention and Control Project in Marinduque, Catanduanes, Cebu and Camiguin",JICA,,,0.00,0.06,0.06,,,,Social Reform and Community Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Project for the Bridge Construction for Expanded ARC Development,JICA,,,0.00,0.90,0.90,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Project for Flood Disaster Mitigation in Camiguin island,JICA,DPWH,,0.00,0.41,0.41,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Safe Motherhood Midwifery Course for Asia,JICA,,,0.00,0.00,0.00,,,,Social Reform and Community Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,The Establishment of the Seafood Processing Facility in Dagupan City,KOICA,DA,LGU of Dagupan,0.00,2.20,0.00,2008-2010,17-Jun-08,31-Dec-10,"Agriculture, Environment and Agrarian Reform",I,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,The Development of the Lung Center of the Philippines as the National Referral Center on Multi-Drug Resistant Tuberculosis,KOICA,DOH,Lung Center of the Philippines,2.67,2.90,0.00,2008-2010,09-Jul-08,31-Dec-10,Social Reform and Community Development,NCR,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,The Development of the Master Plan and Pilot System of a National Public Key Infrastructure in the Philippines,KOICA,DTI,NCC,0.00,2.30,0.00,2008-2009,30-Jul-08,31-Dec-10,"Industry, Trade and Tourism",Nationwide,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Establishment of Modern Integrated Rice Milling and Processing Complexes in the Four Provinces in the Philippines,KOICA,,,0.00,13.00,0.00,,01-Jan-09,31-Dec-12,"Agriculture, Environment and Agrarian Reform",Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feasibility Study on the Establishment of Multi-Industry Clusters (MIC) in the Philippines,KOICA,DA,,0.00,0.00,0.00,,2010,2011,"Agriculture, Environment and Agrarian Reform",Multi-Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Ozone Depleting Substances (ODS) Phase-Out,MLF,DENR,,0.00,0.00,0.00,,,,"Agriculture, Environment and Agrarian Reform",Unspecified,,ongoing,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Improvement of the Flood Forecasting and Warning System for Magat Dam and Downstream Communities,NORAD,DOST/PAGASA,DOST/PAGASA,10.70,0.00,0.00,2009-2011,,,"Agriculture, Environment and Agrarian Reform",,,ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Camiguin Coastal Resource Management Project (CCRMP),NZAID,DENR,,2.82,1.64,0.00,,01-Apr-07,30-Apr-12,"Agriculture, Environment and Agrarian Reform",X,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Enhancing NRM through Enterprise Development in the Philippines,NZAID,DENR,,0.00,0.00,0.00,,01-Jul-08,31-Jul-11,"Agriculture, Environment and Agrarian Reform",Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,LGU Management Training Programme,NZAID,NEDA,NRO CARAGA,0.74,0.53,0.00,,Jun-10,Nov-10,Governance and Institutions Development,CARAGA,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Small Project Scheme,NZAID,,,0.00,0.00,0.00,,,,"Industry, Trade and Tourism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Development and Publication of Case Studies in Support of the Implementation of Indigenous Peoples Act/UNDP,NZAID,,,0.00,0.00,0.00,,,,Social Reform and Community Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contribution to the Child Friendly Movement in Mt. Province/UNICEF,NZAID,,,0.00,0.00,0.00,,,,Social Reform and Community Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New Zealand Development Scholarship,NZAID,,,0.00,0.00,0.00,,,,Social Reform and Community Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contribution to the Action for Conflict transformation (ACT) for Peace Programme/UNDP,NZAID,,,0.00,0.00,0.00,,,,Social Reform and Community Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"Agriculture, Social Support, and Environment Facilities Project",Spain (AECID),NEDA,NRO V,0.70,0.84,0.03,03/06-03/08,31-Mar-06,31-Aug-09,"Agriculture, Environment and Agrarian Reform",V,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,"Comprehensive Pilot Intervention Plan against Gender Violence in Caraga, Phase 1",Spain (AECID),DSWD,,0.30,0.41,0.00,,28-Feb-08,31-Aug-09,Social Reform and Community Development,XIII,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Poder Y Prosperidad Dela Comunidad (Cycle 4),Spain (AECID),DSWD,,1.00,1.36,0.00,,09-Apr-08,30-Jun-09,Social Reform and Community Development,Multi-Regional,"V, XIII",closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,"Sustainable Management of Coastal Resources in Bicol and Caraga Region, Phase 2",Spain (AECID),DA,,1.13,1.63,0.00,,01-Nov-07,30-Nov-09,"Agriculture, Environment and Agrarian Reform",Multi-Regional,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Strengthening the Agro-Industrial Sector in Bicol and Caraga (SAIS-BC),Spain (AECID),DA,"PCA, FIDA",3.00,3.98,0.00,,01-Jan-07,31-Jul-10,"Agriculture, Environment and Agrarian Reform",Multi-Regional,"V, XIII",ongoing,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Strengthening the Philippines Institutional Capacity to Adapt to Climate Change,Spain (AECID),DENR,,0.00,0.00,0.00,,01-Aug-08,31-Jul-12,"Agriculture, Environment and Agrarian Reform",Nationwide,,ongoing,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,"Improvement of the Quality of Primary Education in Bicol and CARAGA Regions in the Republic of the Philippines, Phase 2",Spain (AECID),DepEd,,1.06,1.44,0.00,,01-Oct-07,31-Aug-09,Social Reform and Community Development,Multi-Regional,"V, XIII",closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,"Sustainable Management of Coastal Resources in Bicol and Caraga, Phase  3",Spain (AECID),DA,,1.34,1.68,0.00,10/1/2008-11/30/2009,01-Oct-08,30-Nov-09,"Agriculture, Environment and Agrarian Reform",Multi-Regional,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,"Strengthening the Agro-industrial sector in Bicol and Caraga, Phase 2",Spain (AECID),DA,,1.00,1.06,0.00,11/1/2007-6/30/2009,01-Nov-07,30-Jun-09,"Agriculture, Environment and Agrarian Reform",Multi-Regional,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,"Strengthening the Agro-industrial sector in Bicol and Caraga, Phase 3",Spain (AECID),DA,,1.00,1.06,0.00,10/1/2008-11/30/2009,01-Oct-08,30-Nov-09,"Agriculture, Environment and Agrarian Reform",Multi-Regional,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,"Improvement of the Quality of Primary Education in the Bicol and Caraga Regions of the Republic of the Philippines, Phase  3",Spain (AECID),DepEd,,0.91,1.24,0.00,10/1/2008-12/31/2010,01-Oct-08,31-Dec-10,Social Reform and Community Development,Multi-Regional,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,"Comprehensive Pilot Intervention Plan Against Gender Violence in CARAGA, Phase 2",Spain (AECID),DSWD,,0.30,0.41,0.00,3/1/2008-8/31/2010,01-Mar-08,31-Aug-10,Social Reform and Community Development,CARAGA,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,"Improved Occupational Training  through the Creation of a School Workshop in the Intramuros Area, Manila, Philippines, Phase 1",Spain (AECID),Others,,0.30,0.41,0.00,12/1/2007-10/31/2009,01-Dec-07,31-Oct-09,Social Reform and Community Development,NCR,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,"Improved Occupational Training  through the Creation of a School Workshop in the Intramuros Area, Manila, Philippines, Phase 2",Spain (AECID),Others,,0.75,1.02,0.00,11/1/2008-2/28/2010,01-Nov-08,28-Feb-10,Social Reform and Community Development,NCR,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,"Strengthening  Local Governments in the Philippines, Phase 1",Spain (AECID),LGUs,,0.44,0.60,0.00,12/1/2007-8/31/2009,01-Dec-07,31-Aug-09,Governance and Institutions Development,Nationwide,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,"Strengthening  Local Governments in the Philippines, Phase 2",Spain (AECID),LGUs,,0.56,0.76,0.00,10/1/2008-1/31/2010,01-Oct-08,31-Jan-10,Governance and Institutions Development,Nationwide,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Ecological Solid Waste Management Project,Spain (AECID),LGU,,1.50,2.04,0.00,11/1/2008-8/31/2010,01-Nov-08,31-Aug-10,"Agriculture, Environment and Agrarian Reform",V,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,"Health Sector Reform Agenda/Sector Development Approach in Health, phase 1 (budget support)",Spain (AECID),DOH,,3.00,4.09,0.00,11/1/2008-10/31/2010,01-Nov-08,31-Oct-10,Social Reform and Community Development,Nationwide,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,Budgetary Assistance in Health SWAP Phase 2,Spain (AECID),DOH,DOH,3.00,2.15,2.15,,,,Social Reform and Community Development,Unspecified,,,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,"Poder 6 - Improving Access to Basic Community Services in Regions 3,5 and 13 in the Philippines",Spain (AECID),DSWD,DSWD,2.00,1.43,1.43,,,,Social Reform and Community Development,Multi-Regional,"III,V,XIII",,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Strengthening Local Governments in the Philippines Phase 3,Spain (AECID),DILG-LGA,DILG-LGA,1.60,1.14,1.14,,,,Governance and Institutions Development,Unspecified,,,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Poder 5 - Improving Access to Health and Basic Education Services to the Communities,Spain (AECID),DSWD,DSWD,1.50,1.07,1.07,,,,Social Reform and Community Development,Unspecified,,,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,"Comprehensive Pilot Intervention Plan Against Gender Violence in Caraga, Philippines Phase 3",Spain (AECID),DSWD,DSWD,0.30,0.21,0.21,,,,Social Reform and Community Development,Unspecified,,,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,VENTURA DE LOS REYES - improving the professional conditions of Filipino journalists through the use of the Spanish language,Spain (AECID),Fundacion Kapatiran Sandugo,Fundacion Kapatiran Sandugo,0.30,0.21,0.30,,,,Social Reform and Community Development,Unspecified,,,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,"Sustainable management of urban solid waste in the city of Legazpi, Philippines Phase II",Spain (AECID),Local Government of Legaspi,Local Government of Legaspi,0.20,0.01,0.00,,,,Infrastructure Development,V,V,,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,Early Recovery Program for Conflict-affected Areas in Mindanao,Spain (AECID),UNDP and MEDCO,UNDP and MEDCO,1.00,0.71,0.71,,,,Social Reform and Community Development,Unspecified,Unspecified,,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Strengthening of the Response Capacity of Local Governments affected by typhoon Parma (under PDNA early recovery assessment),Spain (AECID),DILG,DILG,2.00,1.43,1.43,,,,Governance and Institutions Development,Unspecified,Unspecified,,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,Flash Appeal-brought about typhoons Ketsana and Parma,Spain (AECID),FAO,FAO,0.62,0.44,0.44,,,,Social Reform and Community Development,Unspecified,Unspecified,,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,"Rehabilitation of the Emergency School Shelters in Pambuhan, Garchitorena, Camarines Sur",Spain (AECID),Municipality of Garchitorena,Municipality of Garchitorena,0.58,0.41,0.41,,,,Infrastructure Development,V,V,,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,"WASH, Nutrition and Education Emergency Interventions for Internally Displaced People in Mindanao",Spain (AECID),UNICEF,UNICEF,0.55,0.39,0.39,,,,Social Reform and Community Development,Unspecified,Unspecified,,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,Continuing Emergency Support and Assistance to Mobile and Vulnerable Populations in Mindanao,Spain (AECID),IOM,IOM,0.50,0.35,0.35,,,,Social Reform and Community Development,Unspecified,Unspecified,,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,"Emergency non-food items brought by chartered plane containing Water Treatment Machines, bladders, hygienic kits, tarpaulins, shelter kits intended for Ketsana victims",Spain (AECID),"Spanish National Red Cross, Actions Against Hunger",Siervas de Maria and DSWD,0.50,0.35,0.35,,,,Social Reform and Community Development,Unspecified,Unspecified,,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,Aggregated Strengthening of the Albay Health Emergency Management Program Phase 2,Spain (AECID),Provincial Government of Albay,Provincial Government of Albay,0.42,0.30,0.30,,,,Social Reform and Community Development,V,V,,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,"Non-food items brought by chartered plane containing Water Treatment Machines, bladders, hygienic kits, tarpaulins, shelter kits intended for Ketsana victims",Spain (AECID),Spanish National Red Cross,,0.25,0.17,0.17,,,,Social Reform and Community Development,,,,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,"Emergency Non-food items brought by chartered plane containing hygienix kits, tents, tarpaulins, cooking kits, intended for Parma victims",Spain (AECID),DSWD,,0.20,0.14,0.14,,,,Social Reform and Community Development,Unspecified,,ongoing,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,Non-food items: Water and sanitation materiALS intended for victims of typhoons Ketsana and Parma,Spain (AECID),Others,Action againts Hunger,0.15,0.10,0.10,,,,Social Reform and Community Development,Unspecified,,ongoing,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,"Food items: pork and beans, sardines and noodles intended for victims of typhoons Ketsana and Parma",Spain (AECID),DSWD,,0.15,0.01,0.01,,,,Social Reform and Community Development,Unspecified,,ongoing,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,Additional funding for the Rehabilitation of the Emergency School Shelter in Guinobotan,Spain (AECID),LGU,Provincial Government of Albay,0.15,0.04,0.04,,,,Social Reform and Community Development,Unspecified,,ongoing,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,"Food items: Rice, corned beef, sardines, mongo, salt, sugar, cooking oil and water intended for victims of typhoons Ketsana and Parma",Spain (AECID),Others,Spanish National Red Cross,0.06,0.04,0.04,,,,Social Reform and Community Development,Unspecified,,ongoing,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,Additional funding for the Rehabilitation of the Emergency School Shelter in Camalig,Spain (AECID),LGU,Provincial Government of Albay,0.04,0.02,0.02,,,,Social Reform and Community Development,Unspecified,,ongoing,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,Additional funding for the Rehabilitation and Strengthening of the Albay Public Safety and Emergency Management oFfice,Spain (AECID),LGU,Provincial Government of Albay,0.02,0.01,0.01,,,,Social Reform and Community Development,Unspecified,,ongoing,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,"Food items: Rice, noodles, sardines, corned beef, cooking oil and water intended for victims of Ketsana and Parma",Spain (AECID),Others,Transform Asia International,0.02,0.00,0.00,,,,Social Reform and Community Development,Unspecified,,ongoing,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,Samar Island Biodiversity Project,UNDP,DENR,PAWB,0.00,5.76,6.12,2000-2008,31-Jan-00,30-Jun-11,"Agriculture, Environment and Agrarian Reform",VIII,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Hazard Mapping and Assessment for Community-Based Disaster Risk Management (READY II) -Mainstreaming DRR,UNDP,OCD-NDCC,,0.00,1.96,1.88,2007,31-Jan-06,31-Dec-10,"Agriculture, Environment and Agrarian Reform",Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,Philippine Efficient Lighting Market Transformation Project,UNDP,DOE,,0.00,3.13,2.73,05-09,01-Dec-04,31-Dec-10,Infrastructure Development,Nationwide,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,Supporting PEMSEA Resource Facility,UNDP,Others,UNDP,0.00,1.78,1.11,2007-2008,31-Jan-07,31-Dec-11,"Agriculture, Environment and Agrarian Reform",Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Integrating Disaster Risk Reduction and Climate Change Adaptation in Local Development Planning and Decision Making Processes,UNDP,NEDA,,0.00,2.02,0.16,,01-Jan-09,31-Dec-11,Governance and Institutions Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,"Leadership, HIV and AIDS, and Human Development",UNDP,Various Agencies,,0.00,1.17,0.28,,01-May-09,31-Dec-11,Governance and Institutions Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,6th Phil Human Development Rep,UNDP,Others,,0.00,0.21,0.19,,01-Jun-07,01-Mar-10,Governance and Institutions Development,Unspecified,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Enhancing Justice to the Pillars of Justice,UNDP,SC,,0.00,0.41,0.22,,01-Feb-09,31-Dec-10,Governance and Institutions Development,Unspecified,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,Building Integrity in the System of Governance,UNDP,CSC,,0.00,0.45,0.25,,01-Feb-09,31-Dec-10,Governance and Institutions Development,Unspecified,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Electronic Connection to Access and Network Information Knowledge for Governance Effectiveness and Sustainability (ExCHANGES),UNDP,Others,,0.00,0.14,0.09,,01-May-09,31-Mar-10,Governance and Institutions Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,Promoting Procurement Transparency and Efficiency to Achieve UN-Millenium Development Goals (PROTECT MDGs),UNDP,Others,,0.00,0.15,0.09,,01-Jun-09,31-Mar-10,Governance and Institutions Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,ACT for Peace,UNDP,MEDCO,,0.00,14.75,14.02,2005-2009,01-May-05,30-Jun-10,Governance and Institutions Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,Expanding and Diversifying the National System of Protected Areas in the Philippines,UNDP,DENR,,0.00,3.50,0.00,,01-Sep-09,31-Dec-14,"Agriculture, Environment and Agrarian Reform",Unspecified,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,PIMS 3627 Strengthening Coordination for Effective Environmental Management (STREEM),UNDP,DENR,,0.00,0.48,0.02,,01-Jan-09,31-Dec-12,"Agriculture, Environment and Agrarian Reform",Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,ACT for Peace,UNDP,MEDCO,,0.00,3.90,0.91,,01-Dec-08,31-Dec-10,Governance and Institutions Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Preparation of the Fourth National Report to the Convention on Biodiversity (CBD) (4NR),UNDP,DENR,,0.00,0.02,0.02,,01-Jan-08,31-Dec-09,"Agriculture, Environment and Agrarian Reform",Unspecified,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,Strengthening Human Rights Infrastructures in the Philippines,UNDP,Others,,0.00,1.00,0.76,,01-May-08,01-Dec-10,Social Reform and Community Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,Integrated Program for the Empowerment of IP and Sust Devt of Ancestral Domains (IP-EIPDAD),UNDP,DAR,NEX,0.00,1.43,0.95,2005-2009,31-Oct-05,01-Mar-10,Social Reform and Community Development,Unspecified,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,Strengthening the Philippine's Institutional Capacity to Adapt to Climate Change,UNDP,NEDA,,0.00,8.00,0.55,,01-Jan-09,31-Dec-11,"Agriculture, Environment and Agrarian Reform",Nationwide,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Early Recovery Project in Bicol,UNDP,DSWD,,0.00,1.80,0.92,,01-Mar-09,31-Dec-10,Social Reform and Community Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,ACT for Peace,UNDP,MEDCO,,0.00,2.07,1.15,,01-Feb-06,30-Jun-10,Governance and Institutions Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,ACT for Peace,UNDP,MEDCO,,0.00,2.28,1.82,,01-May-05,30-Jun-10,Governance and Institutions Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,Implementation of the Sustainable Development Strategy for the Seas of East Asia,UNDP,Others,,0.00,11.58,0.44,,01-Jan-07,31-Dec-12,"Agriculture, Environment and Agrarian Reform",Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,Capacity Building to Remove Barriers for Renewable Energy Development (CBRED),UNDP,DOE,,0.00,6.14,5.46,2002-2008,01-Apr-03,31-Mar-10,Infrastructure Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
