sequence,city,trade_or_business_name,printer_name,registered_address,permanent_accreditation_number,date_of accreditation,email_address,contact_number
RDO 79,Dumaguete City,ATL Copying and Printing Center,Leonora T. Bautista,"Poblacion, Bayawan City 6221",079MP20140000000003,15-Jan-14,nora_tapangan@yahoo.com.ph,"(035) 430-0451/ 531-0062"
RDO 79,Dumaguete City,Caballes Printing Press,Santiago Bilbao Caballes,San Juan St. Dumaguete City,079MP20140000000005,20-Feb-14,caballespress@yahoo.com.ph,(035) 225-4829/422-8205
RDO 79,Dumaguete City,Capital and Leverage Printing Press,Maximo P. Tan Jr.,"Boloc Boloc, Sibulan, Negros  Oriental",079MP20140000000006,2-Mar-14,midegs@yahoo.com,(035) 225-3103/226-3752
RDO 79,Dumaguete City,Casa Printers,Lorenzo P. Sarana,"2503 Agan-An, Sibulan, Negros Oriental 6201",079MP20140000000007,12-May-14,stephen-adan@yahoo.com,(035) 225-1985
RDO 79,Dumaguete City,Concept Print Services,Higino Tee Alano,Uymatiao Bldg. San Jose St. Dumaguete City,079MP20130000000007,12-Dec-13,ga_concept@yahoo.com.ph,(035) 225-9621
RDO 79,Dumaguete City,DB Imprinta and Enterprises,Ma. Clara Dolores D. Bantilan,"East Balabag, Valencia, Neg. Oriental",079MP20130000000004,12-Dec-13,dbimprinta@yahoomail.com,(035) 226-3588
RDO 79,Dumaguete City,De Colores Printing Press,"The Roman Catholic Bishop of Dumaguete",Pastoral Center Perdices St. Dumaguete City,079MP20130000000006,12-Dec-13,decolores.press@yahoo.com,(035) 226-1094
RDO 79,Dumaguete City,DGTE Asian Printers,Eduardo B. Sindiong,San Jose St. Dumaguete City,079MP20130000000003,12-Dec-13,asianprinters@gmail.com,"(035) 225-4388; 225-6088"
RDO 79,Dumaguete City,DPP Printing Press,Cristy Marie L.  Buhisan,"Motong, Dumaguete City",079MP20130000000002,12-Dec-13,cristy32488@yahoo.com,(035) 422-1672
RDO 79,Dumaguete City,E.T. Printing Press Incorporated,E.T. Printing Press Incorporated,"Angatan Road, Tabuc-Tubig, Dumaguete City",079MP20130000000005,12-Dec-13,etinguha@yahoo.com,"(035) 225-3989; 422-9363"
RDO 79,Dumaguete City,Laizha Printers,Ma. Luciana T. Tizon,"H. Bollos St. Poblacion Bayawan, Neg. Or.",079MP20140000000010,30-Jun-14,lyzhaprinter_bayawan@yahoo.com,0917-7070953
RDO 79,Dumaguete City,Ronald E. Diao Printing Press,Ronald E. Diao,"Legaspi St. Barangay 5 Tanjay City, Neg. Or. 6204",079MP20140000000004,20-Feb-14,rosemarie_manso4@yahoo.com,"(035) 225-6296"
RDO 79,Dumaguete City,TFS Printing Press,Mary Rose E. Tinguha,"Opao, Poblacion 9, Tanjay City",079MP20130000000001,12-Dec-13,tfs_printing@yahoo.com,(035) 415-9716
RDO 79,Dumaguete City,TGS Print Centre,Catherine I. Sinco,"30 San Juan St. Brgy. 6, Dumaguete City",079MP20140000000009,29-May-14,tgs_print_centre@yahoo.com,(035) 522-1532/419-7154
RDO 80,Mandaue City,AJD Printing Services,Donavel Gilig Lubas,Pajac Lapulapu City,080MP20140000000019,28-Jan-14,ajdprinter@yahoo.com,"(032) 495-1742"
RDO 80,Mandaue City,Almaden Printing Press,Danny Rios Almaden,"Dunggoan, Danao City",080MP20140000000028,3-Mar-14,margiealmaden@yahoo.com,(032) 267-4554
RDO 80,Mandaue City,Almario-Pilapil Printers,Clemencia Almario Byeon,"Highway Guizo, Mandaue City",080MP20140000000037,13-Mar-14,byeon4323@yahoo.com,(032) 346-4594
RDO 80,Mandaue City,Carangue Printing Corporation,Carangue Printing Corporation,"Maguikay, Mandaue City",080MP20140000000002,20-Jan-14,carangue@gmail.com,(032) 346-7432
RDO 80,Mandaue City,"Cebu Citiprinters, Inc.","Cebu Citiprinters, Inc.","Vivencio Albano Sr. St. Sitio Channel 9, Maguikay, Mandaue City",080MP20140000000016,28-Jan-14,citiprinters@gmail.com,"(032) 346-7148"
RDO 80,Mandaue City,Cebu Fortune Printing Press,Diosdado Magdalaga Besabella,"Mahayahay Bankal, Lapulapu City",080MP20140000000020,28-Jan-14,cebufortuneprintingpress@ymail.com,"(032) 340-8892"
RDO 80,Mandaue City,"Cebu Grand Printers, Inc","Cebu Grand Printers, Inc","Casili, Canduman, Mandaue City",080MP20140000000027,12-Feb-14,cebugrandprinters@yahoo.com,"(032) 236-4514"
RDO 80,Mandaue City,Daniel Printers,Edith Bayaton Silawan,"Soong Ii, Mactan, Lapulapu City",080MP20140000000003,20-Jan-14,danielprinters@yahoo.com,(032) 505-9178
RDO 80,Mandaue City,Darianeil Printers,Ernesto B. Tumulak,"Pajak St. Pajak, Lapulapu City",080MP20140000000021,5-Feb-14,regun_yadz@yahoo.com,"(032) 512-6005"
RDO 80,Mandaue City,DMC Busa Printers and General Merchandise,Donato Manuel Canonoy Busa,"Tipolo, Mandaue City",080MP20140000000006,24-Jan-14,dmcbusaprinters@yahoo.com,(032) 346-9471
RDO 80,Mandaue City,Euston Paul Printers,Librada Enriquez Saligue,Humay-Humay Gun-Ob Lapulapu City,080MP20140000000044,23-Apr-14,eustonpaul@gmail.com,(032) 260-2527
RDO 80,Mandaue City,Grafix Express Advertising,Petesan Trading Co. Inc.,"Marfa Bakilid, Mandaue City",080MP20140000000015,28-Jan-14,grafixadvertising@gmail.com,"(032) 343-9838/520-6085"
RDO 80,Mandaue City,Graphics Plus International Inc.,Graphics Plus International Inc.,"Buyong Maribago, Lapulapu City",080MP20140000000023,5-Feb-14,smartprinting@aol.com,"(032) 495-8206"
RDO 80,Mandaue City,Innografix Inc,Innografix Inc,The Cornerstone Catarman Liloan,080MP20140000000031,3-Mar-14,innografixinc@gmail.com,(032) 4249219
RDO 80,Mandaue City,Isla Printing Press,Eddie Go Ting,"Basak, Lapulapu City",080MP20140000000038,13-Mar-14,islaprintingpress@gmail.com,(032) 520-5299
RDO 80,Mandaue City,Jan-6 Printing Press,Nerio Cinco Bathan,"Tawason, Mandaue City",080MP20140000000012,28-Jan-14,jan.6printingpress@gmail.com,"(032) 422-1367"
RDO 80,Mandaue City,JFC Printers,Julius Felix Rafaela Casul,New Lipata St. Pusok Lapulapu City,080MP20140000000042,10-Apr-14,jfc@yahoo.com,(032) 340-4059
RDO 80,Mandaue City,J-Joel Enterprises and Printing Press,Ma. Joy Baniel Tumulak,"Pajac, Lapulapu City",080MP20140000000004,20-Jan-14,j-joel.enterprise@yahoo.com,(032) 493-5490
RDO 80,Mandaue City,Judilla Printing Press,Lorecil Judilla Veloso,"H. Abellana St. Basak, Mandaue City 6014",080MP20140000000025,12-Feb-14,phi_billy@yahoo.com,"(032) 344-6604"
RDO 80,Mandaue City,Junmagnus Print and More Services,Hilario Demecillo Geverola Jr.,Narra St. Tayud Liloan Cebu,080MP20140000000036,10-Mar-14,junmagnus@yahoo.com,(032) 424-3680
RDO 80,Mandaue City,Lyca Printers,Arturo Alinsug Sanchez,"680 Rizal St. Basak, Mandaue City",080MP20140000000032,3-Mar-14,lycaprinters@gmail.com,(032) 344-4163
RDO 80,Mandaue City,Mandaue Printshop Corporation,Mandaue Printshop Corporation,"P. Remedios St. Banilad, Mandaue City",080MP20140000000001,20-Jan-14,mandaueprintshop@yahoo.com,(032) 346-6876
RDO 80,Mandaue City,Mandaue Ruy Marketing Inc,Mandaue Ruy Marketing Inc,"ML Quezon Maguikay, Mandaue City",080MP20140000000033,3-Mar-14,christineuyching@yahoo.com,(032) 346-5262
RDO 80,Mandaue City,"Mandaue School, Office Supply and Printing Press",Pedro Orcullo Torres,"A Del Rosario St. Cor As Fortuna Ext.Guizo Mandaue City",080MP20140000000047,6-May-14,petertorres98@yahoo.com,(032) 347-0615
RDO 80,Mandaue City,Marie Paz Printing Press and Gen. Mdse.,Marie Paz Mercado Kiskis,"H. Abellana St. Canduman, Mandaue City 6014",080MP20140000000040,10-Apr-14,paz_kiskis@yahoo.com,(032) 416-0184
RDO 80,Mandaue City,Marvel Printing Press,Hilario Avenido Apa,"Lk Bldg. Subangdaku, Mandaue City",080MP20140000000030,3-Mar-14,marvelprintingpress@yahoo.com,(032) 340-5945
RDO 80,Mandaue City,Mbdick Printers,Richard Gabuya Barba,"No.6 Fumi Bldg. H. Cortes St. Subangdaku, Mandaue City",080MP20140000000005,20-Jan-14,dickbarba@skyinet.net,(032) 422-7148
RDO 80,Mandaue City,MBY Island Printhaus and Enterprises,Michael Bacharo Yee,AC Cortes St. Guizo Mandaue City,080MP20140000000008,24-Jan-14,mbyislandprinthaus@yahoo.com,(032) 344-5892
RDO 80,Mandaue City,MJ Mimeographing Services,Exequila Digal Tampadong,"Marfa Bakilid, Mandaue City",080MP20140000000039,27-Mar-14,mjmimeographing@yahoo.com,(032) 514-6446
RDO 80,Mandaue City,Momongan Printers,Leslie Maribojoc Momongan,"San Vicente Ferrer, Tabok, Mandaue City",080MP20140000000046,28-Apr-14,eiztin@yahoo.com,(032) 520-8131
RDO 80,Mandaue City,Mr. Bar's Printing Press,Eliseo Galupo Barina,"Sitio Kadulang Marigondon, Lapulapu City",080MP20140000000024,5-Feb-14,mr.barsprinting@yahoo.com,"(032) 495-1564"
RDO 80,Mandaue City,Optima Typographics,Edwin Sellote Villaver,"ML Quezon St. Maguikay, Mandaue City",080MP20140000000022,5-Feb-14,optimatype@gmail.com,"(032) 340-7636"
RDO 80,Mandaue City,P.Lumapas Printing and General Merchandise,Estate of Presciliano Sanchez Lumapas,"L.Jayme St. Maguikay, Mandaue City",080MP20140000000043,23-Apr-14,plumapas.printers@gmail.com,(032) 344-0154
RDO 80,Mandaue City,"Paradigm Diversified Resources, Inc.","Paradigm Diversified Resources, Inc.","Tingub Elementary School Road Tingub, Mandaue City",080MP20140000000010,24-Jan-14,paradigmcebu@yahoo.com,(032) 346-6017
RDO 80,Mandaue City,Printer Friendly Printing Press,Christian Mayol Lugay,"520 Don A Cortes Ave., Ibabao, Mandaue City",080MP20140000000035,10-Mar-14,mj.printing@yahoo.com,(032) 343-9442
RDO 80,Mandaue City,Qa Causeway Printers Inc,Qa Causeway Printers Inc,"593 A Rizal St. Basak, Mandaue City",080MP20140000000009,24-Jan-14,causewayprinters@yahoo.com,"(032) 422-9877/316-0069"
RDO 80,Mandaue City,Rizaldo Printing Press,Teofilo Noche Rizaldo,"Tupas St. Suba, Danao City",080MP20140000000041,10-Apr-14,teofilo rizaldo@yahoo.com,(032) 200-3410
RDO 80,Mandaue City,Roy Victor Printing Press,Ryan Seno Talaba,"Grnd Flr. Victoria Bldg.ML Quezon St. Cabancalan II, Mandaue City",080MP20140000000013,28-Jan-14,rs_talaba@yahoo.com,"(032) 512-3943"
RDO 80,Mandaue City,Rubewil Printers,Rodulfo N. Judilla,"789 H. Abellana St. Basak, Mandaue City",080MP20140000000007,24-Jan-14,rubewilprinters@yahoo.com,(032) 345-0173
RDO 80,Mandaue City,S. Amistoso Printing Press,Sixto Guilman Amistoso,"ML Quezon Maguikay, Mandaue City",080MP20140000000026,12-Feb-14,amistososixto@yahoo.com,"(032) 346-8307"
RDO 80,Mandaue City,S3RA Printing Press,Pete B. Estrera,"5-196 Sitio Bas, Pagsabungan, Mandaue City",080MP20140000000014,28-Jan-14,s3raprinting@ymail.com,"(032) 344-0442"
RDO 80,Mandaue City,Selor Printers,Erodita Baterna Selor,"P. Rodriguez St. Cogon, Bogo City",080MP20140000000017,28-Jan-14,selorprintingpress@yahoo.com,"(032) 251-2545/260-0747"
RDO 80,Mandaue City,Sui's Printsonic,Michelle Jayson Jardin,"Lot1 Blk 1st. James St. Zone 6 Hermag Vill., Basak, Mandaue City",080MP20140000000011,24-Jan-14,suisprintsonic@yahoo.com,(032) 516-0931
RDO 80,Mandaue City,Venjo Printing Press,Venus Cabatingan Tidoso,"AC Cortes Ave., Mandaue City",080MP20140000000034,3-Mar-14,venjo_printing@ymail.com,(032) 239-2955
RDO 80,Mandaue City,"Verdida Printing Press and General Merchandise",Eduardo Oporto Verdida,"A Pedroza St. La Purisima, Bogo Cebu",080MP20140000000018,28-Jan-14,verdidaprintingpress@yahoo.com,"(032) 251-2042"
RDO 80,Mandaue City,Welson's Printing Press,Welson Calvo Gargar,"North Bus Terminal, Subangdaku, Mandaue City",080MP20140000000045,23-Apr-14,gc.welson@yahoo.com,(032) 505-3450
RDO 80,Mandaue City,Zoom Printers,Gil Fuentes Mangubat,499 J. Rizal St. Lapulapu City,080MP20140000000029,3-Mar-14,tatsky_16@yahoo.com,(032) 340-0237
RDO 81,"Cebu City, North",B and P Printshoppe,Sheila Esgana Illustrisimo,49 A Mabini St. Parian Cebu City 6000,081MP20140000000009,4-Feb-14,bp.printingpress@gmail.com,"(032) 268-6685"
RDO 81,"Cebu City, North",Bbc's Print Stop,Carmelita Ladia Piramide,49 P.Del Rosario St. San Antonio Cebu City 6000,081MP20140000000010,6-Feb-14,bbcprint@gmail.com,"(032) 254-5519"
RDO 81,"Cebu City, North",Calimpon Bookbindery,Paterno Carangue Calimpon,21-1 P Del Rosario St. Cebu City,081MP20140000000022,7-Mar-14,calimpon@gmail.com,to follow
RDO 81,"Cebu City, North","Cebu Business Continous Forms, Inc.","Cebu Business Continous Forms, Inc.",19 Borces St Mabolo Cebu City,081MP20140000000020,3-Mar-14,cbcf incorporated@gmail.com,"(032)  231 0197/231-1397"
RDO 81,"Cebu City, North",Cebu Graceland Printer's Corporation,Cebu Graceland Printer's Corporation,"Tandang Sora Villa Aurora Subd., Mabolo Cebu City",081MP20140000000004,24-Jan-14,gracelandprinters@yahoo.com,"(032) 415-5288"
RDO 81,"Cebu City, North",CT Business Printer,Jennifer Co Go,"M.J. Cuenco Ave., Mabolo Cebu City",081MP20140000000008,3-Feb-14,ctbus8006@gmail.com,"(032) 412-7898/6008"
RDO 81,"Cebu City, North",Dayon Enterprises and Printing Press,Florida Jurado Abella,29-A P. Del Rosario St. Cebu City Cebu,081MP20140000000018,28-Feb-14,dayon_enterprises@yahoo.com,"(032)  416-7820"
RDO 81,"Cebu City, North",EC Grafix Printing Services,Harley Yu Yunam,"#828 Pres. Laurel St. Villa Aurora Kasambagan Cebu City 6000",081MP20140000000003,24-Jan-14,ecgrafixcebu@gmail.com,"(032)232-2631/231-2807/416-7119"
RDO 81,"Cebu City, North",Edieson Printers,Eduardo Carangue Gabatan,Junquera St Kamagayan Cebu City 6000,081MP20140000000012,20-Feb-14,ediesonprinter@yahoo.com.sg,"(032) 238-4990"
RDO 81,"Cebu City, North",Euliza Enterprises and Printing Services,Eulogio Pahid Bentulan,#33 Sanciangko St. Cebu City 6000,081MP20140000000006,24-Jan-14,eulizaprinting@yahoo.com,"(032) 412-0334"
RDO 81,"Cebu City, North",Gold and Arts Enterprises Printing Co.,Gold and Arts Enterprises Printing Co.,"Formerly Imus St.P.Del Rosario St Cebu City 6000",081MP20140000000015,21-Feb-14,goldandart@yahoo.com,"(032) 255-9783/406-9170"
RDO 81,"Cebu City, North",Goldberg Printing Services,Enrique Pardillo Dinalo,0571 Camagong St Lahug Cebu City 6000,081MP20140000000016,21-Feb-14,enriquedinalo@yahoo.com,0935-8359672
RDO 81,"Cebu City, North",Jeeb Printers and General Merchandise,Edgardo Loyola Estrada,#84 Kim Siu Ching Foundation J.C. Zamora St. Parian Cebu City,081MP20140000000011,17-Feb-14,edgar.estrada90@yahoo.com,"(032) 255-9800"
RDO 81,"Cebu City, North",Jose Clavano Incorporated,Jose Clavano Inc.,"P Clavano St Juana Osmena Ext Capitol Cebu City",081MP20140000000017,28-Feb-14,accounting@clavanoprinters.com,"(032)  253-6826 to 28"
RDO 81,"Cebu City, North",Lariego Press,Lariego Roque Ylaya,"72-A Sanciangko Kalubihan, Cebu City",081MP20140000000001,14-Jan-14,lariego_press@yahoo.com,(032) 253-0869
RDO 81,"Cebu City, North","Lim Tong Press, Inc.","Lim Tong Press, Inc.",S. Borces St. Mabolo Cebu City 6000,081MP20140000000014,20-Feb-14,info@limtongpress.com,"(032)  232-4700"
RDO 81,"Cebu City, North",Print Specifix,Eric Chiongbian Oliva,Oliva-Perez Bldg. Junquera Extn San Antonio Cebu City 6000,081MP20140000000013,20-Feb-14,printspecifix@yahoo.com,(032) 253-0409
RDO 81,"Cebu City, North",Rotan Printing Press,Jerome Song Tanco,"#18 Pres Laurel/Brezlin St. Kasambagan, Cebu City",081MP20140000000002,14-Jan-14,rotan_press@pldtdsl.net,(032) 520-3741
RDO 81,"Cebu City, North",Snad's Trading and Printing Services,Daniel Tanduyan Comaling,Maracas Lahug Cebu City 6000,081MP20140000000007,24-Jan-14,snadstrading1000@yahoo.com,"(032) 417-0096"
RDO 81,"Cebu City, North",Uptown Press,Gilbert John Alerre Barba,17 N Escario St Kamputhaw Cebu City,081MP20140000000021,4-Mar-14,uptownpress02@yahoo.com.ph,"(032)  231-0760"
RDO 81,"Cebu City, North",Visayas Printers,Elisa Cutillar Pablo,167-A Junquera St San Antonio Cebu City 6000,081MP20140000000005,24-Jan-14,visayasprinters0306@yahoo.com,"(032) 254-1195"
RDO 81,"Cebu City, North",William's Commercial Co. Inc.,William's Commercial Co. Inc.,"7 Edison St Cor Salinas Drive Lahug Andrew@Wcci.Com.Ph Cebu City",081MP20140000000019,28-Feb-14,sales@wcci.com.ph,"(032)  231-4199/231-3275"
RDO 82 ,"Cebu City, South",3J's Printing Services,Rowena A. Geotoro,"No. 19 Nichols Heights, Guadalupe, Cebu City",082MP20140000000018,28-Apr-14,hosannah_acctgsvs@yahoo.com,(032) 414-2026
RDO 82 ,"Cebu City, South",Boomstar Printing,Nyx P. Tarongoy,"46 F Honey Homes F. Jaca St. Poblacion Pardo Cebu City",082MP20130000000013,20-Dec-13,bstarprinting@yahoo.com,"(032) 415-4892 / 254-3133"
RDO 82,"Cebu City, South","Cebu Global Printing Press, Inc.","Cebu Global Printing Press, Inc.","R and M Road Quijada, Guadalupe Cebu City",082MP20130000000004,20-Dec-13,cebuglobalprinting@yahoo.com,"(032) 262-9872"
RDO 82,"Cebu City, South",Cebu Godspeed Printers,Katherine C. Lerias,252 E. Sabellano St. Pardo Cebu City,082MP20130000000009,20-Dec-13,cebugoodspeed@yahoo.com,"(032) 406-6495"
RDO 82,"Cebu City, South",CTO Printing Press,Angeline Ong,"#9 Fortune Compound Espina Vill., B Rodriguez St. Cebu City",082MP20130000000007,20-Dec-13,ctoprinting@yahoo.con,"(032) 583-1951"
RDO 82,"Cebu City, South",CVRK Enterprises and Printing Press,Cristina P. Tutor,"Inayawan, Cebu City",082MP20140000000017,24-Apr-14,cvrkenterprises2014@yahoo.com,(032) 261-8538
RDO 82,"Cebu City, South",Em and J Printshoppe,Emmanuel G. Carin,"Infront Of St. Paul College N. Bacalso Ave., Bulacao Cebu City",082MP20130000000003,20-Dec-13,emanprints@yahoo.com,"(032) 269-5115"
RDO 82,"Cebu City, South","JI Printers, Inc.","JI Printers, Inc.",91 F Jaca St. Pardo Cebu City,082MP20130000000011,20-Dec-13,jiprinters@gmail.com,"(032) 272-3009"
RDO 82,"Cebu City, South",Joken Star Bee Print Mktg.,Alfred C. Remolano,"Mayupay, Quiot, Cebu City",082MP20140000000016,4-Mar-14,jokenstarbee@gmail.com,(032) 422-3589
RDO 82,"Cebu City, South",Jorirus and Jr. Printshoppe,Bebie Richelle Cabilin Carbellido,"Sitio Masinitas, Inayawan, Cebu City",082MP20140000000015,25-Feb-14,jorirusjr@yahoo.com,(032) 415-5034
RDO 82,"Cebu City, South",M. Carillas Printing Press,Mario I. Carillas,"362 C. Padilla St. Basak San Nicolas Cebu City South",082MP20140000000019,6-Jun-14,marioicarillas@yahoo.com,(032) 239-4593
RDO 82,"Cebu City, South",MM Printing Press,Celeste Martinez,292 Sanciangko St. Cebu City,082MP20130000000010,20-Dec-13,mmmprintingpress@yahoo.com,"(032) 255-7149"
RDO 82,"Cebu City, South",Ordeniza Printing Services,Benjamin Ordeniza,Backside Basak Elem. School Cebu City,082MP20130000000005,20-Dec-13,ordenizaprinting@yahoo.com,"(032) 272-2530"
RDO 82,"Cebu City, South","Origin Printing Press and Mimeographing Sevices",Anita C. Lim,18. Ma. Go Chan Mambaling Cebu City,082MP20130000000012,20-Dec-13,folinc@yahoo.com,"(032) 316-9888"
RDO 82,"Cebu City, South",PL's Printing Press,Louis B. Seneres,"Tagunol, Basak, Pardo Cebu City",082MP20130000000014,20-Dec-13,plprintpress@yahoo.com,"(032) 416-4463"
RDO 82,"Cebu City, South",Vida Printing Press,Margarita Julbertfiva Ginco Suzara,968-A V. Rama Ave. Guadalupe,082MP20130000000001,20-Dec-13,vidaprintingpress@yahoo.com,"(032) 255-2605"
RDO 82,"Cebu City, South",ZJI Printing Press,Suzanne Mae V. Cayao,762 C. Padilla St. Mambaling Cebu City,082MP20130000000008,20-Dec-13,susanna.villanueva@yahoo.com,"(032) 418-9317"
RDO 83,"Talisay City, Cebu",Bulacao Printing Services,Sixto L. Pabroa,"Bulacao, City Of Talisay, Cebu",083MP20130000000005,18-Dec-13,bulacaoprinting@gmail.com,(032) 273-5463
RDO 83,"Talisay City, Cebu",CGR Print Shop,Galo V. Rubin,"Kalubihan, Tuyan, City Of Naga, Cebu",083MP20130000000004,18-Dec-13,rubingalo@yahoo.com,"(032) 489-4025; 582-4597"
RDO 83,"Talisay City, Cebu",Jerramil Printing Services,Jerrald James P. Osman,"Lot 50 Block 1 Phase 3B, Camella Homes, Linao, City Of Talisay, Cebu",083MP20130000000003,18-Dec-13,julietaosman@yahoo.com,(032) 584-0825
RDO 83,"Talisay City, Cebu",Jo and E.J. Printing,Lorimel D. Reboquio,"Rm 206 Deiparine Bldg.., Bulacao, City Of Talisay, Cebu",083MP20130000000002,18-Dec-13,reboquiolloreje@yahoo.com,(032) 272-1099
RDO 83,"Talisay City, Cebu",Magalzo Printing Press,Ferdinand C. Magalzo,"Highway Tabunok, Tabunok, City Of Talisay, Cebu",083MP20130000000007,8-Jan-14,magalzoprintingpress@yahoo.com,"(032) 361-0115/ 273-7597"
RDO 83,"Talisay City, Cebu",New Modern Day Printshoppe,Danilo A. Derecho,"Sangi, Tabunok, City Of Talisay, Cebu",083MP20130000000001,18-Dec-13,cherzdan@yahoo.com,(032) 354-8849
RDO 83,"Talisay City, Cebu",Renebeth Mimeograping and Book Binding,Renato Lapinid Agan,"Inayagan, City Of Naga",083MP20140000000008,4-Feb-14,renebethmimeographing@yahoo.com,"(032) 273-2484/511-4059"
RDO 83,"Talisay City, Cebu",ZMJ Print Pixer Printing,Marcelina R. Nachajko,"#58 Acetate St. Deca Homes Subd. Tungkil, Minglanilla, Cebu",083MP20130000000006,18-Dec-13,zmjpixerprinting@yahoo.com,(032) 231-3101
RDO 84 ,Tagbiliran City,Aquarius Press,Segundo G. Enerio,"25 Ma. Clara, Tagbiliran City",084MP20130000000016,20-Dec-13,aquarius_press54@yahoo.com,(038) 411-2426
RDO 84 ,Tagbiliran City,Avante Printhouse and Marketing,Noel D. Bullecer,Lessage St. Tagbiliran City Bohol,084MP20130000000011,20-Dec-13,avanteprint@yahoo.com,(038) 411-3820
RDO 84,Tagbiliran City,BF Printing Services,Lilia A. Balite,"Balite Drive, Cpg North Ave. Tagbilaran City",084MP20130000000013,20-Dec-13,boholtimes@yahoo.com,(038) 501-8041
RDO 84,Tagbiliran City,BJV Printing Press,Victor P. Tamala,M.Torralba St.Tagbiliran City,084MP20130000000001,20-Dec-13,victortamala@yahoo.com,(038) 501-9547
RDO 84,Tagbiliran City,Bohol Star Press,Inocencio S. Rosalejos,"Tamblot St. Tagbilaran  City, Bohol",084MP20130000000014,20-Dec-13,boholstarpress@yahoo.com,(038) 412-3249
RDO 84,Tagbiliran City,Dimiao Printing Press,Ervie S. Visarra,"Luyo, Dimiao, Bohol",084MP20130000000007,20-Dec-13,dimiaoprintingpress@yahoo.com,0939-1724689
RDO 84,Tagbiliran City,God's Gift Printing and Office Supplies,Alfonso L. Rosalejos,Tamblot St. Tagbiliran City,084MP20130000000006,20-Dec-13,godsgiftprint@yahoo.com,0907-4933052
RDO 84,Tagbiliran City,Grassland Traders and Print Services,Gina D. Varquez,"58 J.Borja St. Tagbiliran City, Bohol",084MP20130000000008,20-Dec-13,grasslandtraders@yahoo.com,(038) 501-5587
RDO 84,Tagbiliran City,IJ Printers,Raymund Steve Y. Ancog,"88 Espuelas St. Tagbiliran City, Bohol",084MP20130000000015,20-Dec-13,ij.printers@yahoo.com,(038) 412-3795
RDO 84,Tagbiliran City,JVJ Printing Press,Virginia Item,"San Jose, Talibon, Bohol",084MP20130000000002,20-Dec-13,jvjprintingpress@yahoo.com,0926-4409072
RDO 84,Tagbiliran City,Nes Printing Press,Marivic A. Amigo,Taloto Dist. Tagbiliran City,084MP20130000000003,20-Dec-13,nes_2014@yahoo.com,0920-4078730
RDO 84,Tagbiliran City,Roedil's Ent. and Printing Press,Roberto Edillo,"Rofe Bldg. Cpg North Ave., Tagbiliran City",084MP20130000000004,20-Dec-13,roedils.tagbilaran@yahoo.com,0915-5361086
RDO 84,Tagbiliran City,Sagbayan Printing Press,Esperidion T. Enad Jr.,"Poblacion, Sagbayan, Bohol",084MP20130000000005,20-Dec-13,sagbayanprintingpress@yahoo.com,0906-5034018
RDO 84,Tagbiliran City,Sandugo Press Marketing and Supplies,Genevieve R. Jamisola,11 M. Parras St. Tagbiliran City Bohol,084MP20130000000009,20-Dec-13,sandugopress@rocketmail.com,(038) 412-2353
RDO 84,Tagbiliran City,Soledad Press,Zosimo E. Enerio,Cor. J. Borja and M. Parras St. Tagbiliran City,084MP20130000000012,20-Dec-13,soledad.press@yahoo.com,(038) 411-2071
RDO 84,Tagbiliran City,Universal Press,Cristeta B. Tirol,50 Ma. Clara St. Tagbiliran City,084MP20130000000010,20-Dec-13,universalpress@rocketmail.com,(038) 411-2542
RDO 85 ,Catarman Northern Samar,Pleasant House Printing,Elena Wan Uy,"Veterans St. Brgy. Narra, Catarman, N. Samar",085MP20130000000001,29-Jul-13,padroalbert@yahoo.com,0918-6714835
RDO 85 ,Catarman Northern Samar,Printsmart and Graphic Design Printing,Albert Lapina Padro,"150 Jacinto St. Brgy. Ipil-Ipil, Catarman, N. Samar",085MP20130000000002,6-Aug-13,uyelenaw@yahoo.com,(055) 500-9800
RDO 88 ,Tacloban City,La Naval Printing Press,Rodulfo Sambitan,"Vicentillo Ext., Naval, Biliran",088MP20140000000002,27-Feb-14,lnpp.biliran20@gmail.com,(053) 500-9286
RDO 88 ,Tacloban City,New Five Star Trading Printing Press,"Tacloban Five Star Grafica Printing Press",161 P Burgos St. Tacloban City,088MP20140000000001,27-Feb-14,fivestar38@rocketmail.com,(053) 325-5113
RDO 88,Tacloban City,New Riel Printers,Maria Anna C. Riel,"145-A Real St, Tacloban City",088MP20140000000005,20-May-14,riel-anna@yahoo.com,(053) 321-3520
RDO 88,Tacloban City,South Pacific Printing Press,Roberto L. Yao,"Diversion Road, Tacloban City",088MP20140000000004,28-Apr-14,myao8812@yahoo.com,0927-7574626
RDO 88,Tacloban City,Tres Ninas General Merchant and Printing,Catherine Caminade,103 T. Claudio St. Tacloban City,088MP20140000000003,14-Mar-14,catherine-caminade@yahoo.com,(053) 321-2937
RDO 90,"Maasin, Southern Leyte",Abby Dyanne's Enterprises and Printing Press,Abigail D. Palermo,"169-E Rosales St. Tagnipa, Maasin City, Southern Leyte",090MP20140000000003,15-Jan-14,abby_print@yahoo.com,"(053) 570-8479"
RDO 90,"Maasin, Southern Leyte",Roedil's Enterprises and Printing Press,Roberto A. Edillo,"Tomas Oppus St. Mantahan, Maasin City, Southern Leyte",090MP20140000000002,15-Jan-14,roedilsmaasin@yahoo.com,"(053) 381-2315/570-9920"
