particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A022,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
          Industrial Technology Development Institute,"3,989",456,"3,260",150,"8,317",175,0,"88,209","11,133",500,390,0,"2,192",0,"6,054",179,50,120,0,275,0,400,0,0,"125,849"
          Information and Communications Technology Office,"17,495","10,866","40,184",631,"45,134","9,113",0,0,"55,395","2,248","2,378",0,"2,878",0,"25,276","1,103",553,523,0,790,180,47,0,0,"214,794"
          Metals Industry Research and Development Center,"1,000",895,"3,980",240,"6,105",155,0,"100,000","11,343",300,210,0,600,0,"3,855",315,75,100,0,40,0,10,0,0,"129,223"
          National Academy of Science and Technology,465,315,"1,482",0,"1,165",35,0,"4,800","1,372",30,110,0,95,0,"24,581",535,30,"1,280",0,22,0,50,0,0,"36,367"
          National Research Council of the Philippines,723,250,914,5,753,22,0,"29,266","1,444",622,110,0,60,0,"1,225",646,14,"1,413",0,15,0,77,240,0,"37,799"
"          Philippine Atmospheric, Geophysical and",,,,,,,,,,,,,,,,,,,,,,,,,
                Astronomical Services Administration,"19,258","47,459","66,008","2,979","183,978","7,794",0,"57,395","25,777","5,585",180,0,"142,379",0,"24,549",561,45,0,100,363,798,0,0,0,"585,208"
"          Philippine Council for Agriculture, Forestry",,,,,,,,,,,,,,,,,,,,,,,,,
                and Natural Resources Research and Development,"8,501","3,160","8,261",330,"7,139",691,0,"160,372","6,864","6,358",110,0,969,0,"12,416","4,294",20,"5,289",0,72,0,73,0,0,"224,919"
          Philippine Council for Aquatic and Marine,,,,,,,,,,,,,,,,,,,,,,,,,
                Research and Development,640,310,280,20,899,10,0,"24,500","1,070","2,088",110,0,215,0,"1,279",110,0,50,0,31,0,0,0,0,"31,612"
          Philippine Council for Health Research and Development,525,674,349,0,680,100,0,"229,764","1,450",100,80,0,150,0,"1,055",150,56,350,0,50,0,0,0,0,"235,533"
"          Philippine Council for Industry, Energy and",,,,,,,,,,,,,,,,,,,,,,,,,
                Emerging Technology Research and Development,"1,401",657,981,0,"1,820",241,0,"552,002","5,256",450,335,0,460,0,"2,406",390,100,715,0,100,0,0,0,0,"567,314"
          Philippine Institute of Volcanology and Seismology,"7,842","11,934","12,871",840,"12,491",410,0,"8,729","9,685",500,110,0,"8,250",0,"4,183",470,188,195,0,350,0,60,0,0,"79,108"
          Philippine Nuclear Research Institute,750,"3,109","4,362",220,"16,285",100,0,300,"18,325",100,38,0,"1,090",0,"6,806",130,30,50,0,110,0,378,0,140,"52,323"
          Philippine Science High School,"8,589","8,714","10,001",576,"27,894","6,262",0,0,"26,923","124,224","1,144",0,"6,089",0,"43,733","5,874","1,648","1,672",0,"1,480",100,73,0,0,"274,996"
          Philippine Textile Research Institute,472,417,"1,832",52,"3,426",10,2,0,"4,849",286,110,0,782,0,"4,399",53,51,132,0,102,0,0,0,0,"16,975"
          Science Education Institute,626,551,460,0,"2,615",3,0,"3,200","2,600","1,334,532",110,0,350,0,"2,180",0,53,0,0,105,0,0,0,0,"1,347,385"
          Science and Technology Information Institute,304,"2,288","1,605",130,"3,453",215,0,0,"3,624",196,107,0,117,0,"4,564","1,095",350,338,0,570,0,0,0,0,"18,956"
          Technology Application and Promotion Institute,500,425,"1,300",200,670,0,0,"39,487","1,180",200,260,0,150,0,"2,085",300,25,200,0,20,0,100,0,0,"47,102"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Social Welfare and Development,"488,048","113,203","70,908","5,344","497,834","27,744",0,"41,651,302","65,330","1,877,138","700,979",0,"9,085",0,"2,702,492","74,488","9,986","7,809",50,"2,346",0,50,100,0,"48,304,236"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"475,933","105,603","67,549","5,344","489,510","22,698",0,"41,651,052","60,046","1,870,047","698,728",0,"8,197",0,"2,682,338","72,445","9,611","2,845",50,"2,174",0,50,100,0,"48,224,320"
          Council for the Welfare of Children,"1,308",850,"1,746",0,"1,388",158,0,0,"1,152",972,677,0,411,0,"4,353",294,25,"2,620",0,22,0,0,0,0,"15,976"
          Inter-Country Adoption Board,"2,600","3,381",510,0,"2,210",360,0,60,902,"1,250",460,0,190,0,"5,972",310,0,330,0,10,0,0,0,0,"18,545"
          National Council on Disability Affairs,"1,519","1,073",483,0,"1,014",0,0,190,900,518,110,0,87,0,"3,374",512,0,0,0,120,0,0,0,0,"9,900"
          National Youth Commission,"6,688","2,296",620,0,"3,712","4,528",0,0,"2,330","4,351","1,004",0,200,0,"6,455",927,350,"2,014",0,20,0,0,0,0,"35,495"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Tourism,"181,336","46,761","18,512","37,454","78,594","151,419","6,225","15,470","55,274","23,685","4,486",0,"4,612",0,"340,532","55,689","127,956","91,652",317,"2,217",0,677,0,0,"1,242,868"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"180,836","45,605","15,342","37,454","71,731","151,017","6,225","15,470","35,020","23,485","4,236",0,"3,902",0,"279,887","55,584","127,705","91,302",317,"2,147",0,677,0,0,"1,147,942"
          Intramuros Administration,300,624,670,0,"1,200",300,0,0,700,200,150,0,600,0,"8,000",45,200,150,0,50,0,0,0,0,"13,189"
          National Parks Development Committee,200,532,"2,500",0,"5,663",102,0,0,"19,554",0,100,0,110,0,"52,645",60,51,200,0,20,0,0,0,0,"81,737"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Trade and Industry,"179,292","86,974","43,567","5,912","118,076","325,302",48,0,"90,969","86,068","8,516",0,"8,939",0,"502,610","39,164","30,080","41,668",0,"9,952",0,8,0,0,"1,577,145"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"169,678","79,499","35,129","5,305","101,286","269,861",48,0,"69,417","75,129","5,474",0,"6,466",0,"447,075","36,408","27,274","34,844",0,"5,592",0,5,0,0,"1,368,490"
          Board of Investments,"7,783","3,902","4,733",500,"10,299","30,343",0,0,"8,620","9,630","2,162",0,"1,019",0,"35,980","2,095","2,500","5,746",0,"1,017",0,0,0,0,"126,329"
          Construction Industry Authority of the Philippines,516,738,202,0,"1,599","14,056",0,0,"1,647",177,550,0,94,0,"2,415",56,176,553,0,105,0,0,0,0,"22,884"
          Construction Manpower Development Foundation,0,332,760,0,"1,178","1,400",0,0,"1,115",200,110,0,804,0,"4,060",50,0,150,0,6,0,0,0,0,"10,165"
          Philippine Trade Training Center,315,850,"1,540",7,914,45,0,0,"7,128",181,110,0,356,0,"6,317",55,130,135,0,37,0,3,0,0,"18,123"
          Product Development and Design Center of the Philippines,"1,000","1,653","1,203",100,"2,800","9,597",0,0,"3,042",751,110,0,200,0,"6,763",500,0,240,0,"3,195",0,0,0,0,"31,154"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Transportation and Communications,"121,136","83,311","426,398","8,777","924,081","4,381,535",0,0,"1,492,468","64,459","9,103","14,600","143,551",0,"1,629,850","73,393","9,472","25,159",0,"3,525",0,"5,989",200,60,"9,417,067"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"83,926","64,898","392,542","7,268","878,023","4,326,624",0,0,"1,468,617","53,282","6,897","9,300","141,112",0,"1,577,891","4,910","6,565","20,056",0,"2,399",0,"5,795",200,0,"9,050,305"
          Civil Aeronautics Board,"3,600","2,000",608,0,"1,000",0,0,0,"2,500",60,110,300,200,0,"2,900",0,500,"2,000",0,100,0,0,0,0,"15,878"
          Maritime Industry Authority,"24,424","13,601","7,460",888,"18,928","42,928",0,0,"17,227","7,584","1,050",0,"1,708",0,"11,211","66,341","1,492","2,366",0,792,0,130,0,0,"218,130"
          Office of Transportation Cooperatives,600,116,50,0,200,"2,237",0,0,371,178,110,0,25,0,300,0,0,79,0,40,0,0,0,0,"4,306"
          Office for Transportation Security,"8,486","2,456","25,711",621,"25,700","7,271",0,0,"3,238","3,105",676,"5,000",476,0,"37,131","2,142",765,658,0,194,0,64,0,60,"123,754"
          Toll Regulatory Board,100,240,27,0,230,"2,475",0,0,515,250,260,0,30,0,417,0,150,0,0,0,0,0,0,0,"4,694"
,,,,,,,,,,,,,,,,,,,,,,,,,
     National Economic and Development Authority,"252,842","44,668","20,118","11,775","89,944","166,381",58,"165,610","80,507","68,849","9,021",0,"10,661",0,"256,715","382,217","12,737","34,643",5,"1,654",0,557,0,0,"1,608,962"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Director-General,"29,925","18,352","14,192",480,"38,752","8,251",0,"5,000","25,082","21,878","4,306",0,"4,113",0,"111,927","10,492",384,"31,364",0,"1,235",0,423,0,0,"326,156"
          National Statistical Coordination Board,"1,898","2,297",436,298,"3,470","15,166",58,0,"5,746","1,591","1,269",0,219,0,"2,883","1,525",3,721,0,130,0,0,0,0,"37,710"
          National Statistics Office,"212,353","19,249","3,841","10,955","43,407","132,532",0,0,"44,050","40,948","1,882",0,"5,625",0,"133,571","367,116","11,010",0,0,75,0,50,0,0,"1,026,664"
          Philippine National Volunteer Service,,,,,,,,,,,,,,,,,,,,,,,,,
                Coordinating Agency,400,300,100,0,462,60,0,0,913,400,110,0,51,0,"2,595",150,0,800,0,16,0,0,0,0,"6,357"
          Public-Private Partnership Center of the Philippines,"2,909","3,132","1,275",32,"1,628",480,0,"160,600","2,898","2,883",904,0,543,0,"4,167","1,296",400,"1,647",0,42,0,19,0,0,"184,855"
          Statistical Research and Training Center,287,428,64,10,615,"2,822",0,0,"1,160",639,110,0,60,0,"1,572",0,0,36,5,62,0,55,0,0,"7,925"
          Tariff Commission,"5,070",910,210,0,"1,610","7,070",0,10,658,510,440,0,50,0,0,"1,638",940,75,0,94,0,10,0,0,"19,295"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Presidential Communications Operations Office,"80,508","40,677","23,580","5,975","62,945","24,490",0,118,"59,369","2,554","2,355",0,"6,529",0,"86,769","1,306","7,826","14,082",0,"2,934",0,243,0,0,"422,260"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Presidential Communications Operations Office (Proper),"29,523","8,748","5,936",158,"12,594","2,446",0,0,"6,518",863,"1,379",0,742,0,"23,252",0,63,"7,552",0,"1,066",0,0,0,0,"100,840"
          Bureau of Broadcast Services,"4,833","8,490","4,080",900,"12,175","6,373",0,118,"25,164",772,110,0,"1,020",0,"26,991",90,66,"2,085",0,240,0,237,0,0,"93,744"
          Bureau of Communications Services,321,"1,375",390,50,"3,065","3,791",0,0,"1,600",270,110,0,150,0,"1,860",411,0,0,0,220,0,0,0,0,"13,613"
          National Printing Office,182,"1,374",864,"2,700","1,470",0,0,0,"6,820",50,110,0,610,0,"3,800",0,100,0,0,6,0,0,0,0,"18,086"
          News and Information Bureau,"3,540","4,374",847,100,"7,760","2,007",0,0,"3,734",98,110,0,50,0,"2,248",15,1,0,0,600,0,6,0,0,"25,490"
          Philippine Information Agency,"6,568","12,440","8,918","2,067","16,780","7,621",0,0,"14,810",436,426,0,"1,363",0,"20,605",759,"7,596","4,445",0,677,0,0,0,0,"105,511"
          Presidential Broadcast Staff (RTVM),"35,541","3,876","2,545",0,"9,101","2,252",0,0,723,65,110,0,"2,594",0,"8,013",31,0,0,0,125,0,0,0,0,"64,976"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Other Executive Offices,"362,157","137,771","118,141","7,973","422,132","235,183",0,"2,301,310","202,734","180,648","35,575","68,600","20,037",0,"547,274","42,713","22,543","108,911",222,"17,119","19,360","4,345",50,400,"4,855,198"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Anti-Money Laundering Council,"1,800",870,"2,736",0,343,450,0,0,"1,500",150,0,"5,000",35,0,750,0,60,400,0,29,0,800,0,0,"14,923"
          Commission on Filipinos Overseas,"2,420","3,939",312,0,"2,402","6,800",0,0,"3,494",490,454,0,156,0,"9,132",722,42,167,0,100,0,0,0,0,"30,630"
          Commission on Higher Education,"17,583","13,006","5,821",446,"15,189","7,605",0,"1,549,860","24,645","78,997","3,738",0,"1,217",0,"25,776",611,248,"4,325",0,968,0,152,0,0,"1,750,187"
          Commission on the Filipino Language,"1,000",400,350,0,700,520,0,0,"1,200",200,460,0,88,0,"3,600","1,200",250,200,0,70,0,0,0,0,"10,238"
          Dangerous Drugs Board,"3,675","2,030",960,220,"13,135","1,300",0,"77,000","2,710","19,000","1,022",0,140,0,"1,740","3,500","1,700","3,000",0,14,0,22,0,0,"131,168"
          Energy Regulatory Commission,"5,800","4,000","2,350",0,"18,250","17,200",0,0,"5,600","1,850","1,708",0,830,0,"8,820",233,"3,100",0,0,450,0,0,0,0,"70,191"
          Film Development Council of the Philippines,"4,500","1,250",300,100,925,"8,207",0,"20,730",900,200,350,0,50,0,"6,209",654,"3,000","1,000",0,80,0,715,0,0,"49,170"
          Games and Amusements Board,"5,317","2,142","1,490",0,"1,900","1,495",0,0,"1,940",208,122,0,430,0,"2,090",370,25,350,0,115,0,2,0,0,"17,996"
          Housing and Land Use Regulatory Board,"11,750","5,323","3,428",516,"7,961","10,154",0,100,"5,444",708,392,0,"1,759",0,"9,430","1,036",540,"1,227",0,282,0,0,0,0,"60,050"
          Housing and Urban Development Coordinating Council,"3,250","4,786","4,326",339,"5,149","13,465",0,0,"5,402","4,500","1,676",0,619,0,"8,612",776,656,"1,486",0,785,"10,000","1,300",0,400,"67,527"
          Mindanao Development Authority,"5,586","1,812","4,000",0,"4,588","3,562",0,0,"1,500",685,576,0,400,0,"1,772","1,328",313,"1,664",220,72,0,592,0,0,"28,670"
          Movie and Television Review and,,,,,,,,,,,,,,,,,,,,,,,,,
                Classification Board,"8,402",528,654,0,898,0,0,0,"1,976",204,232,0,446,0,"3,957",0,100,471,0,75,0,0,0,0,"17,943"
          National Anti-Poverty Commission,"23,164","1,761",695,0,"4,088","2,526",0,0,"2,118",701,"1,086",0,0,0,"17,162","1,316",41,"17,215",0,175,0,0,0,0,"72,048"
          Climate Change Commission,"17,271",669,0,0,"8,984","1,403",0,415,124,718,592,0,216,0,"1,577","1,402","1,310","6,617",0,616,0,96,0,0,"42,010"
          National Commission for Culture and the Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
               National Commission for Culture and the,,,,,,,,,,,,,,,,,,,,,,,,,
                     Arts (Proper),"24,201","5,697",867,51,"10,665","4,605",0,"188,000","6,000","2,200",220,0,"1,320",0,"47,750","2,630","1,020","9,500",2,300,0,150,0,0,"305,178"
               National Historical Commission of the,,,,,,,,,,,,,,,,,,,,,,,,,
                     Philippines (National Historical Institute),"3,331","1,216","2,735",9,"8,468",808,0,0,"5,542",749,110,0,192,0,"14,365","3,619","1,555","2,404",0,741,"1,000",173,0,0,"47,017"
               The National Library of the Philippines,,,,,,,,,,,,,,,,,,,,,,,,,
                     (The National Library),"2,764","4,390","2,846",0,"6,368",0,0,0,"9,940","2,370",110,0,"1,320",0,"15,755",850,0,100,0,809,0,192,0,0,"47,814"
               National Archives of the Philippines,,,,,,,,,,,,,,,,,,,,,,,,,
                     (formerly Records Management and,,,,,,,,,,,,,,,,,,,,,,,,,
                     Archives Office),"2,640",546,"1,075",100,"4,300","9,908",0,0,"4,720",681,110,0,589,0,"15,318",800,80,412,0,80,0,100,0,0,"41,459"
          National Commission on Indigenous Peoples,"23,449","10,392","3,399",906,"14,970","15,123",0,"166,732","8,134","2,677","3,173",0,"1,931",0,"6,128","1,149",0,"2,698",0,844,"8,360",0,0,0,"270,065"
          National Intelligence Coordinating Agency,"18,162","15,419","9,566",623,"19,405","8,401",0,10,"25,389","3,000","3,408","20,000","1,916",0,"6,052",40,0,"5,058",0,835,0,0,0,0,"137,284"
          National Security Council,"4,000","6,181","3,547",0,"5,401",912,0,0,"4,670",400,"1,642",0,350,0,"5,058",0,0,"6,213",0,"2,095",0,0,0,0,"40,469"
          National Commission on Muslim Filipinos,,,,,,,,,,,,,,,,,,,,,,,,,
                (Office on Muslim Affairs),"19,954","4,355","1,040",145,"6,704","18,301",0,"5,598","6,065","2,883","3,532",0,135,0,"9,970","1,043",736,"2,430",0,263,0,0,0,0,"83,154"
          National Telecommunications Commission,"5,410","4,240","3,960",0,"12,390","1,530",0,0,"11,546","1,420","1,258",0,"2,465",0,"13,238",200,410,"1,500",0,382,0,0,0,0,"59,949"
          Office of the Presidential Adviser on the,,,,,,,,,,,,,,,,,,,,,,,,,
                Peace Process,"80,706","14,117","6,845",112,"17,669","16,226",0,"291,000","4,573","11,894","3,376",0,585,0,"31,112","1,046",685,"33,150",0,"1,374",0,0,0,0,"514,470"
          Optical Media Board,"4,204",322,609,0,"1,931","5,571",0,0,"1,434",200,216,0,269,0,"1,542",80,50,667,0,50,0,0,0,0,"17,145"
          Philippine Commission on Women (National,,,,,,,,,,,,,,,,,,,,,,,,,
                Commission on the Role of Filipino Women),"5,540","1,817",437,0,"7,861","1,090",0,0,"2,510",355,110,0,370,0,"48,795","5,739","1,129",0,0,40,0,0,0,0,"75,793"
          Pasig River Rehabilitation Commission,370,708,"4,420",0,"78,298","3,375",0,0,"3,815","5,202",110,0,453,0,"73,733",350,300,672,0,108,0,0,0,0,"171,914"
          Philippine Drug Enforcement Agency,"4,968","3,683","12,747",0,"76,837","42,900",0,0,"11,402","10,000",281,"43,600",326,0,"29,038","11,469",0,0,0,0,0,0,0,0,"247,251"
          Philippine Racing Commission,"2,104","1,015","2,418",0,"1,420","1,500",0,0,"1,120",770,210,0,220,0,"70,317",20,0,0,0,46,0,0,0,0,"81,160"
          Philippine Sports Commission,"23,541","4,330","21,650","4,255","38,094","3,190",0,"1,815","16,780","16,205",600,0,607,0,"21,275",0,"5,030",0,0,"4,212",0,0,0,0,"161,584"
          Presidential Commission for the Urban Poor,"3,528","2,259",648,0,"3,562","3,846",0,0,"2,276","8,800",390,0,172,0,"6,710",0,0,0,0,72,0,0,0,0,"32,263"
          Presidential Communications Development and,,,,,,,,,,,,,,,,,,,,,,,,,
                Strategic Planning Office,"6,000","2,844","2,353",151,"2,256",180,0,0,"2,400",511,765,0,251,0,"9,089",510,0,"3,000",0,359,0,51,0,0,"30,720"
          Presidential Legislative Liaison Office,710,834,450,0,"1,900",170,0,50,0,220,832,0,180,0,"2,785",0,0,"1,968",0,90,0,0,50,0,"10,239"
          Presidential Management Staff,"15,057","10,890","9,107",0,"19,121","22,860",0,0,"15,865","1,500","2,714",0,0,0,"18,617",20,163,"1,017",0,588,0,0,0,0,"117,519"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Autonomous Region in Muslim Mindanao,"65,793","27,727","318,385","13,878","494,308","22,955",135,"671,188","45,128","163,240","11,007",0,"1,752",0,"308,405","3,148","4,568","2,519",0,971,"1,147",428,0,120,"2,156,802"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Autonomous Regional Government in Muslim Mindanao,"65,793","27,727","318,385","13,878","494,308","22,955",135,"671,188","45,128","163,240","11,007",0,"1,752",0,"308,405","3,148","4,568","2,519",0,971,"1,147",428,0,120,"2,156,802"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Joint Legislative-Executive Councils,27,44,40,0,372,0,0,0,0,15,0,0,0,0,0,0,0,0,0,14,0,0,0,0,512
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Legislative-Executive Development Advisory Council,27,44,40,0,372,0,0,0,0,15,0,0,0,0,0,0,0,0,0,14,0,0,0,0,512
,,,,,,,,,,,,,,,,,,,,,,,,,
     The Judiciary,"172,836","173,948","672,594","6,287","745,337","221,663",0,"59,983","395,555","110,497","233,572",0,"76,806",0,"739,106",973,"11,948","20,752",0,"19,749",0,190,154,0,"3,661,950"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Supreme Court of the Philippines and the,,,,,,,,,,,,,,,,,,,,,,,,,
                Lower Courts,"143,291","143,205","626,409","4,013","634,633","200,334",0,"59,983","279,831","82,921","212,555",0,"66,794",0,"644,425",0,"9,036","19,500",0,0,0,0,0,0,"3,126,930"
               Presidential Electoral Tribunal,0,519,71,32,191,570,0,0,233,0,271,0,36,0,"10,482",0,0,0,0,0,0,0,0,0,"12,405"
          Sandiganbayan,"8,202","2,934","23,595",103,"14,322","1,028",0,0,"36,000","16,919","3,232",0,"2,135",0,"5,740",103,206,0,0,309,0,0,154,0,"114,982"
          Court of Appeals,"16,680","21,770","20,537",733,"86,229","17,050",0,0,"67,921","10,071","14,400",0,"5,120",0,"65,299",769,"1,661",0,0,"19,221",0,58,0,0,"347,519"
          Court of Tax Appeals,"4,663","5,520","1,982","1,406","9,962","2,681",0,0,"11,570",586,"3,114",0,"2,721",0,"13,160",101,"1,045","1,252",0,219,0,132,0,0,"60,114"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Civil Service Commission,"13,421","18,787","6,307","2,544","33,644","3,321",0,"10,000","11,130","11,971","5,275",0,"2,106",0,"21,546",681,"2,376","5,269",0,235,0,81,0,"7,112","155,806"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Civil Service Commission,"11,240","17,229","5,662","2,544","32,278","3,321",0,"10,000","9,232","7,243","4,965",0,"1,798",0,"9,964",281,"1,875","3,853",0,235,0,81,0,"7,112","128,913"
               Career Executive Service Board,"2,181","1,558",645,0,"1,366",0,0,0,"1,898","4,728",310,0,308,0,"11,582",400,501,"1,416",0,0,0,0,0,0,"26,893"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Commission on Audit,"78,091","16,811","36,884",147,"40,649",39,13,0,"64,239","22,819","4,024",0,"4,583",0,"39,550",727,519,"2,541",0,"1,083",0,0,0,0,"312,719"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,,
     Commission on Elections,"41,868","24,679","9,833","3,307","887,002","7,030,389",0,"1,000","40,493","29,438","4,466",0,"3,280",0,"86,237",60,"1,236",0,0,"1,030",0,0,0,0,"8,164,318"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the Ombudsman,"15,415","15,483","6,394","2,313","23,503","13,953",0,0,"23,002","8,836","14,505","3,000","2,087",0,"45,847","6,570","9,047",457,0,"2,006",0,72,0,0,"192,490"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,,
     Commission on Human Rights,"12,245","6,080","2,085",265,"7,649","10,425",5,"3,500","5,895","9,164","1,612",0,612,0,"6,669","1,040",95,731,0,275,0,450,0,0,"68,797"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
SPECIAL PURPOSE FUNDS,0,"3,280","834,629",0,"93,100","2,000","333,107,000","318,767,200","39,000",0,0,0,"33,043,200",0,"1,599,702",0,40,0,0,0,0,"1,795,953",0,0,"689,285,104"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,,
     Budgetary Support to Government Corporations,0,0,0,0,0,0,0,"18,170,713",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,170,713"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Department of Agriculture,0,0,0,0,0,0,0,"7,667,699",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,667,699"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               National Dairy Authority,0,0,0,0,0,0,0,"170,472",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"170,472"
               National Food Authority,0,0,0,0,0,0,0,"4,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,000,000"
               National Irrigation Administration,0,0,0,0,0,0,0,"2,060,598",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,060,598"
               National Tobacco Administration,0,0,0,0,0,0,0,"219,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"219,200"
               Philippine Coconut Authority,0,0,0,0,0,0,0,"692,757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"692,757"
               Philippine Crop Insurance Corporation,0,0,0,0,0,0,0,"183,771",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"183,771"
               Philippine Rice Research Institute,0,0,0,0,0,0,0,"340,901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"340,901"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Department of Energy,0,0,0,0,0,0,0,"2,568,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,568,500"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               National Electrification Administration,0,0,0,0,0,0,0,"2,568,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,568,500"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Department of Health,0,0,0,0,0,0,0,"894,360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"894,360"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
