region,higher_education_institution,number_of_faculty,number_of_students,faculty_student_ratio
VII (Central Visayas),Saint Louis College-Cebu ,28,20,1 is to 1
VII (Central Visayas),Mary Our Help Technical Institute for Women,100,19,1 is to 5
VII (Central Visayas),Carmelite College-Siquijor ,32,10,1 is to 3
VII (Central Visayas),Rosemont Hills Montessori Academy ,20,12,1 is to 2
VII (Central Visayas),I.K.O.N. College ,143,10,1 is to 14
VII (Central Visayas),Tabor Hills College,26,11,1 is to 2
VII (Central Visayas),Rizwoods Colleges,ND,12,ND
VIII (Eastern Visayas),Asian Development Foundation College,4063,76,1 is to 53
VIII (Eastern Visayas),Christ the King College-Calbayog City,1209,45,1 is to 27
VIII (Eastern Visayas),The College of Maasin,456,83,1 is to 5
VIII (Eastern Visayas),Dr. V. Orestes Romualdez Educational Foundation,257,16,1 is to 16
VIII (Eastern Visayas),Dona Remedios Trinidad Medical Foundation,1037,133,1 is to 8
VIII (Eastern Visayas),Franciscan College of the Immaculate Conception,602,39,1 is to 15
VIII (Eastern Visayas),Holy Infant College,658,48,1 is to 14
VIII (Eastern Visayas),Leyte Colleges,2216,94,1 is to 24
VIII (Eastern Visayas),Northern Leyte College,87,15,1 is to 6
VIII (Eastern Visayas),Saint Mary's College of Catbalogan,1187,39,1 is to 30
VIII (Eastern Visayas),Sacred Heart Seminary,56,15,1 is to 4
VIII (Eastern Visayas),Saint Francis College,87,18,1 is to 5
VIII (Eastern Visayas),Saint Joseph College,2993,119,1 is to 25
VIII (Eastern Visayas),St. Mary's College of Borongan,343,33,1 is to 10
VIII (Eastern Visayas),Saint Peter's College of Ormoc,384,28,1 is to 14
VIII (Eastern Visayas),St. Vincent De Paul College Seminary,68,13,1 is to 5
VIII (Eastern Visayas),Samar College,2819,78,1 is to 36
VIII (Eastern Visayas),Colegio De San Lorenzo Ruiz De Manila of Northern Samar,754,104,1 is to 7
VIII (Eastern Visayas),Saint James College of Padre Burgos,59,16,1 is to 4
VIII (Eastern Visayas),Saint Paul School of Business and Law,3585,45,1 is to 80
VIII (Eastern Visayas),Saint Thomas Aquinas College,138,30,1 is to 5
VIII (Eastern Visayas),Sto. Nino College of Ormoc,663,40,1 is to 17
VIII (Eastern Visayas),Western Leyte College of Ormoc City,1804,98,1 is to 18
VIII (Eastern Visayas),J.E. Mondejar Computer College,236,36,1 is to 7
VIII (Eastern Visayas),Mater Divinae Gratiae College,177,16,1 is to 11
VIII (Eastern Visayas),Our Lady of Mercy College,262,20,1 is to 13
VIII (Eastern Visayas),Bato Institute of Science and Technology,547,22,1 is to 25
VIII (Eastern Visayas),Holy Cross College of Carigara,373,32,1 is to 12
VIII (Eastern Visayas),STI College-Tacloban,332,19,1 is to 17
VIII (Eastern Visayas),Jose Navarro Polytechnic College,76,16,1 is to 5
VIII (Eastern Visayas),STI College-Ormoc,580,27,1 is to 21
VIII (Eastern Visayas),Eastern Visayas Central Colleges,636,26,1 is to 24
VIII (Eastern Visayas),AMA Computer College-Tacloban City,255,14,1 is to 18
VIII (Eastern Visayas),Saint Scholastica's College Tacloban,839,50,1 is to 17
VIII (Eastern Visayas),ABE International College of Business and Economics-Tacloban City,436,18,1 is to 24
VIII (Eastern Visayas),Saint Michael College-Hindang Campus,408,33,1 is to 12
VIII (Eastern Visayas),Holy Spirit College Foundation of Leyte,119,17,1 is to 7
VIII (Eastern Visayas),MLG College of Learning,247,14,1 is to 18
VIII (Eastern Visayas),Northern Samar Colleges,164,31,1 is to 5
VIII (Eastern Visayas),"Asia College of Advance Studies In Arts, Sciences and Technology",867,25,1 is to 35
VIII (Eastern Visayas),Leyte School of Professionals,79,6,1 is to 13
VIII (Eastern Visayas),St. John the Evangelist School of Theology,15,36,1 is to 0
VIII (Eastern Visayas),Colegio De San Juan Samar,414,24,1 is to 17
VIII (Eastern Visayas),Colegio De Sta. Lourdes of Leyte Foundation,170,31,1 is to 5
VIII (Eastern Visayas),East Pacific Computer College,200,12,1 is to 17
VIII (Eastern Visayas),Colegio de la Salle Fondation de Tacloban,462,15,1 is to 31
VIII (Eastern Visayas),Holy Virgin of Salvacion Foundation College,60,17,1 is to 4
VIII (Eastern Visayas),San Lorenzo Ruiz College of Ormoc,238,31,1 is to 8
VIII (Eastern Visayas),ACLC College of Tacloban City,1344,41,1 is to 33
VIII (Eastern Visayas),Calbiga Western Samar College,144,17,1 is to 8
VIII (Eastern Visayas),ACLC College of Ormoc,206,10,1 is to 21
VIII (Eastern Visayas),Tan Ting Bing Memorial Colleges Foundation,627,18,1 is to 35
VIII (Eastern Visayas),Global School for Technological Studies,133,24,1 is to 6
VIII (Eastern Visayas),Visayas Christian Institute of Technology,66,8,1 is to 8
IX (Zamboanga Peninsula),Andres Bonifacio College,1938,106,1 is to 18
IX (Zamboanga Peninsula),Ateneo De Zamboanga University,4334,270,1 is to 16
IX (Zamboanga Peninsula),Brent Hospital and Colleges,1304,81,1 is to 16
IX (Zamboanga Peninsula),Claret College of Isabela,1234,67,1 is to 18
IX (Zamboanga Peninsula),Dipolog Medical Center College Foundation,845,79,1 is to 11
IX (Zamboanga Peninsula),Dr. Aurelio Mendoza Memorial College,1056,45,1 is to 23
IX (Zamboanga Peninsula),Immaculate Conception Archdiocesan School,237,21,1 is to 11
IX (Zamboanga Peninsula),Juan S. Alano Memorial School,83,12,1 is to 7
IX (Zamboanga Peninsula),Marian College,578,32,1 is to 18
IX (Zamboanga Peninsula),Mein College,215,28,1 is to 8
IX (Zamboanga Peninsula),Blancia College Foundation,265,23,1 is to 12
IX (Zamboanga Peninsula),Philippine Advent College,623,44,1 is to 14
IX (Zamboanga Peninsula),Pilar College,1314,87,1 is to 15
IX (Zamboanga Peninsula),Rizal Memorial Institute of Dapitan City,254,23,1 is to 11
IX (Zamboanga Peninsula),Saint Columban College,3438,90,1 is to 38
IX (Zamboanga Peninsula),Saint John Hospital and Colleges,199,18,1 is to 11
IX (Zamboanga Peninsula),Saint Joseph College,1739,46,1 is to 38
IX (Zamboanga Peninsula),Saint Vincent's College,4385,115,1 is to 38
IX (Zamboanga Peninsula),Saint Estanislao Kostka College,112,16,1 is to 7
IX (Zamboanga Peninsula),Southern Mindanao College-Agro Tech,17,2,1 is to 9
IX (Zamboanga Peninsula),Southern City Colleges,1054,49,1 is to 22
IX (Zamboanga Peninsula),Southern Mindanao Colleges,4554,127,1 is to 36
IX (Zamboanga Peninsula),Universidad de Zamboanga,7163,270,1 is to 27
IX (Zamboanga Peninsula),STI College-Zamboanga,406,30,1 is to 14
IX (Zamboanga Peninsula),Medina College-Pagadian,601,32,1 is to 19
IX (Zamboanga Peninsula),Zamboanga Del Sur Maritime Institute of Technology,2313,56,1 is to 41
IX (Zamboanga Peninsula),Pagadian Capitol College,849,42,1 is to 20
IX (Zamboanga Peninsula),Aurora Pioneer Memorial College,387,42,1 is to 9
IX (Zamboanga Peninsula),Dipolog City Institute of Technology,324,28,1 is to 12
IX (Zamboanga Peninsula),Ebenezer Bible College and Seminary,64,23,1 is to 3
IX (Zamboanga Peninsula),St. Mary's College of Labason,316,29,1 is to 11
IX (Zamboanga Peninsula),AMA Computer College-Zamboanga City,584,24,1 is to 24
IX (Zamboanga Peninsula),Colegio De San Francisco Javier,608,29,1 is to 21
IX (Zamboanga Peninsula),Richmond Montessori College,9,8,1 is to 1
IX (Zamboanga Peninsula),Computer Technologies Institute of Zamboanga City,188,12,1 is to 16
IX (Zamboanga Peninsula),Computer Technologies Institute of Basilan,34,10,1 is to 3
IX (Zamboanga Peninsula),HMIJ Foundation Philippine Islamic College,186,20,1 is to 9
IX (Zamboanga Peninsula),Eastern Mindanao College of Technology,133,26,1 is to 5
IX (Zamboanga Peninsula),Universidad de Zamboanga-Ipil,788,42,1 is to 19
IX (Zamboanga Peninsula),Medina College-Ipil,376,21,1 is to 18
IX (Zamboanga Peninsula),Southwestern Philippines Foundation College,12,5,1 is to 2
IX (Zamboanga Peninsula),Philippine Technological and Marine Sciences-Zamboanga del Sur,38,7,1 is to 5
IX (Zamboanga Peninsula),Western Mindanao Foundation College,282,13,1 is to 22
IX (Zamboanga Peninsula),Southern Peninsula College,221,21,1 is to 11
IX (Zamboanga Peninsula),Lucan Polytechnic College,104,21,1 is to 5
IX (Zamboanga Peninsula),Sibugay Technical Institute,1492,41,1 is to 36
IX (Zamboanga Peninsula),Mendero College,107,9,1 is to 12
IX (Zamboanga Peninsula),Aim High College,68,9,1 is to 8
IX (Zamboanga Peninsula),Ave Maria College,106,16,1 is to 7
IX (Zamboanga Peninsula),Hyrons College Philippines,71,15,1 is to 5
IX (Zamboanga Peninsula),Nuevo Zamboanga College,344,23,1 is to 15
IX (Zamboanga Peninsula),Pastor Bonus Seminary,60,19,1 is to 3
IX (Zamboanga Peninsula),Philippine Advent College-Salug,47,13,1 is to 4
IX (Zamboanga Peninsula),Yllana Bay View College,362,22,1 is to 16
X (Northern Mindanao),Alemarz School of Science and Technology Foundation,34,12,1 is to 3
X (Northern Mindanao),Blessed Mother College,124,28,1 is to 4
X (Northern Mindanao),Capitol University,5637,163,1 is to 35
X (Northern Mindanao),Cagayan De Oro College,5608,190,1 is to 30
X (Northern Mindanao),Christ the King College,851,59,1 is to 14
X (Northern Mindanao),Colegio De Santo Nino De Jasaan,199,16,1 is to 12
X (Northern Mindanao),Fatima College of Camiguin,560,42,1 is to 13
X (Northern Mindanao),Gingoog City Junior College,644,38,1 is to 17
X (Northern Mindanao),Gingoog Christian College,354,23,1 is to 15
X (Northern Mindanao),Guevarra Institute of Technology,11,8,1 is to 1
X (Northern Mindanao),La Salle University,3653,162,1 is to 23
X (Northern Mindanao),Liceo De Cagayan University,6818,352,1 is to 19
X (Northern Mindanao),Lourdes College,1683,120,1 is to 14
X (Northern Mindanao),Medina College,1698,59,1 is to 29
X (Northern Mindanao),Medina Foundation College,378,15,1 is to 25
X (Northern Mindanao),Mindanao Arts and Technological Institute,463,18,1 is to 26
X (Northern Mindanao),Misamis Institute of Technology,945,38,1 is to 25
X (Northern Mindanao),Misamis University-Ozamis City,5748,229,1 is to 25
X (Northern Mindanao),Misamis University-Oroquieta City,808,37,1 is to 22
X (Northern Mindanao),Mountain View College,1930,115,1 is to 17
X (Northern Mindanao),Golden Heritage Polytechnic College,701,39,1 is to 18
X (Northern Mindanao),Northwestern Mindanao Christian Colleges,59,13,1 is to 5
X (Northern Mindanao),Philippine College Foundation,321,26,1 is to 12
X (Northern Mindanao),Pilgrim Christian College,703,72,1 is to 10
X (Northern Mindanao),Quezon Institute of Technology,389,17,1 is to 23
X (Northern Mindanao),Sacred Heart College of Calamba,484,25,1 is to 19
X (Northern Mindanao),St. John Vianney Theological Seminary,64,20,1 is to 3
X (Northern Mindanao),St. Peter's College of Balingasag,539,32,1 is to 17
X (Northern Mindanao),St. Rita's College of Balingasag,961,43,1 is to 22
X (Northern Mindanao),San Agustin Institute of Technology,701,47,1 is to 15
X (Northern Mindanao),San Isidro College,793,64,1 is to 12
X (Northern Mindanao),Southern Bukidnon Foundation Academy,83,13,1 is to 6
X (Northern Mindanao),Southern Capital Colleges,456,19,1 is to 24
X (Northern Mindanao),Southern De Oro Philippines College,1890,48,1 is to 39
X (Northern Mindanao),Stella Maris College,662,25,1 is to 26
X (Northern Mindanao),Valencia Colleges,644,38,1 is to 17
X (Northern Mindanao),Xavier University,10860,565,1 is to 19
X (Northern Mindanao),STI Colleges of Mindanao,760,34,1 is to 22
X (Northern Mindanao),AMA Computer College,336,14,1 is to 24
X (Northern Mindanao),Philippine Computer College,605,25,1 is to 24
X (Northern Mindanao),Roman C. Villalon Memorial Colleges Foundation,415,26,1 is to 16
X (Northern Mindanao),Oro Bible College,22,11,1 is to 2
X (Northern Mindanao),Dr. Solomon U. Molina College,99,18,1 is to 6
X (Northern Mindanao),Adventist Technological Institute,70,13,1 is to 5
X (Northern Mindanao),Southern Maramag Colleges,71,10,1 is to 7
X (Northern Mindanao),ACLC College of Bukidnon,613,16,1 is to 38
X (Northern Mindanao),IBA College of Mindanao,404,36,1 is to 11
X (Northern Mindanao),Misamis Oriental Institute of Science and Technology,764,35,1 is to 22
X (Northern Mindanao),St. Mary's Maternity and Children's Hospital School,16,12,1 is to 1
X (Northern Mindanao),The New El Salvador Colleges,26,17,1 is to 2
X (Northern Mindanao),Our Lady of Triumph Institute of Technology,515,22,1 is to 23
X (Northern Mindanao),Vineyard International Polytechnic College,16,6,1 is to 3
X (Northern Mindanao),Northwestern Mindanao Institute of Technology,14,11,1 is to 1
X (Northern Mindanao),North Central Mindanao Colleges,1736,70,1 is to 25
X (Northern Mindanao),Iligan Capitol College,1174,39,1 is to 30
X (Northern Mindanao),ICTI Polytechnic College,71,28,1 is to 3
X (Northern Mindanao),Iligan Medical Center College,1923,70,1 is to 27
X (Northern Mindanao),Mindanao Sanitarium and Hospital College,1157,68,1 is to 17
X (Northern Mindanao),St. Michael's College,2987,134,1 is to 22
X (Northern Mindanao),St. Peter's College-lligan City,4360,107,1 is to 41
X (Northern Mindanao),Santa Monica Institute of Technology,124,14,1 is to 9
X (Northern Mindanao),Lyceum of Iligan Foundation,1144,44,1 is to 26
X (Northern Mindanao),Christ The King College De Maranding,689,35,1 is to 20
X (Northern Mindanao),Lanao School of Science and Technology,499,30,1 is to 17
X (Northern Mindanao),Masters Technological Institute of Mindanao,227,16,1 is to 14
X (Northern Mindanao),Picardal Institute of Science and Technology,28,10,1 is to 3
XI (Davao Region),Agro-Industrial Foundation College of the Philippines-Davao ,1382,29,1 is to 48
XI (Davao Region),AMA Computer College-Davao,981,36,1 is to 27
XI (Davao Region),Arriesgado College Foundation,595,44,1 is to 14
XI (Davao Region),Assumption College of Nabunturan,808,45,1 is to 18
XI (Davao Region),Ateneo De Davao University,9465,451,1 is to 21
XI (Davao Region),Brokenshire College,1906,124,1 is to 15
XI (Davao Region),Cor Jesu College,2609,113,1 is to 23
XI (Davao Region),Davao Central College,1025,56,1 is to 18
XI (Davao Region),Davao Doctors College,1607,103,1 is to 16
XI (Davao Region),Davao Medical School Foundation College,1363,369,1 is to 4
XI (Davao Region),DMMA College of Southern Philippines,3692,109,1 is to 34
XI (Davao Region),Fabie School of Midwifery,27,9,1 is to 3
XI (Davao Region),Ford Academy of the Arts,19,11,1 is to 2
XI (Davao Region),General Baptist Bible College,81,9,1 is to 9
XI (Davao Region),Holy Cross College of Calinan,751,36,1 is to 21
XI (Davao Region),Holy Cross of Bansalan College,567,38,1 is to 15
XI (Davao Region),Holy Cross of Davao College,11557,367,1 is to 31
XI (Davao Region),Liceo De Davao,219,15,1 is to 15
XI (Davao Region),Mati Polytechnic College,729,22,1 is to 33
XI (Davao Region),MATS College of Technology,2515,117,1 is to 21
XI (Davao Region),Mindanao Medical Foundation College,389,38,1 is to 10
XI (Davao Region),North Davao College-Tagum Foundation,131,17,1 is to 8
XI (Davao Region),North Davao Colleges-Panabo,725,22,1 is to 33
XI (Davao Region),Philippine Women's College of Davao,1232,64,1 is to 19
XI (Davao Region),Polytechnic College of Davao del Sur,936,58,1 is to 16
XI (Davao Region),Queen of Apostles College Seminary,142,20,1 is to 7
XI (Davao Region),Rizal Memorial Colleges,1675,62,1 is to 27
XI (Davao Region),Saint Francis Xavier College Seminary,181,17,1 is to 11
XI (Davao Region),Saint Mary's College of Tagum,2641,100,1 is to 26
XI (Davao Region),Saint Peter's College of Toril,902,68,1 is to 13
XI (Davao Region),San Pedro College,4913,276,1 is to 18
XI (Davao Region),Serapion C. Basalo Memorial Foundation College,195,10,1 is to 20
XI (Davao Region),Southeastern College of Padada,940,23,1 is to 41
XI (Davao Region),Southern Philippine Adventist College,429,51,1 is to 8
XI (Davao Region),Tecarro College Foundation,67,13,1 is to 5
XI (Davao Region),UM Bansalan College,416,18,1 is to 23
XI (Davao Region),UM Digos College,2387,64,1 is to 37
XI (Davao Region),UM Guianga College,179,17,1 is to 11
XI (Davao Region),UM Panabo College,678,30,1 is to 23
XI (Davao Region),UM Tagum College,8108,187,1 is to 43
XI (Davao Region),University of Mindanao,19957,455,1 is to 44
XI (Davao Region),University of the Immaculate Conception,5652,177,1 is to 32
XI (Davao Region),Joji Ilagan Career Center Foundation,614,23,1 is to 27
XI (Davao Region),St. Francis Xavier Regional Major Seminary of Mindanao,70,17,1 is to 4
XI (Davao Region),Assumption College of Davao,975,43,1 is to 23
XI (Davao Region),Interface Computer College,414,11,1 is to 38
XI (Davao Region),UM Penaplata College,240,16,1 is to 15
XI (Davao Region),Aces Tagum College,694,32,1 is to 22
XI (Davao Region),John Paul II College of Davao,2041,76,1 is to 27
XI (Davao Region),Philippine College of Technology,899,42,1 is to 21
XI (Davao Region),Mindanao Kokosai Daigaku,339,21,1 is to 16
XI (Davao Region),Holy Child School of Davao,693,37,1 is to 19
XI (Davao Region),Mati Doctors College,312,42,1 is to 7
XI (Davao Region),Southern Philippines Baptist Theological Seminary,62,14,1 is to 4
XI (Davao Region),STI College-Davao,442,34,1 is to 13
XI (Davao Region),Jose Maria College,1055,71,1 is to 15
XI (Davao Region),Estela College,135,17,1 is to 8
XI (Davao Region),Christian Colleges of Southeast Asia,444,36,1 is to 12
XI (Davao Region),Davao Winchester Colleges,230,18,1 is to 13
XI (Davao Region),Legacy College of Compostela,521,30,1 is to 17
XI (Davao Region),Holy Cross of Davao College-Babak,162,25,1 is to 6
XI (Davao Region),St. Mary's College Baganga,258,24,1 is to 11
XI (Davao Region),Intercity College of Science and Technology,229,20,1 is to 11
XI (Davao Region),Holy Cross Academy of Sasa,166,10,1 is to 17
XI (Davao Region),Laak Institute Foundation,63,19,1 is to 3
XI (Davao Region),Tagum Doctors College,211,19,1 is to 11
XI (Davao Region),Gabriel Taborin College of Davao Foundation,364,28,1 is to 13
XI (Davao Region),ACES PolytechnicCollege,640,29,1 is to 22
XI (Davao Region),Davao Vision Colleges,236,12,1 is to 20
XI (Davao Region),East West Colleges,118,9,1 is to 13
XI (Davao Region),St. Thomas More School of Law and Business,330,28,1 is to 12
XI (Davao Region),ACQ College of Ministries,223,25,1 is to 9
XI (Davao Region),Christian Academy in Davao Oriental Technological Colleges,21,14,1 is to 2
XI (Davao Region),Koinonia Theological Seminary Foundation,68,10,1 is to 7
XI (Davao Region),Jobs Academy,83,19,1 is to 4
XI (Davao Region),Samson Polytechnic College of Davao,87,ND,ND
XI (Davao Region),Mt. Apo Science Foundation College,28,5,1 is to 6
XI (Davao Region),Northlink Technological College,42,18,1 is to 2
XI (Davao Region),ACLC College of Tagum City,261,11,1 is to 24
XI (Davao Region),Tagum City College of Science and Technology Foundation,366,15,1 is to 24
XII (SOCCSKSARGEN),Nikki Louise College,45,10,1 is to 5
XII (SOCCSKSARGEN),St. Alexius College,865,83,1 is to 10
XII (SOCCSKSARGEN),Edenton Mission College,881,21,1 is to 42
XII (SOCCSKSARGEN),Gensantos Foundation College,6075,151,1 is to 40
XII (SOCCSKSARGEN),Holy Trinity College of General Santos City,3087,104,1 is to 30
XII (SOCCSKSARGEN),King's College of Marbel,424,37,1 is to 11
XII (SOCCSKSARGEN),Mindanao Polytechnic College,4556,121,1 is to 38
XII (SOCCSKSARGEN),Notre Dame of Dadiangas University,4018,197,1 is to 20
XII (SOCCSKSARGEN),Notre Dame of Marbel University,3973,199,1 is to 20
XII (SOCCSKSARGEN),Schola de San Jose,45,7,1 is to 6
XII (SOCCSKSARGEN),Ramon Magsaysay Memorial Colleges,5058,121,1 is to 42
XII (SOCCSKSARGEN),Santa Cruz Mission School,328,10,1 is to 33
XII (SOCCSKSARGEN),STI College-General Santos City,2001,27,1 is to 74
XII (SOCCSKSARGEN),Green Valley College Foundation,708,39,1 is to 18
XII (SOCCSKSARGEN),Marbel School of Science and Technology,301,11,1 is to 27
XII (SOCCSKSARGEN),AMA Computer College-General Santos City,181,10,1 is to 18
XII (SOCCSKSARGEN),Central Mindanao Colleges,1741,76,1 is to 23
XII (SOCCSKSARGEN),Regency Polytechnic College,1587,38,1 is to 42
XII (SOCCSKSARGEN),Cotabato Medical Foundation College,204,24,1 is to 9
XII (SOCCSKSARGEN),De La Vida College,131,16,1 is to 8
XII (SOCCSKSARGEN),Dr. Domingo B. Tamondong Memorial School,52,14,1 is to 4
XII (SOCCSKSARGEN),Dr. P. Ocampo Colleges,430,28,1 is to 15
XII (SOCCSKSARGEN),Headstart College of Cotabato,1076,13,1 is to 83
XII (SOCCSKSARGEN),King's College of Isulan,66,8,1 is to 8
XII (SOCCSKSARGEN),Lebak Family Doctors' School of Midwifery,28,13,1 is to 2
XII (SOCCSKSARGEN),Mindanao Capitol College,325,19,1 is to 17
XII (SOCCSKSARGEN),Colegio de Kidapawan,1735,66,1 is to 26
XII (SOCCSKSARGEN),Northern Cotabato Colleges Foundation,91,8,1 is to 11
XII (SOCCSKSARGEN),Notre Dame Center for Catechesis,33,10,1 is to 3
XII (SOCCSKSARGEN),Notre Dame Hospital and School of Midwifery,196,12,1 is to 16
XII (SOCCSKSARGEN),Notre Dame of Kidapawan College,1739,109,1 is to 16
XII (SOCCSKSARGEN),Notre Dame of Midsayap College,1856,96,1 is to 19
XII (SOCCSKSARGEN),Notre Dame of Salaman College,378,29,1 is to 13
XII (SOCCSKSARGEN),Notre Dame of Tacurong College,1268,71,1 is to 18
XII (SOCCSKSARGEN),Notre Dame University,3865,236,1 is to 16
XII (SOCCSKSARGEN),Quezon Colleges of Southern Philippines,685,22,1 is to 31
XII (SOCCSKSARGEN),St. Benedict College of Cotabato,321,30,1 is to 11
XII (SOCCSKSARGEN),St. Luke's Institute,258,23,1 is to 11
XII (SOCCSKSARGEN),Senator Ninoy Aquino College Foundation,330,18,1 is to 18
XII (SOCCSKSARGEN),Shariff Kabunsuan College,120,15,1 is to 8
XII (SOCCSKSARGEN),Southern Baptist College,1041,54,1 is to 19
XII (SOCCSKSARGEN),Southern Christian College,2607,64,1 is to 41
XII (SOCCSKSARGEN),Southern Mindanao Institute of Technology,1400,40,1 is to 35
XII (SOCCSKSARGEN),Southern Philippines Methodist College,106,15,1 is to 7
XII (SOCCSKSARGEN),St. Luke's Institute of Technology,19,11,1 is to 2
XII (SOCCSKSARGEN),Sultan Kudarat Educational Institution,187,39,1 is to 5
XII (SOCCSKSARGEN),North Valley College Foundation,379,52,1 is to 7
XII (SOCCSKSARGEN),STI College-Cotabato,1787,60,1 is to 30
XII (SOCCSKSARGEN),Central Mindanao Computer School,27,14,1 is to 2
XII (SOCCSKSARGEN),Antonio R. Pacheco College,273,9,1 is to 30
XII (SOCCSKSARGEN),AMA Computer College-Cotabato City,81,8,1 is to 10
XII (SOCCSKSARGEN),Adventist College of Technology,285,25,1 is to 11
XII (SOCCSKSARGEN),Goldenstate College,2417,33,1 is to 73
XII (SOCCSKSARGEN),Kutawato Darrusalam College,36,11,1 is to 3
XII (SOCCSKSARGEN),General Santos Doctors' Medical School Foundation,673,39,1 is to 17
XII (SOCCSKSARGEN),Read Data Access Computer College,104,9,1 is to 12
XII (SOCCSKSARGEN),Notre Dame-Siena College of Polomolok,170,20,1 is to 9
XII (SOCCSKSARGEN),Notre Dame RVM College of Cotabato,456,28,1 is to 16
XII (SOCCSKSARGEN),Brokenshire College-Soccsksargen,313,38,1 is to 8
XII (SOCCSKSARGEN),AMA Computer Learning Center College,301,11,1 is to 27
XII (SOCCSKSARGEN),Holy Child College of Information Technology,379,21,1 is to 18
XII (SOCCSKSARGEN),South East Asian Institute of Technology,167,32,1 is to 5
XII (SOCCSKSARGEN),Valdez Mother and Child City College,488,28,1 is to 17
XII (SOCCSKSARGEN),Asian Colleges and Technological Institute,9,6,1 is to 2
XII (SOCCSKSARGEN),Sta. Maria School of Paramedics and Technology,5,4,1 is to 1
XII (SOCCSKSARGEN),Stratford International School,546,40,1 is to 14
XII (SOCCSKSARGEN),ACLC College of Marbel,532,23,1 is to 23
XII (SOCCSKSARGEN),Korbel Foundation College,415,21,1 is to 20
XII (SOCCSKSARGEN),STI College-Koronadal City,858,22,1 is to 39
XII (SOCCSKSARGEN),Microspan Software Technology,146,16,1 is to 9
XII (SOCCSKSARGEN),I-Link College of Science and Technology,446,6,1 is to 74
XII (SOCCSKSARGEN),Coland Systems Technology,424,17,1 is to 25
XII (SOCCSKSARGEN),Goldenstate College of Koronadal City,707,14,1 is to 51
XII (SOCCSKSARGEN),Marvelous College of Technology,394,23,1 is to 17
XII (SOCCSKSARGEN),International Cruise Ship College,48,15,1 is to 3
XII (SOCCSKSARGEN),STI College-Koronadal City-Tacurong City Branch,443,23,1 is to 19
XII (SOCCSKSARGEN),B.E.S.T. College of Polomolok,142,16,1 is to 9
XII (SOCCSKSARGEN),Ramon Magsaysay Memorial College-Marbel,534,17,1 is to 31
XII (SOCCSKSARGEN),General Santos Academy of Polomolok-Cotabato,521,40,1 is to 13
XII (SOCCSKSARGEN),Marbel Institute of Technical College,19,13,1 is to 1
XII (SOCCSKSARGEN),Holy Child College of Information Technology,8,11,1 is to 1
XII (SOCCSKSARGEN),4A School of Excellence,26,13,1 is to 2
XII (SOCCSKSARGEN),Joji Ilagan International School of Hotel and Tourism Management,207,10,1 is to 21
XII (SOCCSKSARGEN),Northpoint College of Arts and Technology,16,22,1 is to 1
XII (SOCCSKSARGEN),MMG School of Paramedics and Allied Sciences,4,8,1 is to 1
XII (SOCCSKSARGEN),Villamor Institute of Technology,291,13,1 is to 22
XII (SOCCSKSARGEN),Cronasia Foundation College,763,47,1 is to 16
XII (SOCCSKSARGEN),Green Valley College Foundation-Isulan Campus,11,12,1 is to 1
NCR (National Capital Region),Adamson University,16181,615,1 is to 26
NCR (National Capital Region),Air Link International Aviation College,825,42,1 is to 20
NCR (National Capital Region),Alejandro Colleges,76,8,1 is to 10
NCR (National Capital Region),Alliance Graduate School,92,24,1 is to 4
NCR (National Capital Region),AMA Computer College-Makati,1358,40,1 is to 34
NCR (National Capital Region),AMA Computer University,2041,76,1 is to 27
NCR (National Capital Region),Arellano University-Manila,5664,309,1 is to 18
NCR (National Capital Region),Arellano University-Malabon,241,28,1 is to 9
NCR (National Capital Region),Arellano University-Pasay,2736,58,1 is to 47
NCR (National Capital Region),Arellano University-Pasig,1548,83,1 is to 19
NCR (National Capital Region),Asia Pacific College,2638,107,1 is to 25
NCR (National Capital Region),Asian Institute for Distance Education ,131,ND,ND
NCR (National Capital Region),Asian Institute of Journalism and Communication,34,5,1 is to 7
NCR (National Capital Region),Asian Institute of Management,397,ND,ND
NCR (National Capital Region),Asian Institute of Maritime Studies,4542,91,1 is to 50
NCR (National Capital Region),Asian Seminary of Christian Ministries,127,31,1 is to 4
NCR (National Capital Region),Asian Social Institute,205,25,1 is to 8
NCR (National Capital Region),Asian Theological Seminary,240,30,1 is to 8
NCR (National Capital Region),Assumption College,1201,110,1 is to 11
NCR (National Capital Region),Ateneo De Manila University,9979,621,1 is to 16
NCR (National Capital Region),Ateneo Graduate School of Business,4035,89,1 is to 45
NCR (National Capital Region),Bernardo College,212,28,1 is to 8
NCR (National Capital Region),Biblical Seminary of the Philippines,130,25,1 is to 5
NCR (National Capital Region),CAP College Foundation,480,ND,ND
NCR (National Capital Region),University of Asia and the Pacific,1879,205,1 is to 9
NCR (National Capital Region),Central Colleges of the Philippines,1772,120,1 is to 15
NCR (National Capital Region),Centro Escolar University-Manila,14896,576,1 is to 26
NCR (National Capital Region),Chiang Kai Shek College,714,46,1 is to 16
NCR (National Capital Region),Chinese General Hospital College of Nursing and Liberal Arts,453,26,1 is to 17
NCR (National Capital Region),Saint Anthony Mary Claret College,165,23,1 is to 7
NCR (National Capital Region),Colegio de San Juan de Letran,4046,152,1 is to 27
NCR (National Capital Region),Colegio de San Lorenzo ,1162,42,1 is to 28
NCR (National Capital Region),College of the Holy Spirit of Manila,561,51,1 is to 11
NCR (National Capital Region),Concordia College,620,58,1 is to 11
