Project Title,Project Description,Implementing Agency,"Total Project Cost
 (in PhP M)",Funding Source,Sector,ICC-TB Dates,ICC-CC Dates,NEDA Board Dates,Implementation Period,"Regions/
 Provinces",Project Status,Status of Compliance with NEDA Board/ICC Conditions,Updates/Implementation Status
Metro Manila Wastewater Management Project,"The following are the sub-projects identified by MWCI and MWSI: 
 1. Pasig North and South Sewerage System/MWCI
 2. San Juan River Basin Project/MWSI
 3. Maricaban Retarding Pond Sewage Treatment Plant/MWSI
 4. Valenzuela Sewerage System/MWSI
 5. Muntinlupa Sewerage System/MWSI
 6. South Septage Treatment Plant/MWSI",Land Bank of the Philippine,"17,043.67",World Bank,Infrastructure,> 03 Sept 2010,> 07 Dec 2010,> 17 May 2011,2011-2015,NCR,"Under Implementation.

The loan agreement became effective on 19 October 2012. One Sewerage Treatment Plant (STP) contract (Manila Water) was awarded in December 2013. Mobilization will start during the first quarter of CY 2014.","The NEDA Board,during its 04 September 2012 meeting, confirmed the ICC-CC's approval of the change of financing scheme for the project. The ICC-CC's approval is with the understanding that:
 a) PSALM Board Resolution 2012-071O-01, authorizing PSALM. together with the NPC, to execute the contract to implement the project, premised on the conduct of the procurement process consistent with the authority granted by the PSALM and NPC Board, the PSALM Board-approved financing scheme and applicable laws, rules and regulations; and
 b) PSALM Board Resolution 2Q12-0710-02, approving the project's financing scheme with an estimated project cost of P2.6 billion, to include the use of on lending by the National Government.
 
 In e-mails to PIS dated 14 September 2012, PSALM shared copies of the PSALM Board Resolutions regarding the change in the financing of Agus 6 with additional signature from PSALM President. 
 
 In a fax transmittal to PIS dated 3 September 2012, PSALM furnished copies of PSALM Board Resolutions No. 2012-0710-03 (with signatures from DOF; DOE (Sec and Usec); DOJ; DTI-BOI) and No. 2012-0710-04 (with signatures from DOF; DOE (Sec and Usec); DOJ; DTI-BOI). PSALM Board Resolution No. 2012-0710-03 approves the Financing Scheme for the Agus VI Hydroelectric Power Plant Uprating Project with an estimated project cost of PhP2.6 billion, to include the use of: (1) PSALM's internally generated funds; (2) on-lending by the National Government; and/or (3) any potential funding source of PSALM.
 
 PSALM Board Resolution No. 2012-0710-04 (1) authorizes PSALM to execute, together with the National Power Corporation (NPC) the Contract to implement the Agus VI Hydroelectric Power Plant Units 1 and 2 Uprating Project (Project); and (2) confirms NPC's authority to conduct the procurement activities for the Project and the necessary compliance with applicable laws, rules and regulations.","Under Implementation.
 
The loan agreement became effective on 19 October 2012. One Sewerage Treatment Plant (STP) contract (Manila Water) was awarded in December 2013. Mobilization will start during the first quarter of CY 2014. 
 
 Closing date is June 30, 2017."
Water District Development Sector Project,"A relending facility under LWUA, which will target pre-credit worthy to semi-credit worthy water districts (WDs) for the rehabilitation and expansion of distribution networks, developing raw water supply, and enhancing the sustainability of WD operations through capacity development in key planning, project and technical areas, and through investments to achieve more sustainable non-revenue water (NRW) levels.",Local Water Utilities Administration,"2,692.80",ADB,Infrastructure,> 10 Dec 2013,> 16 Dec 2013,> 29 May 2014,"Six (6) years
 (2014 Ð 2016)",Region I and SOCSARGEN,"As of August 2014, awaiting Monetary Board (MB) Approval-in-Principle.","Approved, subject to acceleration of implementation to achieve the target 330,000 new service connections earlier.","As of August 2014, awaiting Monetary Board (MB) Approval-in-Principle."
Angat Water Transmission Improvement Project,"Construction of a new tunnel, i.e., Tunnel 4 (4.0 m-wide and 6.4 km-long Tunnel 4 will be located in Norzagaray, Bulacan, that will make it possible to alternately close the older tunnels and aqueducts (AQs) in the conveyance system (i.e., Tunnels 1, 2, 3 and AQs 1, 2, 3 and 4) to conduct necessary inspections and rehabilitation.",Metropolitan Waterworks and Sewerage System,"5,777.54",ADB,Infrastructure,> 27 Nov 2013,> 16 Dec 2013,> 29 May 2014,"Over a period of 52 months
 (actual construction to commence in 2014",Region III and NCR,For ADB Board approval.,Approved.,"As of August 2014, project is for ADB Board approval."
"Strengthening of Angat Dam and Dike Project
 
 Package 1 = Strengthening Works
 Package 2 = Instrumentation (Flood Forecasting and Warning System for dam Operation)
 Package 3 = Consultancy Services","The rehabilitation works will involve the following components:
  a. Main embankment slope flattening;
  b. Dike embankment slope flattening;
  c. Dike embankment fault buttressing; and
  d. Core raising for main dam and dike embankments",Metropolitan Waterworks and Sewerage System,"5,719.90",Local Financing,Infrastructure,> 21 May 2012,> 22 May 2012 (ad referendum),> 04 Sept 2012,Construction Period: 2013-2016,Region III - Bulacan,"Per 5 September 2014 telcon with MWSS, negotiations with K-Water is still Under Implementation.

Invitation to bid was postponed.
 
Based on MWSS 2012 Annual Report, the publication and advertisement of the Invitation to Bid (ITB) was postponed by MWSS to a later date, in view of the Supreme Court's 16 December 2012 Decision declaring the validity of the K-Water Resources Corporation's winning bid on the operations of the Angat Hydro-electric Power Plant (AHEPP), the bidding of which was spearheaded by PSALM.","The NEDA Board confirmed the ICC-approval of the project. The ICC-CC approval of the project subject to submission by the MWSS of the following NEDA-ICC requirements:
 a) Department of Budget and Management-certified budget strategy; and
 b) ECC, prior to project implementation
 
 Updates:
 On the Department of Budget and Management certified budget strategy: still being worked out with Department of Budget and Management.
 
 On the ECC: Per MWSS, the acquisition of an ECC will be included in the invitation to bid, as this will be included in the scope of work of the winning bidder.","Per 5 September 2014 telcon with MWSS, negotiations with K-Water is still Under Implementation.

Based on MWSS 2012 Annual Report, the publication and advertisement of the Invitation to Bid (ITB) was postponed by MWSS to a later date, in view of the Supreme Court's 16 December 2012 Decision declaring the validity of the K-Water Resources Corporation's winning bid on the operations of the Angat Hydro-electric Power Plant (AHEPP), the bidding of which was spearheaded by PSALM.
 
15 November 2012 - Notice of Presentation (Water Quality Management)"
Bulacan Bulk Water Supply Project (BBWSP),"The proposed project will be implemented in a three (3) Ð stage development plan as shown in Table 1, covering 24 WSPs serving 21 municipalities and three (3) cities in Bulacan. Of the 24 WSPs, 22 are water districts (WDs), one (1) is a local government unit (LGU) - run water utility, and one (1) is a private water utility. The WSPs were divided in two (2) groups, which took into account need for water supply first and then geographic location (i.e., proximity to conveyance structures):
  
  Phase 1 Areas include WSPs in Balagtas, Bocaue, Bulacan, Calumpit, Guiguinto, Hagonoy, Sta. Maria, Malolos, Marilao, Meycauayan, Obando, Paombong, and Plaridel.
  
  Phase 2 Areas include WSPs in Angat, Baliwag, Bustos, Pandi, Norzagaray, San
  Miguel, Dona Remedios Trinidad, San Ildefonso, San Jose del Monte, San Rafael, and Pulilan.",Metropolitan Waterworks and Sewerage System,"24,435.24",Public-Private Partnership (PPP),Infrastructure,> 04 Oct 2013,> 04 Oct 2013,"> 29 May 2014 [request for extension of Invitation to Pre-qualify and Bid (ITPB)]
 > 21 Nov 2013","2014-2030 (construction period)
 
 2015-2045 (30-year BOT tender).",Region III - Bulacan,"PPP Center Website: 4 September 2014
 
On-going prequalification of bidders.
Invitation to Prequalify to Bid (ITPB) published on June 20, 2014","In its 19 June 2014 letter, MWSS submitted its compliance with the following NEDA Board conditions: 1. Comparison of the project financial internal rate of return with the MWSS' Concessionaires Appropriate Discount Rate (ADR) for the determination of the bulk water charge. 2. Opinion from the Office of the Government Corporate Counsel (OGCC) OGCC Opinion No. 257 dated 04 December 2013 and supplemental letter dated 04 April 2014 3. Revised Risk Allocation Matrix 4. Response to the 02 October 2013 MWSS' Concessionaires letter 5. Endorsement from Province of bulacan 6. Endorsement from DPWH 7. NEDA requisite documents a. Regional Development Council Endorsement b. Environmental Impact Statement (EIS) and Land Acquisition and Resettlement Plan (LARP) are already included in the submitted Feasibility Study of the project; and c. DOF-CAG Review is already included in the Project Evaluation Report (PER) during the 04 October 2013 ICC meeting.  The ICC-CC approved the project with the understanding that MWSS will provide/address the ff: a. Financial analysis taking into account the FIRR in nominal peso will not exceed the peso equivalent of the inflation-adjusted US dollar Appropriate Discount Rate (ADR) to serve as basis in determining the bulk water charge (BWC); b. OGCC opinion on the following issues: - Exclusivity of franchise to supply treated bulk water to Bulacan; - Treatment of bulk water as non-public utility; - Non-requirement of competitive bidding for the water service providers/water districts; and - Regulatory powers of MWSS over the project.","Status from the PPP Center Website accessed on 4 September 2014
 
On-going prequalification of bidders.
Invitation to Prequalify to Bid (ITPB) published on June 20, 2014

20 May 2014 - Legal Staff memorandum to DG Balisacan stating that any request for extension of time to publish the Invitation to Pre-Qualify and Bid should be properly addressed to the NEDA Board as the approving body of the project, in accordance with Section 2.10 of the Revised BOT IRR.

20 May 2014 - NEDA memorandum for the President requesting for addition/inclusion of the Request for Extension of Deadline to Publish the Invitation to Pre-qualify and Bid (ITPB) for the project.

19 May 2014 - PPP Center letter to NEDA asking that the request of MWSS for extension of publication of ITPB for BBWSP be included in the forthcoming NEDA Board meeting for notation."
New Centennial Water Source Ð Kaliwa Dam Project,"The project is proposed to be implemented through a PPP arrangement under a Build-Transfer with amortization or Build-Lease-Transfer. It involves the financing, design, and construction of the 600 million liters per day (MLD) Kaliwa Dam, intake facilities and other appurtenant facilities; and Water Conveyance Tunnel with a capacity of 2,400 MLD (in anticipation of future construction of the Laiban Dam).",Metropolitan Waterworks and Sewerage System,"18,724.00",Public-Private Partnership (PPP),Infrastructure,c/o PPP Secretariat to the ICC,> 20 Jan 2014,> 29 May 2014,"2014-2015 (from NEDA Board approval to Issuance of Notice to Proceed)
 
 Concession Period:
 25 - 30 years",Region IV-A,"Status from the PPP Center Website accessed on 5 September 2014:

For issuance of invitation to bid (ITB).",Approved.,"Status from the PPP Center Website accessed on 5 September 2014:

For issuance of invitation to bid (ITB)."
"Rehabilitation, Operation and Maintenance of the Angat Hydro Electric Power Plant (AHEPP) Auxiliary Turbines 4 and 5 through PPP Project","Project involves the rehabilitation, operation and maintenance, through the private sector, of two (2) auxiliary turbines (AU-4 and AU-5), which which include the following works: (a) For AU-4and AU-5, replacement of the existing runner with a new runner of better design, and change of Stator winding core, Rotor winding and change of Stator and Rotor Insulation and material of the core of the generators; (b) Replacement of Governor with new microprocessor-based digital technology; (c) Refurbishment. and Automation of Discharge Regulators; (d) Replacement of Exciter & Automatic Voltage Regulator (AVR) with new technology; (e) Replacement / recalibration of locally mounted instruments; (f) Replacement of Control and Protection System by the state-of-the-art system; (g) Refurbishment of Power Transformers; (h) Replacement of Unit Auxiliary Transformers; (i) Replacement/Renovation of switch yard equipment including breakers with independent outgoing 115kV for both the units; (j) Replacement of all 13.8 kVand low tension (LT) switchgear; (k) Replacement of Power and Control Cables; (l) Provision of separate control room with air-conditioning system; (m) Provision of new 90/20 electrical overhead travelling (EOT) Crane exclusively for AU-4 and AU-5; (n) General refurbishment through repair/overhaul and replacement of defective mechanical and electrical items; (o) Common Balance of Plant equipment for both AU-4 and AU-5 particularly direct current (DC) control system, compressor system or Nitrogen accumulator system, drainage and dewatering system, earthing and lightning protection, lighting system, ventilation system, fire fighting system, diesel generating (DG) set etc.; and (p) Construction of new switchyard (115kV) for AU-4 and AU-5 feeding power directly into the utility network.",Metropolitan Waterworks and Sewerage System,"1,155.18",Public-Private Partnership (PPP),Infrastructure,> 07 Nov 2012,> 07 Nov 2012,> 29 Nov 2012,Concession period: 20 years (excluding rehabilitation works of 18 months),Region III - Bulacan,"Per 5 September 2014 telcon with MWSS, negotiations with K-Water is still Under Implementation..
 
 28 August 2013 PPP Center:
 
 For prequalification.","The NEDA Board confirmed the ICC-CC's approval of the project. The ICC-CC's approval is with the understanding that:
 
 a) The final contract between MWSS and the private concessionaire will ensure and include clarification on:
 - To whom the private partner will pay the lease on the land and facilities, and if such is already included in the annual concession fee of the private partner;
 - Availability of land required for the construction of separate facilities;
 - Sharing arrangements and operation control with K-Water and PSALM/NPC for the Angat Hydro Complex's power and non-power components, respectively, including the costs to be shared;
 - Assumption of responsibility of the private proponent in providing benefits to host communities, as provided under Rule 29 of the IRR of RA 9136 or the Electric Power Industry Reform Act of 2001;
 - Proper allocation of risks related to non-force majeure eventualities between the contracting parties; and
 - Private partner adherence to the National Water Resources Board guidelines
 and existing water protocol.
 
 b) MWSS will include the project in the list of priority programs and projects in the Public Investment Program 2011-2016; and
 
 c) MWSS will submit the following remaining ICC requisite documents: (i) Certificate of Non-Coverage from DENR, and (ii) RDC Ill endorsement.","Per 5 September 2014 telcon with MWSS, negotiations with K-Water is still Under Implementation..

28 August 2013 PPP Center:
 
For prequalification.
 
 31 July 2013 (PPP Center):
 Under Bidding Stage
 Awaiting results of the discussion/meeting between K-Water, DOF, DOE and MWSS regarding AHEPP bidding before the publication of the ITPB (resumption of the bidding process, following the failed prequalification stage)"
National Irrigation Sector Rehabilitation and Improvement Project,"The proposed project consists of both hard and soft components, which will be implemented in an integrated manner for securing successful and sustainable project outputs.
 
 The hard component forms bulk of the investment of the project, which includes physical improvement of irrigation facilities, as well as the provision of O&M equipment.
 
 The soft component of the project involves the promotion of IMT and provision of agricultural support. The promotion of IMT involves strengthening programs on NIA-IAs-local government unit (LGU) partnership and Federation of IAs (FIAs)/IAs management and upgrading of O&M contract. Agricultural support includes the provision of support facilities to IAs, establishment of pilot demonstration farms, provision of agricultural machinery, and implementation of training programs for the capacity enhancement of IA members and NIS personnel.",National Irrigation Administration,"4,007.14",JICA,Infrastructure,"> 07 Sept 2011
 > 15 Dec 2010","> 20 Sept 2011
 > 08 Sept 2011",> 08 Nov 2011 (ad referendum),2012-2015,"Regions - I, III, IV, VI, X, XI, XII, and XIII
 
 Provinces of Ilocos, Pangasinan, Quezon, Palawan, Iloilo, Bukidnon, Davao del Sur, Sultan Kudarat, and Agusan del Sur","Under Implementation.
 
 Delayed. Detailed Engineering Design stage. Catch-up plan was prepared to hasten preparation of Detailed Design of the 11 sub-projects and enable procurement of civil works contracts by 3rd quarter of 2014. This is in view of the project lag of about one year, estimated during the 3 February 2014 NIA PIR.","The NB confirmed ad referendum the ICC approval of the project, subject to DA-NIA's submission of the:
 a) Department of Budget and Management-certified budget strategy - (Complied)
 b) Clarification on how the proposed project fit in the irrigation masterplan of the country; and
 c) O&M plan for the project.","Delayed. Detailed Engineering Design stage. Catch-up plan was prepared to hasten preparation of Detailed Design of the 11 sub-projects and enable procurement of civil works contracts by 3rd quarter of 2014. This is in view of the project lag of about one year, estimated during the 3 February 2014 NIA PIR.
 
 Consulting services contract for detailed design is for submission by NIA to JICA by mid-February 2014 (target) to enable consultants to be on-board by the same month. 
 
 Financial Status as of December 2013: 
 Availment Rate: 21.04%
 Disbursement Rate: 10.50%
 Utilization Rate: 2.31%
 
 Establishment of PMO was delayed due to late approval of Department of Budget and Management of PMO plantilla positions. This subsequently resulted in delays in procurement.
 
 Catch-up plan was prepared by NIA, which aims to hasten preparation of Detailed Design of the 11 sub-projects and subsequently lead to procurement of civil works contracts by 3rd quarter of 2014."
Adapting to Climate Change through the Construction of Water Impounding Facilities in the Philippines: Pasa Small Reservoir Irrigation Project (Pasa SRIP),"- construction of a 36.70 m high earthfill dam across Pasa River, with reservoir of active storage of 4.28MCM; 
  - construction of irrigation facilities, with main cana about 5.93 km and lateral canals of 16.20 km;
  - construction of drainage facilities",National Irrigation Administration,"1,029.09",KOICA Grant,Infrastructure,"> 21 Nov 2012
 > 07 Nov 2012","> 22 Nov 2012 
 > 07 Nov 2012",> 18 Jan 2013,2013-2016,Region II - Isabela,"Under Implementation.
 
 The projectÕs Record of Discussions (ROD) was signed on 17 May 2013 among KOICA, DA and the Provincial Government of Isabela.","The NEDA Board confirmed the ICC-CC's approval of the project with instructions to DENR to review the geographical flow (i.e., curves) of the Pasa River, as well as the communities along the river, in anticipation of possible flooding in the area.","Under Implementation.
 
 The projectÕs Record of Discussions (ROD) was signed on 17 May 2013 among KOICA, DA and the Provincial Government of Isabela."
Malinao Dam Improvement Project,"The following are components of the proposed project:
 a. Dam improvement through the construction of additional 2.0 meters in height, from 20.4 meters to 22.4 meters;
 b. Irrigation Area Improvement (land leveling, main farm ditches, lateral canal extension, road repair/improvement, turnouts installation and post harvest facilities);
 c. Institutional Development (capability building of IrrigatorsÕ Associations);
 d. Land Acquisition and Compensation; and
 e. Consulting Services.",National Irrigation Administration,653.75,Local Financing,Infrastructure,"> 19 Feb 2013
 > 15 Dec 2010",> 19 Feb 2013,> 29 May 2014,2014 - 2016,Region VII,"Recently Confirmed by NB.

In a letter to DOE dated 11 July 2014, NEDA referred to the instruction of the NEDA Board during its 13th meeting on 29 May 2014 for NEDA, in coordination with DOE, to conduct a study that would determine whether a power component for the project is a feasible option. NEDA noted that the possibility of building mini hydropower plants/ run-of-the-river hydroelectricity through Public-Private Partnership (PPP) was also brought up during the NEDA Board meeting.","In a letter to DOE dated 11 July 2014, NEDA referred to the instruction of the NEDA Board during its 13th meeting on 29 May 2014 for NEDA, in coordination with DOE, to conduct a study that would determine whether a power component for the project is a feasible option. NEDA noted that the possibility of building mini hydropower plants/ run-of-the-river hydroelectricity through Public-Private Partnership (PPP) was also brought up during the NEDA Board meeting.

In view of the above NEDA Board instructions, NEDA requested DOE to prepare a Terms of Reference (TOR) for the conduct of the feasibility study (F/S) to include Value Engineering/ Value Analysis (VE/VA). NEDA mentioned that the F/S may be funded from the NEDA-administered F/S Fund, unless DOE prefers to conduct the same under another funding source. NEDA provided a TOR template for reference/ consideration. NEDA flagged that the objective of the study is to determine the technical, economic, environmental, social, and financial viability of building mini hydropower plants/ run-of-the-river hydroelectricity, among others, without comprising the main objective of the project, which is to increase agricultural productivity and farm incomes through the delivery of the irrigation projects. The F/S should likewise include a comparison of implementation and financing options.

NEDA mentioned that should the mini hydropower plants/ run-of-the-river hydroelectricity be found viable under the F/S, a separate study will need to be undertaken to determine the appropriate PPP transaction, among others. This may be submitted later on to the PPP Center for consideration under the Project Development and Monitoring Facility (PDMF).

On 29 May 2014 NEDA Board (NB), NB confirmed the ICC-CC's approval of the proposed Malinao Dam Improvement Project, subject to the following conditions:

a. DA-NIA, to vet the sensitivity analysis of the use of hybrid and inbred rice in the viability of the project; and

b. NEDA, in coordination with the Department of Energy, to conduct a study whether a power component for the project is a feasible option.

In addition, should the economic internal rate of return (EIRR) change below the social discount rate of 15 percent after vetting of the sensitivity analysis without the hybrid rice component in tonnage, the project will be deemed deferred.","In a letter to DOE dated 11 July 2014, NEDA referred to the instruction of the NEDA Board during its 13th meeting on 29 May 2014 for NEDA, in coordination with DOE, to conduct a study that would determine whether a power component for the project is a feasible option. NEDA noted that the possibility of building mini hydropower plants/ run-of-the-river hydroelectricity through Public-Private Partnership (PPP) was also brought up during the NEDA Board meeting.

In view of the above NEDA Board instructions, NEDA requested DOE to prepare a Terms of Reference (TOR) for the conduct of the feasibility study (F/S) to include Value Engineering/ Value Analysis (VE/VA). NEDA mentioned that the F/S may be funded from the NEDA-administered F/S Fund, unless DOE prefers to conduct the same under another funding source. NEDA provided a TOR template for reference/ consideration. NEDA flagged that the objective of the study is to determine the technical, economic, environmental, social, and financial viability of building mini hydropower plants/ run-of-the-river hydroelectricity, among others, without comprising the main objective of the project, which is to increase agricultural productivity and farm incomes through the delivery of the irrigation projects. The F/S should likewise include a comparison of implementation and financing options.

NEDA mentioned that should the mini hydropower plants/ run-of-the-river hydroelectricity be found viable under the F/S, a separate study will need to be undertaken to determine the appropriate PPP transaction, among others. This may be submitted later on to the PPP Center for consideration under the Project Development and Monitoring Facility (PDMF)."
"Casecnan Multi-Purpose Irrigation and Power Project-Irrigation Component, Phase II","DA Proposal, approved during the 19 June 2014 NEDA Board meeting: 
 Change in funding source of the project from China ODA to full local financing; and reduction in project cost. 
 
 Under CMIPP-IC Phase II, NIA is proposing the following: i) Construction of the remaining 22.65 kilometers of super diversion canals (SDC) and its accompanying irrigation canals, ii) Improvement of the Pe–aranda River Irrigation System (PENRIS) iii) Establishment of Centralized Operation and Monitoring System (COMS), and iv) Institutional capability building for the transfer of selected irrigation facilities to farmer irrigators associations (FIAs).",National Irrigation Administration,"7,605.20","Local Financing
 
 China
 (NB -Confirmed)
 
 Change in funding source from ODA to Local Financing (ICC-CC Approved on 5 August 2013)",Infrastructure,> 25 Nov 2011,"> 10 Jan 2012 
 > 05 Aug 2013 (change in financing scheme and cost)","> 19 June 2014 (change in funding source and reduction in project cost)
 > 22 Mar 2012",To be completed by June 2016,Region III (Nueva Ecija and some portions of Tarlac),Recently confirmed by the NB.  NIA is currently completing compliance on the NB conditions.,"In a 6 March 2013 letter to NEDA, NIA provided update on the status of their compliance to the NEDA Board conditions for NIA projects.
  
For CMIPPII:
  - 23 May 2012 Department of Agriculture (DA) letter to Department of Budget and Management (Department of Budget and Management) submitting the revised Budget Strategy for Irrigation Program: 2011-2017 of NIA; and
  - 16 May 2012 NIA letter to Department of Budget and Management re-submitting the revised Budget Strategy for Irrigation Program: 2011-2017 of NIA attached with Tables 1 and 2.
  - Land Right-of-Way Acquisition Plan for the proposed irrigation canal alignment (NIA informed that the project has no program on reaettlement of communities and there are no irrigation canals that will directly traverse community centers affecting existing and permanent buildings and structures. )
  -Project Sustainability Plan
  -Updated ECC issued on 11 June 2012 updating the original ECC for MCIP-IC with reference Code No. 111-9807-101-120A
  
In a letter to DA dated 3 April 2012, NIA mentioned that in compliance to the Memorandum dated 22 March 2012 from Hon. Julia Andrea Abad, Secretary, Presidential Management Staff, Office of the President, NIA is submitting the status of the needed documents and information that needs rehabilitation works for Jalaur River Multipurpose Irrigation Project II, Umayam River Irrigation Project, and Casecnan Multipurpose Irrigation and Power Project-Irrigation Component II.
  
On CMIPP-IC II, NIA indicated the following:
 1) Department of Budget and Management-certified budget strategy
 2) ECC isseued by DENR-EMB 
 3) Full blown Land Acqusition and Resettlement Action Plan (RAP)-documents attached
 4) DOF-CAG review/endorsement of the project 
 5) Detailed project sustainability action plan with project logical framework 
 6) Existing service area to be rehabilitated-40,000 ha. 
 
The NB confirmed the ICC approval of the project subject to DA submission of a report in the total service area that needs rehabilitation out of the 1.5 million hectares of the existing service areas in the country, as well as the following documents: a) Department of Budget and Management-certified budget strategy; b)ECC isseued by DENR-EMB; c) Full blown Land Acqusition and Resettlement Action Plan (RAP); d) DOF-CAG review/endorsement of the project; and e) Detailed project sustainability action plan with project logical framework.","On 19 June 2014, the NEDA Board confirmed the ICC-CC's approval of the change in cost in CMIPP-IC Phase II, with change in funding source from Foreign Assistance to Local Funding, with the understanding that the cost for General Engineering Services and Administration shall be removed from the total project cost. 

The DA has requested to change the funding source from the China Official Development Assistance (ODA) that totals PHP7,054.00 million to full local funding, which is further revised by NIA and OPAFSAM to PHP5,865.75 million based on the DA-NIA and OPAFSAM submission to the President of their 16 June 2014 letter.
  
In a letter to NEDA dated 21 February 2014, DA informed of the updates on BBMP2, Malinao Dam Improvement Project and CMIPP-IC Phase 2 in relation to the agreements reached and directives issued on the NEDA-ICC-CC's proposed projects concerning the Department.
  
On CMIPP-IC Phase I, DA informed that Casecnan Multipurpose Irrigation and Power Project-Irrigation Component (CMIPP-IC) Phase I was already completed last December 2008.
  
For the CMIPP-IC Phase II, DA attached CMIPP-IC Phase II Project Brief as of December 2013 which contains the specific objectives of the Project.
  
As to the reason why only the rehabilitation works instead of new projects are being undertaken, DA stated that it is worthy to note the purpose of the proposal that is to maximize economic benefits of the water delivered from the Casecnan Transbasin Project and to optimize the utilization of the Casecnan Super Diversion Canal, the intake structures and other facilities which were constructed under the CMIPP-IC Phase I benefitting additional 36,900 farmers. Further to the project's purpose, it is primarily focused on the development of new irrigated areas of 20, 321 ha which are presently rainfed with an average annual yield of only 2.8 tons per hectare.'
  
21 November 2013- The NEDA Board deferred the ICC-CC's approval of the change in cost pending the submission by DA and NIA of a detailed brief on the project, including a discussion of the specific objectives and the reasons why, instead of new projects, only rehabilitation works are being undertaken.
  
5 August 2013-The ICC-CC noted the following changes on the project:
(a) Change in funding source of the project from China Official Development Assistance (ODA) to full local financing;
(b) Change in the NEDA Board/ICC-approved project cost of PhP7,054.00 million to PhP7,605.20 to consider the aggregate General Engineering Services and Administration (GESA) charge and Management Fee (MF) cost of PhP551.2 million, which DA-NIA seeks to secure in their budget strategy subject to Department of Budget and Management (Department of Budget and Management) clearance."
