region,suc,discipline,passers_2010,passers_2011,passers_2012,passers_total,takers_2010,takers_2011,takers_2012,takers_total,percent_passing_2010,percent_passing_2011,percent_passing_2012,percent_passing_total
VI (Western Visayas),West Visayas State University,Nursing,169,163,158,490,170,163,159,492,99.41,100,99.37,99.59
VI (Western Visayas),West Visayas State University,Accountancy,0,-,-,0,1,-,-,1,0,0,0,0
VI (Western Visayas),West Visayas State University,Agriculture,2,7,8,17,16,25,26,67,12.5,28,30.77,25.37
VI (Western Visayas),West Visayas State University,Architecture,1,8,17,26,1,11,34,46,100,72.73,50,56.52
VI (Western Visayas),West Visayas State University,Electrical Engineering,18,16,14,48,23,18,20,61,78.26,88.89,70,78.69
VI (Western Visayas),West Visayas State University,Electronics Engineering,7,25,28,60,51,42,45,138,13.73,59.52,62.22,43.48
VI (Western Visayas),West Visayas State University,LET-Elementary,85,115,204,404,192,219,230,641,44.27,52.51,88.7,63.03
VI (Western Visayas),West Visayas State University,LET-Secondary,129,176,209,514,406,409,379,1194,31.77,43.03,55.15,43.05
VI (Western Visayas),West Visayas State University,Marine Engineering,46,14,22,82,86,42,31,159,53.49,33.33,70.97,51.57
VI (Western Visayas),West Visayas State University,Mechanical Engineering,-,-,6,6,-,-,12,12,0,0,50,50
VII (Central Visayas),Bohol Island State University,Agricultural Engineering,3,1,7,11,7,7,11,25,42.86,14.29,63.64,44
VII (Central Visayas),Bohol Island State University,Agriculture,14,9,15,38,36,32,58,126,38.89,28.13,25.86,30.16
VII (Central Visayas),Bohol Island State University,Architecture,-,-,2,2,-,-,2,2,0,0,100,100
VII (Central Visayas),Bohol Island State University,Civil Engineering,16,26,32,74,32,55,52,139,50,47.27,61.54,53.24
VII (Central Visayas),Bohol Island State University,Electrical Engineering,27,37,35,99,36,42,39,117,75,88.1,89.74,84.62
VII (Central Visayas),Bohol Island State University,Environmental Planning,-,-,0,0,-,-,1,1,0,0,0,0
VII (Central Visayas),Bohol Island State University,Fisheries Technology,0,4,0,4,12,9,11,32,0,44.44,0,12.5
VII (Central Visayas),Bohol Island State University,Forestry,2,1,1,4,3,3,6,12,66.67,33.33,16.67,33.33
VII (Central Visayas),Bohol Island State University,LET-Elementary,110,136,242,488,263,283,291,837,41.83,48.06,83.16,58.3
VII (Central Visayas),Bohol Island State University,LET-Secondary,77,106,169,352,231,251,298,780,33.33,42.23,56.71,45.13
VII (Central Visayas),Bohol Island State University,Mechanical Engineering,26,40,32,98,27,46,36,109,96.3,86.96,88.89,89.91
VII (Central Visayas),Bohol Island State University,Midwifery,23,29,27,79,31,49,38,118,74.19,59.18,71.05,66.95
VII (Central Visayas),Cebu Normal University,Agriculture,-,-,1,1,-,-,1,1,0,0,100,100
VII (Central Visayas),Cebu Normal University,Chemistry,-,0,-,0,-,3,-,3,0,0,0,0
VII (Central Visayas),Cebu Normal University,Guidance Counseling,-,-,2,2,-,-,3,3,0,0,66.67,66.67
VII (Central Visayas),Cebu Normal University,LET-Elementary,243,316,406,965,424,511,472,1407,57.31,61.84,86.02,68.59
VII (Central Visayas),Cebu Normal University,LET-Secondary,320,388,475,1183,603,646,706,1955,53.07,60.06,67.28,60.51
VII (Central Visayas),Cebu Normal University,Marine Engineering,-,1,-,1,-,1,-,1,0,100,0,100
VII (Central Visayas),Cebu Normal University,Nursing,156,183,175,514,159,183,175,517,98.11,100,100,99.42
VII (Central Visayas),Cebu Technological University,Agriculture,4,7,15,26,7,22,29,58,57.14,31.82,51.72,44.83
VII (Central Visayas),Cebu Technological University,Civil Engineering,-,-,16,16,-,-,19,19,0,0,84.21,84.21
VII (Central Visayas),Cebu Technological University,Electrical Engineering,4,15,26,45,32,25,45,102,12.5,60,57.78,44.12
VII (Central Visayas),Cebu Technological University,Fisheries Technology,-,2,1,3,-,10,6,16,0,20,16.67,18.75
VII (Central Visayas),Cebu Technological University,Forestry,1,1,2,4,6,3,7,16,16.67,33.33,28.57,25
VII (Central Visayas),Cebu Technological University,Guidance Counseling,-,-,1,1,-,-,3,3,0,0,33.33,33.33
VII (Central Visayas),Cebu Technological University,LET-Elementary,211,261,545,1017,947,850,857,2654,22.28,30.71,63.59,38.32
VII (Central Visayas),Cebu Technological University,LET-Secondary,143,171,254,568,566,538,545,1649,25.27,31.78,46.61,34.45
VII (Central Visayas),Cebu Technological University,Marine Engineering,41,15,11,67,61,26,23,110,67.21,57.69,47.83,60.91
VII (Central Visayas),Cebu Technological University,Mechanical Engineering,43,47,45,135,68,74,59,201,63.24,63.51,76.27,67.16
VII (Central Visayas),Negros Oriental State University,Accountancy,9,8,18,35,16,33,30,79,56.25,24.24,60,44.3
VII (Central Visayas),Negros Oriental State University,Agriculture,1,3,9,13,5,26,54,85,20,11.54,16.67,15.29
VII (Central Visayas),Negros Oriental State University,Architecture,10,6,4,20,19,12,11,42,52.63,50,36.36,47.62
VII (Central Visayas),Negros Oriental State University,Chemistry,1,3,0,4,5,8,7,20,20,37.5,0,20
VII (Central Visayas),Negros Oriental State University,Civil Engineering,11,12,26,49,18,20,32,70,61.11,60,81.25,70
VII (Central Visayas),Negros Oriental State University,Criminology,130,138,125,393,321,331,329,981,40.5,41.69,37.99,40.06
VII (Central Visayas),Negros Oriental State University,Customs ADM,-,0,-,0,-,1,-,1,0,0,0,0
VII (Central Visayas),Negros Oriental State University,Electrical Engineering,2,5,6,13,5,8,8,21,40,62.5,75,61.9
VII (Central Visayas),Negros Oriental State University,Electronics Engineering,0,3,7,10,7,11,10,28,0,27.27,70,35.71
VII (Central Visayas),Negros Oriental State University,Fisheries Technology,-,0,-,0,-,2,-,2,0,0,0,0
VII (Central Visayas),Negros Oriental State University,Forestry,1,2,1,4,1,6,4,11,100,33.33,25,36.36
VII (Central Visayas),Negros Oriental State University,Geodetic Engineering,2,5,1,8,6,5,2,13,33.33,100,50,61.54
VII (Central Visayas),Negros Oriental State University,Geology,5,7,13,25,21,26,33,80,23.81,26.92,39.39,31.25
VII (Central Visayas),Negros Oriental State University,LET-Elementary,133,222,486,841,852,987,936,2775,15.61,22.49,51.92,30.31
VII (Central Visayas),Negros Oriental State University,LET-Secondary,84,111,158,353,591,634,708,1933,14.21,17.51,22.32,18.26
VII (Central Visayas),Negros Oriental State University,Library Science,0,0,0,0,1,1,1,3,0,0,0,0
VII (Central Visayas),Negros Oriental State University,Marine Engineering,15,6,5,26,27,9,9,45,55.56,66.67,55.56,57.78
VII (Central Visayas),Negros Oriental State University,Marine Transportation,41,9,20,70,85,27,31,143,48.24,33.33,64.52,48.95
VII (Central Visayas),Negros Oriental State University,Mechanical Engineering,6,9,8,23,6,9,8,23,100,100,100,100
VII (Central Visayas),Negros Oriental State University,Midwifery,25,32,14,71,46,47,23,116,54.35,68.09,60.87,61.21
VII (Central Visayas),Negros Oriental State University,Nursing,21,23,18,62,21,24,18,63,100,95.83,100,98.41
VII (Central Visayas),Negros Oriental State University,Pharmacy,7,3,4,14,10,4,4,18,70,75,100,77.78
VII (Central Visayas),Siquijor State College,Criminology,15,18,16,49,51,60,54,165,29.41,30,29.63,29.7
VII (Central Visayas),Siquijor State College,Forestry,-,0,0,0,-,1,1,2,0,0,0,0
VII (Central Visayas),Siquijor State College,LET-Elementary,17,20,39,76,73,70,62,205,23.29,28.57,62.9,37.07
VII (Central Visayas),Siquijor State College,LET-Secondary,9,20,16,45,45,55,40,140,20,36.36,40,32.14
VII (Central Visayas),Siquijor State College,Marine Engineering,4,4,2,10,10,7,7,24,40,57.14,28.57,41.67
VII (Central Visayas),Siquijor State College,Marine Transportation,2,2,4,8,6,2,7,15,33.33,100,57.14,53.33
VIII (Eastern Visayas),Eastern Samar State University,Accountancy,2,9,12,23,10,24,27,61,20,37.5,44.44,37.7
VIII (Eastern Visayas),Eastern Samar State University,Agricultural Engineering,1,0,4,5,8,5,9,22,12.5,0,44.44,22.73
VIII (Eastern Visayas),Eastern Samar State University,Agriculture,7,8,2,17,59,70,37,166,11.86,11.43,5.41,10.24
VIII (Eastern Visayas),Eastern Samar State University,Architecture,0,-,-,0,1,-,-,1,0,0,0,0
VIII (Eastern Visayas),Eastern Samar State University,Civil Engineering,25,14,18,57,59,58,61,178,42.37,24.14,29.51,32.02
VIII (Eastern Visayas),Eastern Samar State University,Electrical Engineering,0,2,1,3,8,17,12,37,0,11.76,8.33,8.11
VIII (Eastern Visayas),Eastern Samar State University,LET-Elementary,101,149,402,652,641,707,761,2109,15.76,21.07,52.83,30.92
VIII (Eastern Visayas),Eastern Samar State University,LET-Secondary,41,81,89,211,503,464,419,1386,8.15,17.46,21.24,15.22
VIII (Eastern Visayas),Eastern Samar State University,Library Science,0,0,0,0,3,2,1,6,0,0,0,0
VIII (Eastern Visayas),Eastern Samar State University,Nursing,28,21,23,72,44,40,39,123,63.64,52.5,58.97,58.54
VIII (Eastern Visayas),Eastern Visayas State University,Accountancy,28,29,28,85,53,52,39,144,52.83,55.77,71.79,59.03
VIII (Eastern Visayas),Eastern Visayas State University,Agriculture,0,0,0,0,2,4,3,9,0,0,0,0
VIII (Eastern Visayas),Eastern Visayas State University,Architecture,24,47,49,120,72,124,129,325,33.33,37.9,37.98,36.92
VIII (Eastern Visayas),Eastern Visayas State University,Chemical Engineering,3,6,8,17,26,29,32,87,11.54,20.69,25,19.54
VIII (Eastern Visayas),Eastern Visayas State University,Chemistry,0,3,0,3,4,4,1,9,0,75,0,33.33
VIII (Eastern Visayas),Eastern Visayas State University,Civil Engineering,71,56,73,200,269,258,257,784,26.39,21.71,28.4,25.51
VIII (Eastern Visayas),Eastern Visayas State University,Electrical Engineering,34,53,31,118,90,112,81,283,37.78,47.32,38.27,41.7
VIII (Eastern Visayas),Eastern Visayas State University,Electronics Engineering,33,27,21,81,113,82,64,259,29.2,32.93,32.81,31.27
VIII (Eastern Visayas),Eastern Visayas State University,Environmental Planning,2,0,0,2,2,3,2,7,100,0,0,28.57
VIII (Eastern Visayas),Eastern Visayas State University,Fisheries Technology,2,0,1,3,4,2,2,8,50,0,50,37.5
VIII (Eastern Visayas),Eastern Visayas State University,Geodetic Engineering,7,10,6,23,20,21,22,63,35,47.62,27.27,36.51
VIII (Eastern Visayas),Eastern Visayas State University,Interior Design,2,3,4,9,11,13,17,41,18.18,23.08,23.53,21.95
VIII (Eastern Visayas),Eastern Visayas State University,LET-Elementary,32,57,140,229,240,280,303,823,13.33,20.36,46.2,27.83
VIII (Eastern Visayas),Eastern Visayas State University,LET-Secondary,76,100,161,337,625,708,698,2031,12.16,14.12,23.07,16.59
VIII (Eastern Visayas),Eastern Visayas State University,Marine Engineering,38,24,19,81,53,45,31,129,71.7,53.33,61.29,62.79
VIII (Eastern Visayas),Eastern Visayas State University,Mechanical Engineering,35,43,51,129,90,101,92,283,38.89,42.57,55.43,45.58
VIII (Eastern Visayas),Leyte Normal University,Criminology,-,0,1,1,-,2,2,4,0,0,50,25
VIII (Eastern Visayas),Leyte Normal University,LET-Elementary,302,334,661,1297,1486,1458,1256,4200,20.32,22.91,52.63,30.88
VIII (Eastern Visayas),Leyte Normal University,LET-Secondary,112,143,199,454,380,394,416,1190,29.47,36.29,47.84,38.15
VIII (Eastern Visayas),Leyte Normal University,Library Science,0,0,-,0,2,1,-,3,0,0,0,0
VIII (Eastern Visayas),Leyte Normal University,Marine Engineering,-,-,1,1,-,-,2,2,0,0,50,50
VIII (Eastern Visayas),Leyte Normal University,Social Work,18,16,20,54,18,16,20,54,100,100,100,100
VIII (Eastern Visayas),Naval State University,Agriculture,1,3,2,6,9,11,10,30,11.11,27.27,20,20
VIII (Eastern Visayas),Naval State University,Civil Engineering,7,11,10,28,23,36,33,92,30.43,30.56,30.3,30.43
VIII (Eastern Visayas),Naval State University,Criminology,46,37,63,146,125,166,204,495,36.8,22.29,30.88,29.49
VIII (Eastern Visayas),Naval State University,Electrical Engineering,1,8,6,15,17,15,14,46,5.88,53.33,42.86,32.61
VIII (Eastern Visayas),Naval State University,Forestry,0,-,1,1,1,-,4,5,0,0,25,20
VIII (Eastern Visayas),Naval State University,LET-Elementary,42,54,173,269,248,264,307,819,16.94,20.45,56.35,32.84
VIII (Eastern Visayas),Naval State University,LET-Secondary,24,36,62,122,252,255,259,766,9.52,14.12,23.94,15.93
VIII (Eastern Visayas),Naval State University,Marine Engineering,17,3,10,30,30,17,21,68,56.67,17.65,47.62,44.12
VIII (Eastern Visayas),Naval State University,Marine Transportation,14,6,15,35,28,22,26,76,50,27.27,57.69,46.05
VIII (Eastern Visayas),Naval State University,Mechanical Engineering,5,1,1,7,10,3,3,16,50,33.33,33.33,43.75
VIII (Eastern Visayas),Naval State University,Nursing,4,8,13,25,13,11,25,49,30.77,72.73,52,51.02
VIII (Eastern Visayas),Northwest Samar State University,Accountancy,0,0,1,1,2,2,3,7,0,0,33.33,14.29
VIII (Eastern Visayas),Northwest Samar State University,Agricultural Engineering,1,1,0,2,3,2,2,7,33.33,50,0,28.57
VIII (Eastern Visayas),Northwest Samar State University,Agriculture,1,2,0,3,7,8,8,23,14.29,25,0,13.04
VIII (Eastern Visayas),Northwest Samar State University,Civil Engineering,10,11,8,29,20,20,28,68,50,55,28.57,42.65
VIII (Eastern Visayas),Northwest Samar State University,Criminology,38,44,31,113,76,109,156,341,50,40.37,19.87,33.14
VIII (Eastern Visayas),Northwest Samar State University,Electrical Engineering,1,1,7,9,10,8,12,30,10,12.5,58.33,30
VIII (Eastern Visayas),Northwest Samar State University,Electronics Engineering,2,2,2,6,8,14,12,34,25,14.29,16.67,17.65
VIII (Eastern Visayas),Northwest Samar State University,Forestry,0,2,3,5,1,3,6,10,0,66.67,50,50
VIII (Eastern Visayas),Northwest Samar State University,LET-Elementary,34,45,180,259,296,359,357,1012,11.49,12.53,50.42,25.59
VIII (Eastern Visayas),Northwest Samar State University,LET-Secondary,24,47,63,134,171,216,266,653,14.04,21.76,23.68,20.52
VIII (Eastern Visayas),Northwest Samar State University,Mechanical Engineering,5,8,1,14,10,14,3,27,50,57.14,33.33,51.85
VIII (Eastern Visayas),Palompon Institute of Technology,Civil Engineering,-,2,-,2,-,2,-,2,0,100,0,100
VIII (Eastern Visayas),Palompon Institute of Technology,Customs ADM,0,-,-,0,1,-,-,1,0,0,0,0
VIII (Eastern Visayas),Palompon Institute of Technology,Electrical Engineering,-,-,2,2,-,-,3,3,0,0,66.67,66.67
VIII (Eastern Visayas),Palompon Institute of Technology,LET-Elementary,24,29,96,149,141,137,144,422,17.02,21.17,66.67,35.31
VIII (Eastern Visayas),Palompon Institute of Technology,LET-Secondary,19,25,21,65,132,108,79,319,14.39,23.15,26.58,20.38
VIII (Eastern Visayas),Palompon Institute of Technology,Library Science,0,-,-,0,2,-,-,2,0,0,0,0
VIII (Eastern Visayas),Palompon Institute of Technology,Marine Engineering,78,66,30,174,110,102,39,251,70.91,64.71,76.92,69.32
VIII (Eastern Visayas),Palompon Institute of Technology,Marine Transportation,109,60,56,225,184,102,85,371,59.24,58.82,65.88,60.65
VIII (Eastern Visayas),Palompon Institute of Technology,Mechanical Engineering,-,-,4,4,-,-,7,7,0,0,57.14,57.14
VIII (Eastern Visayas),Samar State University,Civil Engineering,9,11,9,29,30,31,27,88,30,35.48,33.33,32.95
VIII (Eastern Visayas),Samar State University,Criminology,-,-,0,0,-,-,1,1,0,0,0,0
VIII (Eastern Visayas),Samar State University,Electrical Engineering,0,3,3,6,9,8,14,31,0,37.5,21.43,19.35
VIII (Eastern Visayas),Samar State University,Electronics Engineering,2,4,8,14,11,6,13,30,18.18,66.67,61.54,46.67
VIII (Eastern Visayas),Samar State University,Fisheries Technology,0,0,1,1,2,2,3,7,0,0,33.33,14.29
VIII (Eastern Visayas),Samar State University,LET-Elementary,29,33,117,179,111,121,169,401,26.13,27.27,69.23,44.64
VIII (Eastern Visayas),Samar State University,LET-Secondary,22,38,50,110,209,234,256,699,10.53,16.24,19.53,15.74
VIII (Eastern Visayas),Samar State University,Nursing,18,26,28,72,27,34,30,91,66.67,76.47,93.33,79.12
VIII (Eastern Visayas),Southern Leyte State University,Agriculture,-,1,1,2,-,1,4,5,0,100,25,40
VIII (Eastern Visayas),Southern Leyte State University,Civil Engineering,11,7,1,19,20,21,12,53,55,33.33,8.33,35.85
VIII (Eastern Visayas),Southern Leyte State University,Criminology,-,20,19,39,-,26,26,52,0,76.92,73.08,75
VIII (Eastern Visayas),Southern Leyte State University,Electrical Engineering,2,15,9,26,14,20,22,56,14.29,75,40.91,46.43
VIII (Eastern Visayas),Southern Leyte State University,Fisheries Technology,-,1,0,1,-,2,1,3,0,50,0,33.33
VIII (Eastern Visayas),Southern Leyte State University,LET-Elementary,47,61,141,249,281,309,249,839,16.73,19.74,56.63,29.68
VIII (Eastern Visayas),Southern Leyte State University,LET-Secondary,57,110,137,304,372,388,428,1188,15.32,28.35,32.01,25.59
VIII (Eastern Visayas),Southern Leyte State University,Mechanical Engineering,12,5,8,25,14,9,15,38,85.71,55.56,53.33,65.79
VIII (Eastern Visayas),University of Eastern Philippines,Accountancy,24,22,32,78,46,45,65,156,52.17,48.89,49.23,50
VIII (Eastern Visayas),University of Eastern Philippines,Agricultural Engineering,4,1,4,9,12,4,11,27,33.33,25,36.36,33.33
VIII (Eastern Visayas),University of Eastern Philippines,Agriculture,5,4,6,15,39,42,35,116,12.82,9.52,17.14,12.93
VIII (Eastern Visayas),University of Eastern Philippines,Chemistry,0,-,-,0,1,-,-,1,0,0,0,0
VIII (Eastern Visayas),University of Eastern Philippines,Civil Engineering,13,22,28,63,69,96,124,289,18.84,22.92,22.58,21.8
VIII (Eastern Visayas),University of Eastern Philippines,Criminology,82,94,135,311,172,211,289,672,47.67,44.55,46.71,46.28
VIII (Eastern Visayas),University of Eastern Philippines,Electrical Engineering,16,8,20,44,43,40,56,139,37.21,20,35.71,31.65
VIII (Eastern Visayas),University of Eastern Philippines,Fisheries Technology,0,1,-,1,2,15,-,17,0,6.67,0,5.88
VIII (Eastern Visayas),University of Eastern Philippines,Forestry,2,2,4,8,13,11,9,33,15.38,18.18,44.44,24.24
VIII (Eastern Visayas),University of Eastern Philippines,Guidance Counseling,-,0,1,1,-,2,2,4,0,0,50,25
VIII (Eastern Visayas),University of Eastern Philippines,LET-Elementary,91,146,472,709,731,821,1030,2582,12.45,17.78,45.83,27.46
VIII (Eastern Visayas),University of Eastern Philippines,LET-Secondary,113,146,301,560,871,896,1321,3088,12.97,16.29,22.79,18.13
VIII (Eastern Visayas),University of Eastern Philippines,Library Science,0,0,1,1,4,6,3,13,0,0,33.33,7.69
VIII (Eastern Visayas),University of Eastern Philippines,Mechanical Engineering,18,8,5,31,24,30,21,75,75,26.67,23.81,41.33
VIII (Eastern Visayas),University of Eastern Philippines,Nursing,76,76,69,221,123,102,87,312,61.79,74.51,79.31,70.83
VIII (Eastern Visayas),University of Eastern Philippines,Veterinary Medicine,4,8,2,14,29,33,41,103,13.79,24.24,4.88,13.59
VIII (Eastern Visayas),Visayas State University,Agricultural Engineering,12,1,4,17,13,2,5,20,92.31,50,80,85
VIII (Eastern Visayas),Visayas State University,Agriculture,65,53,69,187,131,114,154,399,49.62,46.49,44.81,46.87
VIII (Eastern Visayas),Visayas State University,Chemistry,6,18,5,29,12,24,12,48,50,75,41.67,60.42
VIII (Eastern Visayas),Visayas State University,Criminology,-,2,4,6,-,2,14,16,0,100,28.57,37.5
VIII (Eastern Visayas),Visayas State University,Fisheries Technology,1,2,0,3,6,7,7,20,16.67,28.57,0,15
VIII (Eastern Visayas),Visayas State University,Forestry,5,5,10,20,12,12,16,40,41.67,41.67,62.5,50
VIII (Eastern Visayas),Visayas State University,Geodetic Engineering,3,10,8,21,4,12,10,26,75,83.33,80,80.77
VIII (Eastern Visayas),Visayas State University,LET-Elementary,112,129,261,502,441,428,415,1284,25.4,30.14,62.89,39.1
VIII (Eastern Visayas),Visayas State University,LET-Secondary,45,62,73,180,224,208,204,636,20.09,29.81,35.78,28.3
VIII (Eastern Visayas),Visayas State University,Nursing,-,48,56,104,-,57,73,130,0,84.21,76.71,80
VIII (Eastern Visayas),Visayas State University,Veterinary Medicine,10,14,12,36,35,30,33,98,28.57,46.67,36.36,36.73
IX (Zamboanga Peninsula),J.H. Cerilles State College,Agriculture,2,2,6,10,9,18,31,58,22.22,11.11,19.35,17.24
IX (Zamboanga Peninsula),J.H. Cerilles State College,Criminology,-,0,17,17,-,1,50,51,0,0,34,33.33
IX (Zamboanga Peninsula),J.H. Cerilles State College,Forestry,-,0,0,0,-,1,3,4,0,0,0,0
IX (Zamboanga Peninsula),J.H. Cerilles State College,LET-Elementary,64,100,296,460,397,534,655,1586,16.12,18.73,45.19,29
IX (Zamboanga Peninsula),J.H. Cerilles State College,LET-Secondary,24,14,42,80,227,236,242,705,10.57,5.93,17.36,11.35
IX (Zamboanga Peninsula),J.H. Cerilles State College,Nursing,22,27,25,74,41,55,63,159,53.66,49.09,39.68,46.54
IX (Zamboanga Peninsula),J.H. Cerilles State College,Nutrition and Dietetics,-,-,0,0,-,-,1,1,0,0,0,0
IX (Zamboanga Peninsula),Jose Rizal Memorial State University,Accountancy,-,-,2,2,-,-,4,4,0,0,50,50
IX (Zamboanga Peninsula),Jose Rizal Memorial State University,Agricultural Engineering,1,4,3,8,9,8,9,26,11.11,50,33.33,30.77
IX (Zamboanga Peninsula),Jose Rizal Memorial State University,Agriculture,1,3,8,12,7,14,27,48,14.29,21.43,29.63,25
IX (Zamboanga Peninsula),Jose Rizal Memorial State University,Civil Engineering,3,3,3,9,4,5,8,17,75,60,37.5,52.94
IX (Zamboanga Peninsula),Jose Rizal Memorial State University,Criminology,76,78,68,222,260,304,317,881,29.23,25.66,21.45,25.2
IX (Zamboanga Peninsula),Jose Rizal Memorial State University,Electrical Engineering,5,4,9,18,8,6,14,28,62.5,66.67,64.29,64.29
IX (Zamboanga Peninsula),Jose Rizal Memorial State University,Electronics Engineering,0,2,2,4,3,6,4,13,0,33.33,50,30.77
IX (Zamboanga Peninsula),Jose Rizal Memorial State University,LET-Elementary,64,60,132,256,227,243,219,689,28.19,24.69,60.27,37.16
IX (Zamboanga Peninsula),Jose Rizal Memorial State University,LET-Secondary,27,16,67,110,202,221,278,701,13.37,7.24,24.1,15.69
IX (Zamboanga Peninsula),Jose Rizal Memorial State University,Marine Engineering,1,-,3,4,1,-,4,5,100,0,75,80
IX (Zamboanga Peninsula),Jose Rizal Memorial State University,Marine Transportation,2,3,2,7,3,3,4,10,66.67,100,50,70
IX (Zamboanga Peninsula),Jose Rizal Memorial State University,Midwifery,29,28,15,72,68,54,41,163,42.65,51.85,36.59,44.17
IX (Zamboanga Peninsula),Jose Rizal Memorial State University,Nursing,46,59,28,133,98,111,62,271,46.94,53.15,45.16,49.08
IX (Zamboanga Peninsula),Western Mindanao State University,Accountancy,-,9,13,22,-,22,42,64,0,40.91,30.95,34.38
IX (Zamboanga Peninsula),Western Mindanao State University,Agricultural Engineering,0,1,-,1,7,6,-,13,0,16.67,0,7.69
IX (Zamboanga Peninsula),Western Mindanao State University,Agriculture,16,14,11,41,77,66,39,182,20.78,21.21,28.21,22.53
IX (Zamboanga Peninsula),Western Mindanao State University,Architecture,9,19,17,45,16,33,36,85,56.25,57.58,47.22,52.94
IX (Zamboanga Peninsula),Western Mindanao State University,Chemistry,6,3,8,17,12,6,18,36,50,50,44.44,47.22
IX (Zamboanga Peninsula),Western Mindanao State University,Civil Engineering,33,28,25,86,76,63,59,198,43.42,44.44,42.37,43.43
IX (Zamboanga Peninsula),Western Mindanao State University,Criminology,83,126,90,299,173,260,253,686,47.98,48.46,35.57,43.59
IX (Zamboanga Peninsula),Western Mindanao State University,Electrical Engineering,17,60,31,108,64,101,59,224,26.56,59.41,52.54,48.21
IX (Zamboanga Peninsula),Western Mindanao State University,Electronics Engineering,-,12,16,28,-,18,24,42,0,66.67,66.67,66.67
IX (Zamboanga Peninsula),Western Mindanao State University,Environmental Planning,0,1,1,2,1,2,2,5,0,50,50,40
IX (Zamboanga Peninsula),Western Mindanao State University,Forestry,3,5,7,15,20,19,21,60,15,26.32,33.33,25
IX (Zamboanga Peninsula),Western Mindanao State University,Geodetic Engineering,7,7,7,21,20,24,23,67,35,29.17,30.43,31.34
IX (Zamboanga Peninsula),Western Mindanao State University,Guidance Counseling,-,-,1,1,-,-,1,1,0,0,100,100
IX (Zamboanga Peninsula),Western Mindanao State University,LET-Elementary,362,307,767,1436,1605,1773,1609,4987,22.55,17.32,47.67,28.79
IX (Zamboanga Peninsula),Western Mindanao State University,LET-Secondary,164,202,314,680,783,910,910,2603,20.95,22.2,34.51,26.12
IX (Zamboanga Peninsula),Western Mindanao State University,Mechanical Engineering,18,21,34,73,24,36,75,135,75,58.33,45.33,54.07
IX (Zamboanga Peninsula),Western Mindanao State University,Midwifery,8,2,0,10,18,9,3,30,44.44,22.22,0,33.33
IX (Zamboanga Peninsula),Western Mindanao State University,Nursing,757,823,556,2136,1537,1521,1065,4123,49.25,54.11,52.21,51.81
IX (Zamboanga Peninsula),Western Mindanao State University,Nutrition and Dietetics,21,28,52,101,82,110,163,355,25.61,25.45,31.9,28.45
IX (Zamboanga Peninsula),Western Mindanao State University,Pharmacy,1,-,-,1,1,-,-,1,100,0,0,100
IX (Zamboanga Peninsula),Western Mindanao State University,Sanitary Engineering,4,6,9,19,23,20,23,66,17.39,30,39.13,28.79
IX (Zamboanga Peninsula),Western Mindanao State University,Social Work,54,89,111,254,121,159,215,495,44.63,55.97,51.63,51.31
IX (Zamboanga Peninsula),Zamboanga City State Polytechnic College,LET-Elementary,1,0,2,3,10,6,9,25,10,0,22.22,12
IX (Zamboanga Peninsula),Zamboanga City State Polytechnic College,LET-Secondary,16,17,48,81,279,285,290,854,5.73,5.96,16.55,9.48
IX (Zamboanga Peninsula),Zamboanga City State Polytechnic College,Marine Engineering,43,29,27,99,79,52,46,177,54.43,55.77,58.7,55.93
IX (Zamboanga Peninsula),Zamboanga City State Polytechnic College,Criminology,-,0,-,0,-,1,-,1,0,0,0,0
IX (Zamboanga Peninsula),Zamboanga City State Polytechnic College,Fisheries Technology,2,1,3,6,5,9,8,22,40,11.11,37.5,27.27
IX (Zamboanga Peninsula),Zamboanga City State Polytechnic College,LET-Elementary,-,0,-,0,-,1,-,1,0,0,0,0
IX (Zamboanga Peninsula),Zamboanga City State Polytechnic College,LET-Secondary,10,22,32,64,118,126,137,381,8.47,17.46,23.36,16.8
IX (Zamboanga Peninsula),Zamboanga City State Polytechnic College,Marine Engineering,22,19,37,78,40,32,50,122,55,59.38,74,63.93
IX (Zamboanga Peninsula),Zamboanga City State Polytechnic College,Marine Transportation,65,42,48,155,119,78,84,281,54.62,53.85,57.14,55.16
X (Northern Mindanao),Bukidnon State University,Accountancy,7,10,17,34,17,22,31,70,41.18,45.45,54.84,48.57
X (Northern Mindanao),Bukidnon State University,Agriculture,-,2,-,2,-,5,-,5,0,40,0,40
X (Northern Mindanao),Bukidnon State University,Guidance Counseling,1,1,1,3,1,2,2,5,100,50,50,60
X (Northern Mindanao),Bukidnon State University,LET-Elementary,251,298,665,1214,1750,1657,1475,4882,14.34,17.98,45.08,24.87
X (Northern Mindanao),Bukidnon State University,LET-Secondary,70,101,127,298,543,566,487,1596,12.89,17.84,26.08,18.67
X (Northern Mindanao),Bukidnon State University,Nursing,37,57,53,147,49,91,95,235,75.51,62.64,55.79,62.55
X (Northern Mindanao),Bukidnon State University,Social Work,-,-,0,0,-,-,2,2,0,0,0,0
X (Northern Mindanao),Camiguin Polytechnic State College,Agriculture,4,6,11,21,18,18,27,63,22.22,33.33,40.74,33.33
X (Northern Mindanao),Camiguin Polytechnic State College,Electrical Engineering,8,7,5,20,12,12,9,33,66.67,58.33,55.56,60.61
